scene,requested_budget_mm,candidate,control,n,mean_gain_mm,median_gain_mm,relative_gain_percent,within_scene_patch_bootstrap_ci95_mm,wins,ties,losses,recall_difference_pp,fscore_difference
scan24,0.025,local_plane64__uniform,quadratic64__uniform,18,-0.00040427834853130125,0.0001533184906055557,-0.07503313687653446,"[-0.0014059701377441033, 0.000559095097197028]",10,0,8,-0.014229762149895218,-0.00024849255616796493
scan24,0.025,multiscale_full__uniform,quadratic64__uniform,18,1.352471712527053e-05,2.1494265769028686e-05,0.0025101565665153203,"[-0.00014339819434572746, 0.00018517204932087016]",10,0,8,-0.009492279380265669,-7.450540326530019e-05
scan24,0.025,multiscale_full__alpha,multiscale_full__uniform,18,2.8611347961356632e-05,1.2625066411003916e-05,0.005310334043340248,"[-4.5420345861072985e-05, 9.63795780654952e-05]",9,0,9,0.0031776414833194367,1.6317770229158492e-05
scan24,0.025,multiscale_full__alpha,mean_of_5_shuffles_per_patch,18,1.7052944896234212e-05,1.2290580031215637e-05,0.0031651349202688195,"[-5.722723602308168e-05, 8.246445924968233e-05]",10,0,8,-0.003682660157624159,-1.5102156893832665e-05
scan24,0.05,local_plane64__uniform,quadratic64__uniform,18,-0.0009058483545589077,-3.989974807087904e-05,-0.16819861447991968,"[-0.002813396982729654, 0.0009300054824677319]",9,0,9,-0.059739546221199764,-0.0003159478246154886
scan24,0.05,multiscale_full__uniform,quadratic64__uniform,18,-6.532327789916649e-05,-0.00010668083199423528,-0.012129276142758272,"[-0.00038122668324562596, 0.00027187639824782957]",8,0,10,0.0026063452499065004,5.1144986167268096e-05
scan24,0.05,multiscale_full__alpha,multiscale_full__uniform,18,4.1678117297974044e-05,-8.15480303360816e-06,0.007737886109526748,"[-0.00011250927268438485, 0.00019011360249149336]",9,0,9,0.011284781799057269,6.346457904628695e-05
scan24,0.05,multiscale_full__alpha,mean_of_5_shuffles_per_patch,18,1.1037790289026357e-05,-2.4203576049111608e-05,0.002049373354229278,"[-0.00014244726261314512, 0.00014442083908144747]",8,0,10,0.012361726729140685,9.43000070319407e-05
scan24,0.1,local_plane64__uniform,quadratic64__uniform,18,-0.0007116115689102377,-0.0007521585414558551,-0.13217917820043112,"[-0.003067588300243473, 0.0018200008018418568]",8,0,10,-0.07697814390338156,-0.0002985241426872978
scan24,0.1,multiscale_full__uniform,quadratic64__uniform,18,-4.423293635377437e-05,-0.00010668083199423528,-0.008216101918612218,"[-0.0005609008384886065, 0.0005349979825550947]",8,0,10,0.008833271209405,0.00010383829140452821
scan24,0.1,multiscale_full__alpha,multiscale_full__uniform,18,3.7464649057634196e-05,-2.58212478888159e-05,0.006958346250340863,"[-0.00018232279701240478, 0.0002519423088936761]",8,0,10,-0.002466671406608439,1.164567549170418e-05
scan24,0.1,multiscale_full__alpha,mean_of_5_shuffles_per_patch,18,2.4145187861914406e-06,-5.477079813870356e-05,0.00044848015308129874,"[-0.00021094638898363986, 0.0001978594315318192]",7,0,11,-7.2140939004021e-05,1.5692770688647952e-05
scan37,0.025,local_plane64__uniform,quadratic64__uniform,24,0.0009757608974738015,0.001026984157248667,0.22375002548669087,"[7.350178807716997e-05, 0.0019241051002006134]",17,0,7,-0.015893233628081156,-1.7877683567699604e-05
scan37,0.025,multiscale_full__uniform,quadratic64__uniform,24,0.00016386639853114074,0.0002445840899224505,0.037575917361176714,"[1.3162498852986014e-05, 0.00029997629849964734]",17,0,7,-0.014598309617025462,-0.00010862852108557697
scan37,0.025,multiscale_full__alpha,multiscale_full__uniform,24,-2.5707607732209276e-05,-6.62361932687594e-05,-0.005897182505143483,"[-0.0001296146120390206, 8.252540285506235e-05]",10,0,14,0.003047553901287803,0.00011193709832702191
scan37,0.025,multiscale_full__alpha,mean_of_5_shuffles_per_patch,24,-1.6424382269427755e-06,-3.668114450205984e-05,-0.0003767454137992843,"[-9.603750509645807e-05, 9.65819004256025e-05]",11,0,13,-0.009280688910008144,5.917418034595556e-05
scan37,0.05,local_plane64__uniform,quadratic64__uniform,24,0.0018257656932977942,0.0016053500273069954,0.4193038204442945,"[0.0001174576607827535, 0.0035424355627023947]",17,0,7,-0.07723854890342302,-0.0005037159155881951
scan37,0.05,multiscale_full__uniform,quadratic64__uniform,24,0.00031536433736294167,0.0004337768282463572,0.07242630967029262,"[2.7699730908451598e-05, 0.0005753782119037492]",18,0,6,-0.036985247971085364,-0.00017868885747491606
scan37,0.05,multiscale_full__alpha,multiscale_full__uniform,24,-0.00012856722491100375,-6.786448983553406e-05,-0.029548041782456735,"[-0.00036653964488196953, 9.229496337534721e-05]",10,0,14,0.021728514247061854,3.4318279489691426e-06
scan37,0.05,multiscale_full__alpha,mean_of_5_shuffles_per_patch,24,-7.920889690885696e-05,-3.300401599709568e-05,-0.01820216877950198,"[-0.00030258279771155585, 0.000130227418126404]",10,0,14,0.004279534258996853,2.0888159873190073e-06
scan37,0.1,local_plane64__uniform,quadratic64__uniform,24,0.002264380764194808,0.0019839284287773706,0.5205854135726051,"[0.00022456742219057938, 0.004275134883051914]",17,0,7,-0.14643786184385968,-0.00036404948532478554
scan37,0.1,multiscale_full__uniform,quadratic64__uniform,24,0.0004449973433396035,0.00046152724638665044,0.10230572953286998,"[-6.496035553516597e-05, 0.0008971931630347532]",18,0,6,-0.06937638698395568,-0.0002782077654961713
scan37,0.1,multiscale_full__alpha,multiscale_full__uniform,24,-0.00037193086401949085,-0.00012180847666037886,-0.08559517673398798,"[-0.0009761054132604349, 0.00012101006132002653]",7,0,17,0.03180112484278917,0.00022785638684859102
scan37,0.1,multiscale_full__alpha,mean_of_5_shuffles_per_patch,24,-0.0002805275732991226,-7.113070997813442e-05,-0.06454628975973709,"[-0.0008575231275479983, 0.00020110497814661637]",7,0,17,0.0010959360659169395,0.0001134931354696463
