method,kind,field,allocation,seed,requested_budget_mm,actual_budget_mm,duplicate_budget,direction_informative,native_field_rms_mm,normalization_factor,status,displacement_rms_mm,displacement_p95_mm,displacement_max_mm,moved_fraction,case,scene,n_input,n_reference,accuracy_mm,p95_mm,completeness_mm,precision,recall,fscore,step
budget0.025__local_plane64__uniform,budget,local_plane64,uniform,,0.025,0.025,False,True,0.19283678442144817,0.1296433150708532,OK,0.0249999999999999,0.05100490040125332,0.07539368028523362,1.0,s24_confirm00,scan24,672,5100,0.23085378148210123,0.48241964204073834,0.5025001593437244,1.0,0.9552941176470588,0.9771359807460891,
budget0.025__multiscale_full__alpha,budget,multiscale_full,alpha,,0.025,0.025,False,True,0.04902906223438657,0.5099016554811083,OK,0.02500000000000025,0.0523319222705149,0.10796587301387427,1.0,s24_confirm00,scan24,672,5100,0.22938887559987525,0.47267957140777106,0.5003661305703563,1.0,0.9572549019607843,0.9781606892406332,
budget0.025__multiscale_full__shuffle_92401,budget,multiscale_full,shuffle,92401,0.025,0.025,False,True,0.05444179916578572,0.4592059847961712,OK,0.024999999999999845,0.05243917645953163,0.12012235197485906,1.0,s24_confirm00,scan24,672,5100,0.22920402355027916,0.4715314379420919,0.5001775200319669,1.0,0.9576470588235294,0.9783653846153847,
budget0.025__multiscale_full__shuffle_92402,budget,multiscale_full,shuffle,92402,0.025,0.025,False,True,0.05441149527312528,0.45946173459320294,OK,0.025000000000000282,0.05360555247073218,0.10879245148183009,1.0,s24_confirm00,scan24,672,5100,0.22921420254216016,0.47133034799824297,0.4999902946823705,1.0,0.957843137254902,0.9784677015523284,
budget0.025__multiscale_full__shuffle_92403,budget,multiscale_full,shuffle,92403,0.025,0.025,False,True,0.0549811451507386,0.4547013331835661,OK,0.025000000000000137,0.0498758136650564,0.11880407574971562,1.0,s24_confirm00,scan24,672,5100,0.22925223029131148,0.4688358099899016,0.5000362111027724,1.0,0.9576470588235294,0.9783653846153847,
budget0.025__multiscale_full__shuffle_92404,budget,multiscale_full,shuffle,92404,0.025,0.025,False,True,0.05412113621107894,0.4619267397213723,OK,0.025000000000000404,0.052243137385401234,0.11067173888311607,1.0,s24_confirm00,scan24,672,5100,0.22931924368585324,0.47066307993065365,0.5001099984571965,1.0,0.957843137254902,0.9784677015523284,
budget0.025__multiscale_full__shuffle_92405,budget,multiscale_full,shuffle,92405,0.025,0.025,False,True,0.05399455143138882,0.46300968037057666,OK,0.02499999999999973,0.052536506585544165,0.11660301950290161,1.0,s24_confirm00,scan24,672,5100,0.22928683441358996,0.4714162506549541,0.5001715826702349,1.0,0.957843137254902,0.9784677015523284,
budget0.025__multiscale_full__uniform,budget,multiscale_full,uniform,,0.025,0.025,False,True,0.06466138055901012,0.3866295427637049,OK,0.025000000000000636,0.05257767504116639,0.10707458733689774,1.0,s24_confirm00,scan24,672,5100,0.2292582517476867,0.47151355923880395,0.5002363145015798,1.0,0.9574509803921568,0.9782630471802063,
budget0.025__quadratic64__uniform,budget,quadratic64,uniform,,0.025,0.025,False,True,0.07271446307347205,0.34381055629523843,OK,0.02500000000000007,0.05164202442211535,0.11526075974441853,1.0,s24_confirm00,scan24,672,5100,0.22908136795754286,0.4702901782306135,0.4997648826722113,1.0,0.9576470588235294,0.9783653846153847,
budget0.05__local_plane64__uniform,budget,local_plane64,uniform,,0.05,0.05,False,True,0.19283678442144817,0.2592866301417064,OK,0.05000000000000017,0.10200980080250593,0.15078736057045933,1.0,s24_confirm00,scan24,672,5100,0.23438150125385948,0.48621339138104125,0.5100631959975683,1.0,0.9505882352941176,0.9746682750301567,
