scene,method,n,kind,accuracy_mm,p95_mm,completeness_mm,recall,fscore,displacement_rms_mm,displacement_max_mm,moved_fraction,field,allocation,requested_budget_mm,seed,actual_budget_mean_mm,duplicate_budget_patches,uninformative_patches,max_normalization_factor,mean_gain_mm,median_gain_mm,relative_gain_percent,within_scene_patch_bootstrap_ci95_mm,wins,ties,losses,recall_difference_pp,fscore_difference
scan24,budget0.025__local_plane64__uniform,18,budget,0.5392040211827861,1.1832149521205215,0.4106705355513144,0.9794290836016314,0.9206442965950637,0.024999999999999644,0.1450240120090129,1.0,local_plane64,uniform,0.025,,0.025000000000000005,0,0,0.5825006248099343,0.0003408647756199164,0.000589808428393318,0.06317635186448012,"[-0.0008400614852417644, 0.0014677556719633468]",10,0,8,-0.045925628617465235,-0.00015340610774897432
scan24,budget0.025__multiscale_full__alpha,18,budget,0.5387576067691682,1.1810838611000585,0.4098778576977878,0.9795082348441606,0.9208346015181955,0.02499999999999995,0.12659229409868222,1.0,multiscale_full,alpha,0.025,,0.025000000000000005,0,0,0.9332293003931024,0.0007872791892378448,0.0005384703001318769,0.14591542051952677,"[0.000277676322993355, 0.0013114094272647413]",13,0,5,-0.03801050436451625,3.689881538284892e-05
scan24,budget0.025__multiscale_full__shuffle_92401,18,budget,0.5387641944405711,1.1800965077436176,0.4099942628811562,0.9795392693549301,0.9208504292888282,0.025000000000000216,0.15109088767576614,1.0,multiscale_full,shuffle,0.025,92401,0.025000000000000005,0,0,0.8762160103030262,0.0007806915178348722,0.0005013182008139633,0.1446944523342375,"[0.0002580290692684401, 0.0013199750424378472]",12,0,6,-0.0349070532875843,5.2726586015566175e-05
scan24,budget0.025__multiscale_full__shuffle_92402,18,budget,0.5387911703009305,1.1801376132456578,0.4099679350506262,0.9795696175001982,0.9208467410159993,0.02499999999999996,0.14933687877514615,1.0,multiscale_full,shuffle,0.025,92402,0.025000000000000005,0,0,0.8789040793355168,0.0007537156574755036,0.0005308018262757258,0.1396947088353251,"[0.00024773789431823686, 0.0012692692159575766]",12,0,6,-0.031872238760775426,4.903831318671238e-05
scan24,budget0.025__multiscale_full__shuffle_92403,18,budget,0.5387829846272418,1.1802163323219304,0.4099557019111982,0.9795496655532853,0.9208563342925582,0.025000000000000064,0.15301913726911398,1.0,multiscale_full,shuffle,0.025,92403,0.025000000000000005,0,0,0.8776415933287813,0.000761901331164238,0.0004820475655879508,0.1412118529880546,"[0.0002584588513131254, 0.0012778506586526846]",12,0,6,-0.033867433452069065,5.863158974562922e-05
scan24,budget0.025__multiscale_full__shuffle_92404,18,budget,0.5387720473141341,1.1801142080506437,0.40996180201247134,0.9795201844731584,0.9208409535280276,0.024999999999999904,0.1530579658107462,1.0,multiscale_full,shuffle,0.025,92404,0.025000000000000005,0,0,0.8747661128044667,0.0007728386442719901,0.00047454850052404407,0.1432389898199271,"[0.00026741550352654437, 0.0012838812081261092]",12,0,6,-0.03681554146474826,4.325082521498979e-05
scan24,budget0.025__multiscale_full__shuffle_92405,18,budget,0.5387629018874445,1.1803563900624015,0.409951948767072,0.9795465703471131,0.9208540602500332,0.025000000000000005,0.15324575288173703,1.0,multiscale_full,shuffle,0.025,92405,0.025000000000000005,0,0,0.8764443524473997,0.0007819840709614492,0.0005369191276688168,0.14493401592945432,"[0.0002812454587331727, 0.0012954186473546744]",12,0,6,-0.03417695406927601,5.635754722047951e-05
scan24,budget0.025__multiscale_full__uniform,18,budget,0.5387862181171297,1.1803488637328523,0.40999606056428184,0.9794764584293275,0.9208182837479664,0.02500000000000004,0.14747124608282436,1.0,multiscale_full,uniform,0.025,,0.025000000000000005,0,0,0.7565011675475712,0.0007586678412764882,0.0005353321227429403,0.14061255347248558,"[0.0002422272500477209, 0.0012785467539045872]",12,0,6,-0.041188145847835686,2.0581045153690426e-05
scan24,budget0.025__quadratic64__uniform,18,budget,0.5387997428342548,1.1799708774817959,0.4099438925366315,0.97957138122313,0.9208927891512317,0.024999999999999904,0.1453158070587578,1.0,quadratic64,uniform,0.025,,0.025000000000000005,0,0,0.7387782323565543,0.0007451431241512177,0.0005970917438160583,0.13810586357937416,"[0.0003450724612062832, 0.0011647524334429135]",14,0,4,-0.031695866467570014,9.508644841899061e-05
scan24,budget0.05__local_plane64__uniform,18,budget,0.5394645976995975,1.182497486726901,0.4122876485935493,0.9787015661397955,0.9204550665703786,0.046949949535016924,0.2774935828561446,1.0,local_plane64,uniform,0.05,,0.046949949535016806,0,0,0.8237748413911147,8.02882588083784e-05,0.0008099052206842067,0.014880737617561923,"[-0.0023430129722235835, 0.0023701023628646314]",10,0,8,-0.11867737480103933,-0.00034263613243416965
