phase,case,seed,gap,sigma,supplied_sigma,ratio,dependence,sigma_factor,kind,method,status,seconds,surface_mae_mm,balanced_source_mae_mm,vertical_w1_mm,representation,model_k,n,risk_rms_mm,matched_rms_mm,coverage_1mm,single_false_split,posterior_brier,upper_mass,upper_mass_error,source_gap_error_mm,cross_midplane_mass,fitted_gap_error_mm,dual_missed,bias,retain
confirmation,s9191101_g0_n1_p0.5_l0,9191101,0.0,1.0,1.0,0.5,0.0,1.0,statistical,a_crossfit_gate_map,OK,0.009891972003970295,0.017014893628399055,0.017014893628399055,0.01701489362839915,points,1,768,0.019731533909535418,0.019731533909535418,1.0,0,0.0,,,,,,,,
confirmation,s9191101_g0_n1_p0.5_l0,9191101,0.0,1.0,1.0,0.5,0.0,1.0,statistical,a_insample_gate_map,OK,0.0099069230054738,0.017014893628399055,0.017014893628399055,0.01701489362839915,points,1,768,0.019731533909535418,0.019731533909535418,1.0,0,0.0,,,,,,,,
confirmation,s9191101_g0_n2_p0.5_l0,9191101,0.0,2.0,2.0,0.5,0.0,1.0,statistical,a_crossfit_gate_map,OK,0.009489171003224328,0.03402978725679811,0.03402978725679811,0.0340297872567983,points,1,768,0.039463067819070836,0.039463067819070836,1.0,0,0.0,,,,,,,,
confirmation,s9191101_g0_n2_p0.5_l0,9191101,0.0,2.0,2.0,0.5,0.0,1.0,statistical,a_insample_gate_map,OK,0.009503890993073583,0.03402978725679811,0.03402978725679811,0.0340297872567983,points,1,768,0.039463067819070836,0.039463067819070836,1.0,0,0.0,,,,,,,,
confirmation,s9191101_g2_n1_p0.2_l0,9191101,2.0,1.0,1.0,0.2,0.0,1.0,statistical,a_crossfit_gate_map,OK,2.841022280001198,0.21901154540445422,0.5306150059223711,0.33180364657671435,points,2,768,0.7587653425647154,0.7587653425647154,0.8541666666666666,,0.10843385120948969,0.2903645833333333,0.08984374999999997,0.7482423275500676,0.16989931892212023,0.12140198067523911,0,,
confirmation,s9191101_g2_n1_p0.2_l0,9191101,2.0,1.0,1.0,0.2,0.0,1.0,statistical,a_insample_gate_map,OK,2.841027385002235,0.2177363273569657,0.530045225450914,0.32384751000323764,points,2,768,0.7540310761135409,0.7540310761135409,0.8580729166666666,,0.10652987192182668,0.2838541666666667,0.08333333333333334,0.7412322633013091,0.16988874317864547,0.11017194644472639,0,,
confirmation,s9191101_g2_n1_p0.2_l1,9191101,2.0,1.0,1.0,0.2,1.0,1.0,statistical,a_crossfit_gate_map,OK,3.0223085960024036,0.10428290348291143,0.24900245946009136,0.12339800870723763,points,2,768,0.3269466722328742,0.3269466722328742,0.9817708333333334,,0.013541599005994739,0.19010416666666666,0.010416666666666685,0.14961242014768183,0.03815728245695672,0.4573502545613084,0,,
confirmation,s9191101_g2_n1_p0.2_l1,9191101,2.0,1.0,1.0,0.2,1.0,1.0,statistical,a_insample_gate_map,OK,3.0223134890111396,0.10571173305522778,0.24320870586820947,0.1223658845847393,points,2,768,0.31846539005589963,0.31846539005589963,0.9830729166666666,,0.012704729226476983,0.19140625,0.009114583333333343,0.1631491666482252,0.034910529210203475,0.46270455229407936,0,,
confirmation,s9191101_g2_n1_p0.5_l0,9191101,2.0,1.0,1.0,0.5,0.0,1.0,statistical,a_crossfit_gate_map,OK,2.797092948007048,0.07862399568527924,0.4217576921618831,0.09353413821144704,points,2,768,0.8502280806430402,0.8502280806430402,0.8372395833333334,,0.12852489673831716,0.4908854166666667,0.009114583333333315,0.6711312153731841,0.17838541666666669,0.04105182326337342,0,,
confirmation,s9191101_g2_n1_p0.5_l0,9191101,2.0,1.0,1.0,0.5,0.0,1.0,statistical,a_insample_gate_map,OK,2.797098528011702,0.07790422522082167,0.4218099352659722,0.1016512554224219,points,2,768,0.8507729048915174,0.8507729048915174,0.83984375,,0.12601103629370405,0.4856770833333333,0.014322916666666685,0.6669498897054362,0.17838541666666669,0.048340311012491366,0,,
confirmation,s9191101_g2_n1_p0.5_l1,9191101,2.0,1.0,1.0,0.5,1.0,1.0,statistical,a_crossfit_gate_map,OK,3.080809405000764,0.0500038800556955,0.0967813017732739,0.059143870121271806,points,2,768,0.31167516521181254,0.31167516521181254,0.9778645833333334,,0.016976569823002757,0.5052083333333334,0.00520833333333337,0.06915141436226979,0.026041666666666664,0.15652933175392758,0,,
confirmation,s9191101_g2_n1_p0.5_l1,9191101,2.0,1.0,1.0,0.5,1.0,1.0,statistical,a_insample_gate_map,OK,3.0808149880031124,0.04400141195542856,0.08437515430854493,0.05562165759829041,points,2,768,0.28899967104495466,0.28899967104495466,0.98046875,,0.0148290977571649,0.5065104166666666,0.00651041666666663,0.058608236096239885,0.022135416666666664,0.13770336193330035,0,,
confirmation,s9191101_g2_n1_p0.8_l0,9191101,2.0,1.0,1.0,0.8,0.0,1.0,statistical,a_crossfit_gate_map,OK,2.7022260270023253,0.06370350033566224,0.4548314214471524,0.08859541092464297,points,2,768,0.7063110987013237,0.7063110987013237,0.8932291666666666,,0.08324884592432731,0.8125,0.01302083333333337,0.745499486309211,0.1989720377342527,0.07252744218051443,0,,
confirmation,s9191101_g2_n1_p0.8_l0,9191101,2.0,1.0,1.0,0.8,0.0,1.0,statistical,a_insample_gate_map,OK,2.7022303879930405,0.0651391827128478,0.4283474821194696,0.08245583765530254,points,2,768,0.6877142920000002,0.6877142920000002,0.8984375,,0.08283476271459157,0.80859375,0.00911458333333337,0.68439910729832,0.1851706924996827,0.07850563772760655,0,,
