phase,case,seed,gap,sigma,supplied_sigma,ratio,dependence,sigma_factor,kind,method,status,seconds,surface_mae_mm,balanced_source_mae_mm,vertical_w1_mm,representation,model_k,n,risk_rms_mm,matched_rms_mm,coverage_1mm,single_false_split,posterior_brier,weighted_reference_near_mass,upper_mass,upper_mass_error,source_gap_error_mm,cross_midplane_mass,fitted_gap_error_mm,dual_missed,bias,retain
confirmation,s9191101_g0_n1_p0.5_l0,9191101,0.0,1.0,1.0,0.5,0.0,1.0,statistical,b_identity,OK,0.023835036001401022,0.8510499726033575,0.8510499726033575,0.8510499726033592,points,0,768,1.0491482294371373,1.0491482294371373,0.6848958333333334,,,,,,,,,,,
confirmation,s9191101_g0_n1_p0.5_l0,9191101,0.0,1.0,1.0,0.5,0.0,1.0,statistical,b_map,OK,0.023812904008082114,0.017014893628399058,0.017014893628399058,0.01701489362839915,points,1,768,0.019731533909535418,0.019731533909535418,1.0,0,0.0,,,,,,,,,
confirmation,s9191101_g0_n1_p0.5_l0,9191101,0.0,1.0,1.0,0.5,0.0,1.0,statistical,b_mean,OK,0.02383077501144726,0.017014893628399058,0.017014893628399058,0.01701489362839915,points,1,768,0.019731533909535418,0.019731533909535418,1.0,0,0.0,,,,,,,,,
confirmation,s9191101_g0_n1_p0.5_l0,9191101,0.0,1.0,1.0,0.5,0.0,1.0,statistical,b_posterior_draw,OK,0.023834518011426553,0.017014893628399058,0.017014893628399058,0.01701489362839915,points,1,768,0.019731533909535418,0.019731533909535418,1.0,0,0.0,,,,,,,,,
confirmation,s9191101_g0_n1_p0.5_l0,9191101,0.0,1.0,1.0,0.5,0.0,1.0,statistical,b_quota_map,OK,0.023834008010453545,0.017014893628399058,0.017014893628399058,0.01701489362839915,points,1,768,0.019731533909535418,0.019731533909535418,1.0,0,0.0,,,,,,,,,
confirmation,s9191101_g0_n1_p0.5_l0,9191101,0.0,1.0,1.0,0.5,0.0,1.0,statistical,b_weighted_measure,OK,0.023833397004636936,0.017014893628399058,0.017014893628399058,0.01701489362839915,weighted,1,768,0.019731533909535418,,,0,0.0,1.0000000000000007,,,,,,,,
confirmation,s9191101_g0_n2_p0.5_l0,9191101,0.0,2.0,2.0,0.5,0.0,1.0,statistical,b_identity,OK,0.025462364006671123,1.702099945206715,1.702099945206715,1.7020999452067185,points,0,768,2.0982964588742745,2.0982964588742745,0.37890625,,,,,,,,,,,
confirmation,s9191101_g0_n2_p0.5_l0,9191101,0.0,2.0,2.0,0.5,0.0,1.0,statistical,b_map,OK,0.025442458005272783,0.034029787256798116,0.034029787256798116,0.0340297872567983,points,1,768,0.039463067819070836,0.039463067819070836,1.0,0,0.0,,,,,,,,,
confirmation,s9191101_g0_n2_p0.5_l0,9191101,0.0,2.0,2.0,0.5,0.0,1.0,statistical,b_mean,OK,0.025457787996856496,0.034029787256798116,0.034029787256798116,0.0340297872567983,points,1,768,0.039463067819070836,0.039463067819070836,1.0,0,0.0,,,,,,,,,
confirmation,s9191101_g0_n2_p0.5_l0,9191101,0.0,2.0,2.0,0.5,0.0,1.0,statistical,b_posterior_draw,OK,0.025461851997533813,0.034029787256798116,0.034029787256798116,0.0340297872567983,points,1,768,0.039463067819070836,0.039463067819070836,1.0,0,0.0,,,,,,,,,
confirmation,s9191101_g0_n2_p0.5_l0,9191101,0.0,2.0,2.0,0.5,0.0,1.0,statistical,b_quota_map,OK,0.02546118400641717,0.034029787256798116,0.034029787256798116,0.0340297872567983,points,1,768,0.039463067819070836,0.039463067819070836,1.0,0,0.0,,,,,,,,,
confirmation,s9191101_g0_n2_p0.5_l0,9191101,0.0,2.0,2.0,0.5,0.0,1.0,statistical,b_weighted_measure,OK,0.025460450997343287,0.034029787256798116,0.034029787256798116,0.0340297872567983,weighted,1,768,0.039463067819070836,,,0,0.0,1.0000000000000007,,,,,,,,
confirmation,s9191101_g2_n1_p0.2_l0,9191101,2.0,1.0,1.0,0.2,0.0,1.0,statistical,b_identity,OK,0.030365330007043667,0.6716384670611747,0.8211417814620627,0.7415972014698005,points,0,768,1.0491482294371373,1.0491482294371373,0.67578125,,,,0.32421875,0.12369791666666666,0.0546888442306952,0.15452218790981007,,,,
confirmation,s9191101_g2_n1_p0.2_l0,9191101,2.0,1.0,1.0,0.2,0.0,1.0,statistical,b_map,OK,0.030358329007867724,0.2177363273569657,0.530045225450914,0.32384751000323764,points,2,768,0.7540310761135409,0.7540310761135409,0.8580729166666666,,0.10652987192182668,,0.2838541666666667,0.08333333333333334,0.7412322633013091,0.16988874317864547,0.11017194644472639,0,,
confirmation,s9191101_g2_n1_p0.2_l0,9191101,2.0,1.0,1.0,0.2,0.0,1.0,statistical,b_mean,OK,0.030363038007635623,0.3286483633007132,0.5519141013961723,0.33130105130582455,points,2,768,0.6058613179092149,0.6058613179092149,0.8684895833333334,,0.10652987192182668,,0.22916666666666666,0.028645833333333315,0.9734645553024326,0.1925419857015948,0.11017194644472639,0,,
confirmation,s9191101_g2_n1_p0.2_l0,9191101,2.0,1.0,1.0,0.2,0.0,1.0,statistical,b_posterior_draw,OK,0.030364821999683045,0.22117920068336341,0.6489556083975494,0.36871543787297123,points,2,768,0.8821307137392502,0.8821307137392502,0.7981770833333334,,0.10652987192182668,,0.3151041666666667,0.11458333333333334,0.9992958428468242,0.23816574305173654,0.11017194644472639,0,,
confirmation,s9191101_g2_n1_p0.2_l0,9191101,2.0,1.0,1.0,0.2,0.0,1.0,statistical,b_quota_map,OK,0.03036428701307159,0.22089229457283024,0.5062851765431515,0.36499483764281593,points,2,768,0.7646415678386791,0.7646415678386791,0.84765625,,0.10652987192182668,,0.3125,0.11197916666666666,0.7014994259301444,0.1593764541647278,0.11017194644472639,0,,
confirmation,s9191101_g2_n1_p0.2_l0,9191101,2.0,1.0,1.0,0.2,0.0,1.0,statistical,b_weighted_measure,OK,0.030363729005330242,0.2209522079735021,0.6363138138497207,0.3655518330640007,weighted,2,768,0.8701137574133553,,,,0.10652987192182668,0.7934826469668994,0.3130438172112342,0.11252298387790086,0.9734645553024326,0.2313314473347807,0.11017194644472639,0,,
confirmation,s9191101_g2_n1_p0.2_l1,9191101,2.0,1.0,1.0,0.2,1.0,1.0,statistical,b_identity,OK,0.03574273700360209,0.6755887072337236,0.8672470876480728,0.7376086260274504,points,0,768,1.0491482294371373,1.0491482294371373,0.6848958333333334,,,,0.2994791666666667,0.09895833333333334,0.2137037177564216,0.15935530267777825,,,,
confirmation,s9191101_g2_n1_p0.2_l1,9191101,2.0,1.0,1.0,0.2,1.0,1.0,statistical,b_map,OK,0.035734970995690674,0.10571171848540882,0.2432086821945454,0.1223658703568816,points,2,768,0.3184653771918919,0.3184653771918919,0.9830729166666666,,0.01270472900759504,,0.19140625,0.009114583333333343,0.16314913588923252,0.034910529210203475,0.4627044790870798,0,,
confirmation,s9191101_g2_n1_p0.2_l1,9191101,2.0,1.0,1.0,0.2,1.0,1.0,statistical,b_mean,OK,0.03573958399647381,0.10383781868611498,0.2132305673320911,0.11088081757382084,points,2,768,0.26029358744107356,0.26029358744107356,0.9830729166666666,,0.01270472900759504,,0.19140625,0.009114583333333343,0.10403869964821899,0.034910529210203475,0.4627044790870798,0,,
confirmation,s9191101_g2_n1_p0.2_l1,9191101,2.0,1.0,1.0,0.2,1.0,1.0,statistical,b_posterior_draw,OK,0.03574191599909682,0.10501938188233617,0.29842607676493804,0.13125420400863905,points,2,768,0.42032688587339045,0.42032688587339045,0.9700520833333334,,0.01270472900759504,,0.18619791666666666,0.014322916666666685,0.01917275828872711,0.06414188417445746,0.4627044790870798,0,,
confirmation,s9191101_g2_n1_p0.2_l1,9191101,2.0,1.0,1.0,0.2,1.0,1.0,statistical,b_quota_map,OK,0.035741111991228536,0.10543374056154166,0.24140616831382064,0.12448046898874085,points,2,768,0.3071194003600061,0.3071194003600061,0.984375,,0.01270472900759504,,0.19010416666666666,0.010416666666666685,0.16716005523627997,0.03409619696264647,0.4627044790870798,0,,
confirmation,s9191101_g2_n1_p0.2_l1,9191101,2.0,1.0,1.0,0.2,1.0,1.0,statistical,b_weighted_measure,OK,0.03574037399084773,0.10553141988866384,0.2658704989910467,0.12529284270877572,weighted,2,768,0.36591291750656707,,,,0.01270472900759504,0.9763900019961254,0.18971532752603038,0.010805505807302968,0.10403869964821899,0.046911651704390406,0.4627044790870798,0,,
confirmation,s9191101_g2_n1_p0.5_l0,9191101,2.0,1.0,1.0,0.5,0.0,1.0,statistical,b_identity,OK,0.029437442004564218,0.6711663369183238,0.8510499726033575,0.6712049442475442,points,0,768,1.0491482294371373,1.0491482294371373,0.6731770833333334,,,,0.5026041666666666,0.0026041666666666297,0.013392837357957932,0.17447916666666669,,,,
confirmation,s9191101_g2_n1_p0.5_l0,9191101,2.0,1.0,1.0,0.5,0.0,1.0,statistical,b_map,OK,0.02943005999259185,0.07790422522082167,0.4218099352659722,0.1016512554224219,points,2,768,0.8507729048915174,0.8507729048915174,0.83984375,,0.12601103629370405,,0.4856770833333333,0.014322916666666685,0.6669498897054362,0.17838541666666669,0.048340311012491366,0,,
confirmation,s9191101_g2_n1_p0.5_l0,9191101,2.0,1.0,1.0,0.5,0.0,1.0,statistical,b_mean,OK,0.029435242991894484,0.3147767465828617,0.47465542238775293,0.31477674658286087,points,2,768,0.7076867197051607,0.7076867197051607,0.8385416666666666,,0.12601103629370405,,0.5,0.0,0.902555406675065,0.17708333333333334,0.048340311012491366,0,,
confirmation,s9191101_g2_n1_p0.5_l0,9191101,2.0,1.0,1.0,0.5,0.0,1.0,statistical,b_posterior_draw,OK,0.029436980999889784,0.07835226500649396,0.5430815566794647,0.07835226500650858,points,2,768,0.9901939724056924,0.9901939724056924,0.7825520833333334,,0.12601103629370405,,0.5,0.0,0.9176582090220695,0.23958333333333334,0.048340311012491366,0,,
