case,seed,gap,sigma,bias,retain,phase,kind,supplied_sigma,sigma_factor,method,status,seconds,surface_mae_mm,balanced_source_mae_mm,vertical_w1_mm,representation,model_k,n,risk_rms_mm,matched_rms_mm,coverage_1mm,single_false_split,posterior_brier,upper_mass,upper_mass_error,source_gap_error_mm,cross_midplane_mass,fitted_gap_error_mm,dual_missed,ratio,dependence,weighted_reference_near_mass
s9182101_g0_n0.5_b0_r0.25,9182101,0,0.5,0,0.25,development,bridge,0.5,1.0,a_crossfit_gate_map,OK,0.0052502079925034195,0.06437423002630352,0.06437423002630352,0.06437423002630366,points,1,192,0.07751220912421866,0.07751220912421866,1.0,0,0.0,,,,,,,,,
s9182101_g0_n0.5_b0_r0.25,9182101,0,0.5,0,0.25,development,bridge,0.5,1.0,a_insample_gate_map,OK,0.005263298997306265,0.06437423002630352,0.06437423002630352,0.06437423002630366,points,1,192,0.07751220912421866,0.07751220912421866,1.0,0,0.0,,,,,,,,,
s9182101_g0_n0.5_b0_r1.0,9182101,0,0.5,0,1.0,development,bridge,0.5,1.0,a_crossfit_gate_map,OK,0.010270981001667678,0.015936045919580453,0.015936045919580453,0.01593604591958061,points,1,768,0.01946197641163355,0.01946197641163355,1.0,0,0.0,,,,,,,,,
s9182101_g0_n0.5_b0_r1.0,9182101,0,0.5,0,1.0,development,bridge,0.5,1.0,a_insample_gate_map,OK,0.010284332005539909,0.015936045919580453,0.015936045919580453,0.01593604591958061,points,1,768,0.01946197641163355,0.01946197641163355,1.0,0,0.0,,,,,,,,,
s9182101_g0_n0.5_b4_r0.25,9182101,0,0.5,4,0.25,development,bridge,0.5,1.0,a_crossfit_gate_map,OK,0.0037695279897889122,0.14153064844334728,0.14153064844334728,0.14153064844334742,points,1,192,0.148852367476353,0.148852367476353,1.0,0,0.0,,,,,,,,,
s9182101_g0_n0.5_b4_r0.25,9182101,0,0.5,4,0.25,development,bridge,0.5,1.0,a_insample_gate_map,OK,0.0037737419916084036,0.14153064844334728,0.14153064844334728,0.14153064844334742,points,1,192,0.148852367476353,0.148852367476353,1.0,0,0.0,,,,,,,,,
s9182101_g0_n0.5_b4_r1.0,9182101,0,0.5,4,1.0,development,bridge,0.5,1.0,a_crossfit_gate_map,OK,0.009457975989789702,0.015935428935127272,0.015935428935127272,0.01593542893512743,points,1,768,0.026024959075577045,0.026024959075577045,1.0,0,0.0,,,,,,,,,
s9182101_g0_n0.5_b4_r1.0,9182101,0,0.5,4,1.0,development,bridge,0.5,1.0,a_insample_gate_map,OK,0.009461483001359738,0.015935428935127272,0.015935428935127272,0.01593542893512743,points,1,768,0.026024959075577045,0.026024959075577045,1.0,0,0.0,,,,,,,,,
s9182101_g0_n1.0_b0_r0.25,9182101,0,1.0,0,0.25,development,bridge,1.0,1.0,a_crossfit_gate_map,OK,0.0035977299994556233,0.1287512062219001,0.1287512062219001,0.12875120622190037,points,1,192,0.155026706254506,0.155026706254506,1.0,0,0.0,,,,,,,,,
s9182101_g0_n1.0_b0_r0.25,9182101,0,1.0,0,0.25,development,bridge,1.0,1.0,a_insample_gate_map,OK,0.0036003599961986765,0.1287512062219001,0.1287512062219001,0.12875120622190037,points,1,192,0.155026706254506,0.155026706254506,1.0,0,0.0,,,,,,,,,
s9182101_g0_n1.0_b0_r1.0,9182101,0,1.0,0,1.0,development,bridge,1.0,1.0,a_crossfit_gate_map,OK,0.0096416440064786,0.03193116741386365,0.03193116741386365,0.03193116741386397,points,1,768,0.039622972025763696,0.039622972025763696,1.0,0,0.0,,,,,,,,,
s9182101_g0_n1.0_b0_r1.0,9182101,0,1.0,0,1.0,development,bridge,1.0,1.0,a_insample_gate_map,OK,0.009645154001191258,0.03193116741386365,0.03193116741386365,0.03193116741386397,points,1,768,0.039622972025763696,0.039622972025763696,1.0,0,0.0,,,,,,,,,
s9182101_g0_n1.0_b4_r0.25,9182101,0,1.0,4,0.25,development,bridge,1.0,1.0,a_crossfit_gate_map,OK,0.0038150429900269955,0.20384086878492794,0.20384086878492794,0.20384086878492824,points,1,192,0.22373228189798208,0.22373228189798208,1.0,0,0.0,,,,,,,,,
s9182101_g0_n1.0_b4_r0.25,9182101,0,1.0,4,0.25,development,bridge,1.0,1.0,a_insample_gate_map,OK,0.0038182930002221838,0.20384086878492794,0.20384086878492794,0.20384086878492824,points,1,192,0.22373228189798208,0.22373228189798208,1.0,0,0.0,,,,,,,,,
s9182101_g0_n1.0_b4_r1.0,9182101,0,1.0,4,1.0,development,bridge,1.0,1.0,a_crossfit_gate_map,OK,0.00866820900409948,0.03192858703329791,0.03192858703329791,0.03192858703329823,points,1,768,0.05197049916818204,0.05197049916818204,1.0,0,0.0,,,,,,,,,
s9182101_g0_n1.0_b4_r1.0,9182101,0,1.0,4,1.0,development,bridge,1.0,1.0,a_insample_gate_map,OK,0.008671644012792967,0.03192858703329791,0.03192858703329791,0.03192858703329823,points,1,768,0.05197049916818204,0.05197049916818204,1.0,0,0.0,,,,,,,,,
s9182101_g0_n2.0_b0_r0.25,9182101,0,2.0,0,0.25,development,bridge,2.0,1.0,a_crossfit_gate_map,OK,0.003623860000516288,0.2575321714372473,0.2575321714372473,0.2575321714372479,points,1,192,0.31008792031252497,0.31008792031252497,1.0,0,0.0,,,,,,,,,
s9182101_g0_n2.0_b0_r0.25,9182101,0,2.0,0,0.25,development,bridge,2.0,1.0,a_insample_gate_map,OK,0.0036275390011724085,0.2575321714372473,0.2575321714372473,0.2575321714372479,points,1,192,0.31008792031252497,0.31008792031252497,1.0,0,0.0,,,,,,,,,
s9182101_g0_n2.0_b0_r1.0,9182101,0,2.0,0,1.0,development,bridge,2.0,1.0,a_crossfit_gate_map,OK,0.008767959006945603,0.0643250500727971,0.0643250500727971,0.06432505007279772,points,1,768,0.08471003157990886,0.08471003157990886,1.0,0,0.0,,,,,,,,,
s9182101_g0_n2.0_b0_r1.0,9182101,0,2.0,0,1.0,development,bridge,2.0,1.0,a_insample_gate_map,OK,0.00877201699768193,0.0643250500727971,0.0643250500727971,0.06432505007279772,points,1,768,0.08471003157990886,0.08471003157990886,1.0,0,0.0,,,,,,,,,
s9182101_g0_n2.0_b4_r0.25,9182101,0,2.0,4,0.25,development,bridge,2.0,1.0,a_crossfit_gate_map,OK,0.0035850209969794378,0.32846130946808844,0.32846130946808844,0.32846130946808905,points,1,192,0.37673606387789343,0.37673606387789343,1.0,0,0.0,,,,,,,,,
s9182101_g0_n2.0_b4_r0.25,9182101,0,2.0,4,0.25,development,bridge,2.0,1.0,a_insample_gate_map,OK,0.0035880959912901744,0.32846130946808844,0.32846130946808844,0.32846130946808905,points,1,192,0.37673606387789343,0.37673606387789343,1.0,0,0.0,,,,,,,,,
s9182101_g0_n2.0_b4_r1.0,9182101,0,2.0,4,1.0,development,bridge,2.0,1.0,a_crossfit_gate_map,OK,0.009594756993465126,0.06438124492821283,0.06438124492821283,0.06438124492821347,points,1,768,0.10819012133875251,0.10819012133875251,1.0,0,0.0,,,,,,,,,
s9182101_g0_n2.0_b4_r1.0,9182101,0,2.0,4,1.0,development,bridge,2.0,1.0,a_insample_gate_map,OK,0.009599418990546837,0.06438124492821283,0.06438124492821283,0.06438124492821347,points,1,768,0.10819012133875251,0.10819012133875251,1.0,0,0.0,,,,,,,,,
s9182101_g2_n0.5_b0_r0.25,9182101,2,0.5,0,0.25,development,bridge,0.5,1.0,a_crossfit_gate_map,OK,2.5705856650019996,0.055196444260395404,0.0665017447972447,0.055196444260399914,points,2,428,0.10752184315762481,0.10752184315762481,0.9953271028037384,,0.00028159268880154526,0.25934579439252337,0.0,0.04697736533758734,0.0,0.06407454208158958,0,,,
