phase,case,seed,gap,sigma,method,status,shared_case_seconds,bias,retain,selected_family,identifiable,geometry_scored,surface_accuracy_mean_mm,surface_accuracy_rms_mm,surface_accuracy_p95_mm,reference_sample_coverage_1mm,reference_sample_coverage_2mm,reference_sample_distance_mean_mm,output_point_count_ratio,matched_point_rms_mm,matched_normal_mae_mm,within_source_layer_rms_mm,reported_model_k,model_k_note,layer_balanced_source_surface_mae_mm,worst_layer_source_surface_mae_mm,independent_surface_mae_mm,surface_mae_mm,balanced_source_mae_mm,worst_source_mae_mm,model_k,matched_rms_mm,k,fitted_normal_angle_deg,support,plane_vector_world,source_geometry_scope,single_false_split,source_group_gap_mm,source_group_gap_error_mm,source_group_gap_retention,fitted_vertical_gap_mm,fitted_gap_error_mm,fitted_perpendicular_gap_mm,source_gap_mm,source_gap_error_mm,counterfactual_source_gap_mm,counterfactual_source_gap_error_mm,fitted_source_plane_mae_mm,assignment_error,supported_assignment_error,counterfactual_geometry_mse_mm2,assignment_delta_mse_mm2,geometry_assignment_cross_mm2,total_mse_mm2,decomposition_error_mm2,supported_counterfactual_geometry_mse_mm2,supported_assignment_delta_mse_mm2,supported_geometry_assignment_cross_mm2,supported_total_mse_mm2,supported_decomposition_error_mm2
bridge,s9172101_g0_n0.5_b0_r0.25,9172101,0,0.5,adaptive_bic,OK,9.16071510999609,0,0.25,S,True,True,0.0701346490048717,0.08410790110055494,0.1600026005838368,1.0,1.0,0.0702216519587593,1.0,0.08413142652432118,0.0701346490048717,0.07425537743447042,1,self-report; not geometry-derived layer count or success,0.0701346490048717,0.0701346490048717,0.0701346490048717,0.0701346490048717,0.0701346490048717,0.0701346490048717,1,0.08413142652432118,1,0.15669558940746348,1.0,"[0.0009366029669701784, -0.0025694730411949308, 0.9999968820098603]",V17 new-seed synthetic first returns; frozen upstream; not real geometry,0,,,,,,,,,,,,,,,,,,,,,,,
bridge,s9172101_g0_n0.5_b0_r0.25,9172101,0,0.5,adaptive_cv,OK,9.16071510999609,0,0.25,R,True,True,0.13046541321142197,0.2466788540002302,0.7171613846799576,1.0,1.0,0.13052249009664393,1.0,0.24668458986622055,0.13046541321142197,0.2455128301794834,2,self-report; not geometry-derived layer count or success,0.13046541321142197,0.13046541321142197,0.13046541321142197,0.13046541321142197,0.13046541321142197,0.13046541321142197,2,0.24668458986622055,2,0.16445760361901773,1.0,"[6.667574868120859e-05, -0.002869552414879059, 0.9999973486796986]",V17 new-seed synthetic first returns; frozen upstream; not real geometry,1,,,,,,,,,,,,,,,,,,,,,,,
bridge,s9172101_g0_n0.5_b0_r0.25,9172101,0,0.5,constant_only,OK,9.16071510999609,0,0.25,S,True,True,0.0701346490048717,0.08410790110055494,0.1600026005838368,1.0,1.0,0.0702216519587593,1.0,0.08413142652432118,0.0701346490048717,0.07425537743447042,1,self-report; not geometry-derived layer count or success,0.0701346490048717,0.0701346490048717,0.0701346490048717,0.0701346490048717,0.0701346490048717,0.0701346490048717,1,0.08413142652432118,1,0.15669558940746348,1.0,"[0.0009366029669701784, -0.0025694730411949308, 0.9999968820098603]",V17 new-seed synthetic first returns; frozen upstream; not real geometry,0,,,,,,,,,,,,,,,,,,,,,,,
bridge,s9172101_g0_n0.5_b0_r0.25,9172101,0,0.5,linear_only,OK,9.16071510999609,0,0.25,S,True,True,0.0701346490048717,0.08410790110055494,0.1600026005838368,1.0,1.0,0.0702216519587593,1.0,0.08413142652432118,0.0701346490048717,0.07425537743447042,1,self-report; not geometry-derived layer count or success,0.0701346490048717,0.0701346490048717,0.0701346490048717,0.0701346490048717,0.0701346490048717,0.0701346490048717,1,0.08413142652432118,1,0.15669558940746348,1.0,"[0.0009366029669701784, -0.0025694730411949308, 0.9999968820098603]",V17 new-seed synthetic first returns; frozen upstream; not real geometry,0,,,,,,,,,,,,,,,,,,,,,,,
bridge,s9172101_g0_n0.5_b0_r0.25,9172101,0,0.5,old_constant64,OK,9.16071510999609,0,0.25,S,True,True,0.0701346490048717,0.08410790110055494,0.1600026005838368,1.0,1.0,0.0702216519587593,1.0,0.08413142652432118,0.0701346490048717,0.07425537743447042,1,self-report; not geometry-derived layer count or success,0.0701346490048717,0.0701346490048717,0.0701346490048717,0.0701346490048717,0.0701346490048717,0.0701346490048717,1,0.08413142652432118,1,0.15669558940746348,1.0,"[0.0009366029669701784, -0.0025694730411949308, 0.9999968820098603]",V17 new-seed synthetic first returns; frozen upstream; not real geometry,0,,,,,,,,,,,,,,,,,,,,,,,
bridge,s9172101_g0_n0.5_b0_r0.25,9172101,0,0.5,old_spatial36,OK,9.16071510999609,0,0.25,S,True,True,0.07013464900487168,0.08410790110055492,0.16000260058383678,1.0,1.0,0.0702216519587593,1.0,0.08413142652432118,0.07013464900487168,0.07425537743447042,1,self-report; not geometry-derived layer count or success,0.07013464900487168,0.07013464900487168,0.07013464900487168,0.07013464900487168,0.07013464900487168,0.07013464900487168,1,0.08413142652432118,1,0.15669558940746348,1.0,"[0.0009366029669701784, -0.0025694730411949308, 0.9999968820098603]",V17 new-seed synthetic first returns; frozen upstream; not real geometry,0,,,,,,,,,,,,,,,,,,,,,,,
bridge,s9172101_g0_n0.5_b0_r0.25,9172101,0,0.5,rbf_only,OK,9.16071510999609,0,0.25,S,True,True,0.0701346490048717,0.08410790110055494,0.1600026005838368,1.0,1.0,0.0702216519587593,1.0,0.08413142652432118,0.0701346490048717,0.07425537743447042,1,self-report; not geometry-derived layer count or success,0.0701346490048717,0.0701346490048717,0.0701346490048717,0.0701346490048717,0.0701346490048717,0.0701346490048717,1,0.08413142652432118,1,0.15669558940746348,1.0,"[0.0009366029669701784, -0.0025694730411949308, 0.9999968820098603]",V17 new-seed synthetic first returns; frozen upstream; not real geometry,0,,,,,,,,,,,,,,,,,,,,,,,
bridge,s9172101_g0_n0.5_b0_r1.0,9172101,0,0.5,adaptive_bic,OK,16.351615414998378,0,1.0,S,True,True,0.023643968643106725,0.028414812617315693,0.05175390385870491,1.0,1.0,0.02366790617587768,1.0,0.028421773611596573,0.023643968643106725,0.024064736536607064,1,self-report; not geometry-derived layer count or success,0.023643968643106725,0.023643968643106725,0.023643968643106725,0.023643968643106725,0.023643968643106725,0.023643968643106725,1,0.028421773611596573,1,0.039043874943533896,1.0,"[0.0006746498493769744, -9.599618929695094e-05, 1.0000014925871865]",V17 new-seed synthetic first returns; frozen upstream; not real geometry,0,,,,,,,,,,,,,,,,,,,,,,,
bridge,s9172101_g0_n0.5_b0_r1.0,9172101,0,0.5,adaptive_cv,OK,16.351615414998378,0,1.0,S,True,True,0.023643968643106725,0.028414812617315693,0.05175390385870491,1.0,1.0,0.02366790617587768,1.0,0.028421773611596573,0.023643968643106725,0.024064736536607064,1,self-report; not geometry-derived layer count or success,0.023643968643106725,0.023643968643106725,0.023643968643106725,0.023643968643106725,0.023643968643106725,0.023643968643106725,1,0.028421773611596573,1,0.039043874943533896,1.0,"[0.0006746498493769744, -9.599618929695094e-05, 1.0000014925871865]",V17 new-seed synthetic first returns; frozen upstream; not real geometry,0,,,,,,,,,,,,,,,,,,,,,,,
bridge,s9172101_g0_n0.5_b0_r1.0,9172101,0,0.5,constant_only,OK,16.351615414998378,0,1.0,S,True,True,0.023643968643106725,0.028414812617315693,0.05175390385870491,1.0,1.0,0.02366790617587768,1.0,0.028421773611596573,0.023643968643106725,0.024064736536607064,1,self-report; not geometry-derived layer count or success,0.023643968643106725,0.023643968643106725,0.023643968643106725,0.023643968643106725,0.023643968643106725,0.023643968643106725,1,0.028421773611596573,1,0.039043874943533896,1.0,"[0.0006746498493769744, -9.599618929695094e-05, 1.0000014925871865]",V17 new-seed synthetic first returns; frozen upstream; not real geometry,0,,,,,,,,,,,,,,,,,,,,,,,
