phase,case,seed,gap,sigma,method,status,shared_case_seconds,dependence,selected_family,surface_mae_mm,matched_rms_mm,balanced_source_mae_mm,worst_source_mae_mm,coverage_1mm,model_k,slope_error,slope_angle_deg,single_false_split,alpha,beta,assignment_error,fitted_gap_mm,fitted_perpendicular_gap_mm,source_gap_from_assignment_mm,source_gap_from_slope_mm,fitted_gap_error_mm,source_gap_mm,source_gap_error_mm,source_gap_relative_error,gap_identity_error_mm,balanced_midplane_crossing,counterfactual_source_gap_mm,counterfactual_geometry_mse_mm2,assignment_delta_mse_mm2,geometry_assignment_cross_mm2,total_mse_mm2,decomposition_error_mm2
development,s9161101_g0_n1_l0,9161101,0.0,1.0,adaptive_bic,OK,8.193667826002638,0.0,S,0.039362533364395214,0.04809447338843303,0.039362533364395214,0.039362533364395214,1.0,1,0.07365755448457989,0.08440527896641105,0,,,,,,,,,,,,,,,,,,,
development,s9161101_g0_n1_l0,9161101,0.0,1.0,adaptive_cv,OK,8.193667826002638,0.0,C,0.03936253412759513,0.04809447427787846,0.03936253412759513,0.03936253412759513,1.0,2,0.07365755525241625,0.0844052798462848,1,,,,,,,,,,,,,,,,,,,
development,s9161101_g0_n1_l0,9161101,0.0,1.0,constant_only,OK,8.193667826002638,0.0,S,0.039362533364395214,0.04809447338843303,0.039362533364395214,0.039362533364395214,1.0,1,0.07365755448457989,0.08440527896641105,0,,,,,,,,,,,,,,,,,,,
development,s9161101_g0_n1_l0,9161101,0.0,1.0,linear_only,OK,8.193667826002638,0.0,S,0.039362533364395214,0.04809447338843303,0.039362533364395214,0.039362533364395214,1.0,1,0.07365755448457989,0.08440527896641105,0,,,,,,,,,,,,,,,,,,,
development,s9161101_g0_n1_l0,9161101,0.0,1.0,old_constant64,OK,8.193667826002638,0.0,S,0.039362533364395214,0.04809447338843303,0.039362533364395214,0.039362533364395214,1.0,1,0.07365755448457989,0.08440527896641105,0,,,,,,,,,,,,,,,,,,,
development,s9161101_g0_n1_l0,9161101,0.0,1.0,old_spatial36,OK,8.193667826002638,0.0,S,0.039362533364395214,0.04809447338843303,0.039362533364395214,0.039362533364395214,1.0,1,0.07365755448457989,0.08440527896641105,0,,,,,,,,,,,,,,,,,,,
development,s9161101_g0_n1_l0,9161101,0.0,1.0,rbf_only,OK,8.193667826002638,0.0,S,0.039362533364395214,0.04809447338843303,0.039362533364395214,0.039362533364395214,1.0,1,0.07365755448457989,0.08440527896641105,0,,,,,,,,,,,,,,,,,,,
development,s9161101_g0_n2_l0,9161101,0.0,2.0,adaptive_bic,OK,8.229649423999945,0.0,S,0.07872506672879043,0.09618894677686605,0.07872506672879043,0.07872506672879043,1.0,1,0.14731510896915978,0.16881019158663596,0,,,,,,,,,,,,,,,,,,,
development,s9161101_g0_n2_l0,9161101,0.0,2.0,adaptive_cv,OK,8.229649423999945,0.0,C,0.07872506825519025,0.09618894855575692,0.07872506825519025,0.07872506825519025,1.0,2,0.1473151105048325,0.168810193346372,1,,,,,,,,,,,,,,,,,,,
development,s9161101_g0_n2_l0,9161101,0.0,2.0,constant_only,OK,8.229649423999945,0.0,S,0.07872506672879043,0.09618894677686605,0.07872506672879043,0.07872506672879043,1.0,1,0.14731510896915978,0.16881019158663596,0,,,,,,,,,,,,,,,,,,,
development,s9161101_g0_n2_l0,9161101,0.0,2.0,linear_only,OK,8.229649423999945,0.0,S,0.07872506672879043,0.09618894677686605,0.07872506672879043,0.07872506672879043,1.0,1,0.14731510896915978,0.16881019158663596,0,,,,,,,,,,,,,,,,,,,
development,s9161101_g0_n2_l0,9161101,0.0,2.0,old_constant64,OK,8.229649423999945,0.0,S,0.07872506672879043,0.09618894677686605,0.07872506672879043,0.07872506672879043,1.0,1,0.14731510896915978,0.16881019158663596,0,,,,,,,,,,,,,,,,,,,
