case,primary,gap_mm,bias_rms_mm,surface_accuracy_mean_mm__original_sharing_loss,surface_accuracy_mean_mm__oracle_sharing_loss,surface_accuracy_mean_mm__difference_in_differences,matched_point_rms_mm__original_sharing_loss,matched_point_rms_mm__oracle_sharing_loss,matched_point_rms_mm__difference_in_differences,fitted_gap_at_same_xy_error_mm__original_sharing_loss,fitted_gap_at_same_xy_error_mm__oracle_sharing_loss,fitted_gap_at_same_xy_error_mm__difference_in_differences
ghost_s912101_b0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
ghost_s912101_b4,True,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
dual_g2_s912101_b0,False,2.0,0.0,-0.006551699905355812,-0.01916834705970559,-0.012616647154349778,0.03761679732286677,-0.03947421901460642,-0.07709101633747319,0.7405530902489939,-0.1742813097069269,-0.9148343999559208
dual_g2_s912101_b4,False,2.0,4.0,-0.00656453024389958,-0.019363147411816682,-0.012798617167917102,0.0370665868134048,-0.03375783701561015,-0.07082442382901495,0.7397768629078836,-0.17456297841431834,-0.9143398413222019
dual_g4_s912101_b0,False,4.0,0.0,0.1918768594124668,-0.0016935013968620571,-0.19357036080932885,0.18029378390793627,-0.03219609630684389,-0.21248988021478016,1.9045450253821246,0.024418865480953844,-1.8801261599011707
dual_g4_s912101_b4,True,4.0,4.0,0.19192048006807966,-0.001684960369575661,-0.19360544043765532,0.09339281718718628,-0.010520648191248982,-0.10391346537843527,1.9047045481377833,-0.2347968330432515,-2.139501381181035
dual_g8_s912101_b0,False,8.0,0.0,0.6511317433935815,-0.04769145656447815,-0.6988231999580596,0.7869777471861813,-0.113384048617793,-0.9003617958039742,5.104846944215361,0.11600405116856027,-4.988842893046801
dual_g8_s912101_b4,True,8.0,4.0,0.6511188590369092,-0.04771891950558485,-0.6988377785424941,0.6516702454596878,-0.050510952174846135,-0.7021811976345339,5.105351051409981,0.18525465265169494,-4.920096398758286
ghost_s912113_b0,False,0.0,0.0,-0.013819963291038531,-0.013819963291038531,0.0,-0.021640009880991018,-0.021640009880991018,0.0,,,
ghost_s912113_b4,False,0.0,4.0,-0.013812652781226079,-0.013812652781226079,0.0,-0.02153145063851565,-0.02153145063851565,0.0,,,
dual_g2_s912113_b0,False,2.0,0.0,0.053231673340134095,-0.029017994596437474,-0.08224966793657157,0.056668803679935376,-0.031970322712893184,-0.08863912639282856,0.6700535911680134,-0.08167016980517028,-0.7517237609731837
dual_g2_s912113_b4,False,2.0,4.0,0.04545069599837265,-0.03201829560490292,-0.07746899160327557,0.05334521198331843,-0.032569397819729576,-0.085914609803048,0.6336899946888419,-0.0913382317286815,-0.7250282264175234
dual_g4_s912113_b0,False,4.0,0.0,0.21487392791214177,-0.015422205946675954,-0.23029613385881773,0.24421943507836874,-0.020299119812117516,-0.26451855489048626,1.4823514579731958,0.029678044531398662,-1.4526734134417971
dual_g4_s912113_b4,False,4.0,4.0,0.20922592789008432,-0.01464321195926499,-0.2238691398493493,0.09469956161648851,-0.0045247109552895015,-0.09922427257177802,1.4110175787005526,0.005807882809707898,-1.4052096958908447
dual_g8_s912113_b0,False,8.0,0.0,0.4827235592350864,-0.07084542462895443,-0.5535689838640409,0.6706288388750528,-0.07981693414471011,-0.7504457730197629,3.9575568225127267,0.1104105735007943,-3.8471462490119324
dual_g8_s912113_b4,False,8.0,4.0,0.4733489058572775,-0.06897095012312113,-0.5423198559803987,0.48852273563080784,-0.02540979243194519,-0.513932528062753,3.876569604313385,0.11104867935240481,-3.7655209249609802
ghost_s912127_b0,False,0.0,0.0,-0.025484462557325505,-0.025484462557325505,0.0,-0.08584839341030062,-0.08584839341030062,0.0,,,
ghost_s912127_b4,False,0.0,4.0,-0.02547905548684581,-0.02547905548684581,0.0,-0.08483270609113427,-0.08483270609113427,0.0,,,
dual_g2_s912127_b0,False,2.0,0.0,0.030405337467808602,-0.028986315816481242,-0.059391653284289844,0.05659356174650865,-0.0583493288960919,-0.11494289064260055,0.9207639054882679,0.011046395438349066,-0.9097175100499189
dual_g2_s912127_b4,False,2.0,4.0,0.03470867968276614,-0.022487171620099278,-0.05719585130286542,0.07169535014408163,-0.0278383279602957,-0.09953367810437733,0.8891070059564063,0.031290388821332726,-0.8578166171350736
dual_g4_s912127_b0,False,4.0,0.0,0.03176064716960894,-0.038929401483191906,-0.07069004865280085,0.1949342684042482,-0.029368169877308614,-0.22430243828155683,1.0189005245294425,-0.03318556332871836,-1.0520860878581608
dual_g4_s912127_b4,False,4.0,4.0,0.027856633480801807,-0.04026627805775318,-0.06812291153855499,0.0884335821249822,-0.01086539533578823,-0.09929897746077043,1.1055353447513765,-0.032879830878317584,-1.138415175629694
dual_g8_s912127_b0,False,8.0,0.0,0.0012361860785838341,-0.02472091156887514,-0.025957097647458974,0.4110188804464697,-0.015079792884451798,-0.42609867333092155,0.7842521854377837,-0.02944411417868409,-0.8136962996164678
dual_g8_s912127_b4,False,8.0,4.0,-0.008762868869746768,-0.024878329334673238,-0.01611546046492647,0.22193018033119627,-0.006958349415436826,-0.2288885297466331,0.8468373667697584,-0.030930043714402444,-0.8777674104841608
