case,domain,method,output,output_sha256,prepare_seconds,decode_seconds,association_change_fraction,fallback_components,gap_mm,identifiable,geometry_scored,surface_accuracy_mean_mm,surface_accuracy_rms_mm,surface_accuracy_p95_mm,reference_sample_coverage_1mm,reference_sample_coverage_2mm,reference_sample_distance_mean_mm,output_point_count_ratio,matched_point_rms_mm,matched_normal_mae_mm,within_source_layer_rms_mm,reported_model_k,model_k_note,global_translation_only_aligned_rms_mm,output_edit_from_reference_centroid_mm,source_surface_tilt_mean_deg,source_surface_tilt_max_deg,source_group_gap_mm,source_group_gap_error_mm,source_group_gap_retention,fitted_gap_at_same_xy_mm,fitted_gap_at_same_xy_error_mm,fitted_gap_note
ghost_s9133011_b0,synthetic,global_hard,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-confirmation-q9ixevii/outputs/ghost_s9133011_b0__global_hard.npz,0ce1c932ae83dc24fcd5e7040931affb8fd3e0d5305fc85f5080be96f086e8ac,0.044848890000025676,0.00013888900002712035,0.0,0,0.0,True,True,0.052793252767108355,0.06530376903386553,0.12317140041214357,1.0,1.0,0.05293975323707186,1.0,0.06534721280020113,0.052793252767108355,0.0646331759884032,,self-report; not geometry-derived layer count or success,0.06467707019550448,0.009334602920347325,0.13086706066303036,0.13086706066303036,,,,,,
ghost_s9133011_b0,synthetic,atlas_hard_96,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-confirmation-q9ixevii/outputs/ghost_s9133011_b0__atlas_hard_96.npz,2dc31eca7715313b1263cda3e82011c7c7895b5b06517e70b7a35277aece180e,0.044848890000025676,0.0017991480000318916,0.0,0,0.0,True,True,0.15868238115079517,0.20514531546670584,0.4319265332403199,1.0,1.0,0.16045381708827663,1.0,0.20591177871580732,0.15868238115079517,0.2030451698284818,,self-report; not geometry-derived layer count or success,0.20381932436296638,0.029280430839239733,0.12732182977975975,0.12732182977975975,,,,,,
ghost_s9133011_b0,synthetic,atlas_hard_256,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-confirmation-q9ixevii/outputs/ghost_s9133011_b0__atlas_hard_256.npz,a8b0b3d362936ab731aa60541954c189a8d6177c658db508b3c37147711e19fa,0.044848890000025676,0.0011319640000237996,0.0,0,0.0,True,True,0.05691469589695647,0.07625049843732348,0.16292475248369692,1.0,1.0,0.057150076563841246,1.0,0.07633912700351632,0.05691469589695647,0.07624429219094966,,self-report; not geometry-derived layer count or success,0.07633290114155662,0.0009749435739247484,0.1213148992924028,0.1213148992924028,,,,,,
ghost_s9133011_b0,synthetic,atlas_tied_96,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-confirmation-q9ixevii/outputs/ghost_s9133011_b0__atlas_tied_96.npz,9f9b0145eb4b0a8a81e5dc643eb91a3f676e8a76196a7812322b72cb889fde11,0.044848890000025676,0.0015459160000546035,0.0,0,0.0,True,True,0.08670661833369825,0.10560308684120381,0.1961973615268215,1.0,1.0,0.08680689891234288,1.0,0.10562978971529113,0.08670661833369825,0.10033317641881542,,self-report; not geometry-derived layer count or success,0.1003612669678962,0.03294341463624089,0.11197603117484593,0.11197603117484592,,,,,,
ghost_s9133011_b0,synthetic,atlas_tied_256,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-confirmation-q9ixevii/outputs/ghost_s9133011_b0__atlas_tied_256.npz,c8046da61e53a702c891b4924feafe234d570541c80a8f5b6acb1961ee287139,0.044848890000025676,0.001030488999958834,0.0,0,0.0,True,True,0.04770214688050121,0.05795981289346893,0.1061007908593951,1.0,1.0,0.04786043736907856,1.0,0.0580087743108637,0.04770214688050121,0.05714424910644682,,self-report; not geometry-derived layer count or success,0.05719389219454238,0.0096889933784571,0.11545449558903614,0.11545449558903614,,,,,,
ghost_s9133011_b0,synthetic,atlas_relax_96,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-confirmation-q9ixevii/outputs/ghost_s9133011_b0__atlas_relax_96.npz,2dc31eca7715313b1263cda3e82011c7c7895b5b06517e70b7a35277aece180e,0.044848890000025676,0.012260234999985187,0.0,0,0.0,True,True,0.15868238115079517,0.20514531546670584,0.4319265332403199,1.0,1.0,0.16045381708827663,1.0,0.20591177871580732,0.15868238115079517,0.2030451698284818,,self-report; not geometry-derived layer count or success,0.20381932436296638,0.029280430839239733,0.12732182977975975,0.12732182977975975,,,,,,
ghost_s9133011_b0,synthetic,atlas_relax_256,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-confirmation-q9ixevii/outputs/ghost_s9133011_b0__atlas_relax_256.npz,a8b0b3d362936ab731aa60541954c189a8d6177c658db508b3c37147711e19fa,0.044848890000025676,0.0057353290000037305,0.0,0,0.0,True,True,0.05691469589695647,0.07625049843732348,0.16292475248369692,1.0,1.0,0.057150076563841246,1.0,0.07633912700351632,0.05691469589695647,0.07624429219094966,,self-report; not geometry-derived layer count or success,0.07633290114155662,0.0009749435739247484,0.1213148992924028,0.1213148992924028,,,,,,
ghost_s9133011_b0,synthetic,bias_only,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-confirmation-q9ixevii/outputs/ghost_s9133011_b0__bias_only.npz,b842d465277bb62dadad5448822155de913eb703a75a620db2ebdf99f8956cbb,,,,,0.0,True,True,0.8118452731674006,1.019108772359499,2.0459562351567,0.7213541666666666,0.9700520833333334,0.7531502903447792,1.0,1.019108917018668,0.8118452731674006,1.0190660209664555,,self-report; not geometry-derived layer count or success,1.0190661656316933,0.009334602920347315,0.1306874375283306,0.1306874375283306,,,,,,
ghost_s9133011_b0,synthetic,old_original,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-confirmation-q9ixevii/outputs/ghost_s9133011_b0__old_original.npz,2e6665b95382ca32740a036661b02199b245034bddc0ac903faaa0d5d22783f0,,,0.0,,0.0,True,True,0.05284133508756212,0.06537592539410385,0.12373267549503196,1.0,1.0,0.053448371889261236,1.0,0.06560220041116145,0.05284133508756212,0.06467117748031936,,self-report; not geometry-derived layer count or success,0.06489990965110164,0.009573422902234847,0.1312357275777313,0.1312357275777313,,,,,,
ghost_s9133011_b0,synthetic,whole_spatial,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-confirmation-q9ixevii/outputs/ghost_s9133011_b0__whole_spatial.npz,e461070acbd22faa47eb6af05e9ac60ec54221e3de02e75ed8c24faa2186c11d,,,,,0.0,True,True,0.052842240906209086,0.06536626536672056,0.12333652942076052,1.0,1.0,0.053453324940913004,1.0,0.06559257448407209,0.052842240906209086,0.06469632011414542,,self-report; not geometry-derived layer count or success,0.06492496450340184,0.009334602920347249,0.1310614832476976,0.1310614832476976,,,,,,
ghost_s9133011_b0,synthetic,local_spatial_96,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-confirmation-q9ixevii/outputs/ghost_s9133011_b0__local_spatial_96.npz,b38db1e178613ae6dc323d8027c90a44bb56d0eeff263a034e8bea2d94796315,,,,,0.0,True,True,0.15868238115079533,0.20514531546670597,0.43192653324032004,1.0,1.0,0.16045381708827677,1.0,0.2059117787158074,0.15868238115079533,0.20304516982848192,,self-report; not geometry-derived layer count or success,0.2038193243629665,0.02928043083923969,0.1273218297797599,0.1273218297797599,,,,,,
ghost_s9133011_b0,synthetic,apss_2,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-confirmation-q9ixevii/outputs/ghost_s9133011_b0__apss_2.npz,659261db1acb49b23eeda3c78b9b0cd17e3d6a7861870456f89515ec1b093703,,,,,0.0,True,True,0.3651275951666064,0.4647816273600826,0.8500624590936013,0.9661458333333334,0.9986979166666666,0.3677054169440453,1.0,0.4656689706016071,0.3651275951666064,0.4647562933033626,,self-report; not geometry-derived layer count or success,0.46564347857274113,0.004872478202883694,0.13981493035811715,0.13981493035811715,,,,,,
ghost_s9133011_b0,synthetic,rimls_2,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-confirmation-q9ixevii/outputs/ghost_s9133011_b0__rimls_2.npz,0e25863a87d6325461e011fc5c7b6743d1da08c473bfec0f9f003af878ab5a57,,,,,0.0,True,True,0.3749783777064088,0.47700446364015,0.8717461653158797,0.9635416666666666,0.9986979166666666,0.39643754194277664,1.0,0.4915904489242759,0.3749783777064088,0.47698759823698944,,self-report; not geometry-derived layer count or success,0.49157325652323586,0.004111319096350568,0.1391594406965858,0.1391594406965858,,,,,,
ghost_s9133011_b4,synthetic,global_hard,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-confirmation-q9ixevii/outputs/ghost_s9133011_b4__global_hard.npz,7d9eb66447efb71d3db2e33014d2275aa03796ccfcdfa4b7fb3f84089df7f697,0.039111253999976725,0.00012531599998055754,0.0,0,0.0,True,True,0.05279871674590123,0.065311406369277,0.12318265750737174,1.0,1.0,0.05902086665202663,1.0,0.06879285974280225,0.05279871674590123,0.06464089255457629,,self-report; not geometry-derived layer count or success,0.06815660452158914,0.009334602920347379,0.1308832792989129,0.1308832792989129,,,,,,
ghost_s9133011_b4,synthetic,atlas_hard_96,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-confirmation-q9ixevii/outputs/ghost_s9133011_b4__atlas_hard_96.npz,84d5f4824f80274005ec8c90bb200dff2c52baae1dcb61bf9f99ab1e3a03d747,0.039111253999976725,0.002278540000020257,0.0,0,0.0,True,True,0.1587301775208649,0.20620218718427105,0.43965295618478667,1.0,1.0,0.16357104475790454,1.0,0.20808325668230726,0.1587301775208649,0.20410096449580037,,self-report; not geometry-derived layer count or success,0.2060009998326962,0.029363749410531065,0.12763686951584674,0.12763686951584674,,,,,,
ghost_s9133011_b4,synthetic,atlas_hard_256,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-confirmation-q9ixevii/outputs/ghost_s9133011_b4__atlas_hard_256.npz,8f00519e30a55f9c5c5c363c702113caa77e4df7bd908f91d13e346cf2757a85,0.039111253999976725,0.0011459909999302909,0.0,0,0.0,True,True,0.056611444533113085,0.07596557345535554,0.16296251721002408,1.0,1.0,0.06297774446740066,1.0,0.07900466139578527,0.056611444533113085,0.07596073224285063,,self-report; not geometry-derived layer count or success,0.07899998051967408,0.0008600000894182192,0.12096804347131111,0.1209680434713111,,,,,,
ghost_s9133011_b4,synthetic,atlas_tied_96,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-confirmation-q9ixevii/outputs/ghost_s9133011_b4__atlas_tied_96.npz,e07adc2a145390595c5e99283b650202ca7a2e0827939b80ed36b858cd4688a0,0.039111253999976725,0.0015382939999426526,0.0,0,0.0,True,True,0.08637249717928146,0.1051077848901912,0.19620491364608797,1.0,1.0,0.09076155751575483,1.0,0.1073066755838597,0.08637249717928146,0.09993828827750265,,self-report; not geometry-derived layer count or success,0.10224839768906037,0.0325574537530112,0.11049929392866026,0.11049929392866026,,,,,,
ghost_s9133011_b4,synthetic,atlas_tied_256,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-confirmation-q9ixevii/outputs/ghost_s9133011_b4__atlas_tied_256.npz,e629a8a5580c078e04b18f3d28e8c50812e3b7f8a349f918756701d8f94cbf23,0.039111253999976725,0.0010144739999304875,0.0,0,0.0,True,True,0.04769526845075852,0.057956818679842,0.10608817830264172,1.0,1.0,0.05420221320765541,1.0,0.061853762864981995,0.04769526845075852,0.057148388696767444,,self-report; not geometry-derived layer count or success,0.06109690335581049,0.009646573530957733,0.1154969816669641,0.1154969816669641,,,,,,
