case,domain,method,output,output_sha256,prepare_seconds,decode_seconds,association_change_fraction,fallback_components,gap_mm,amplitude_mm,surface_accuracy_mean_mm,surface_accuracy_p95_mm,matched_point_rms_mm
ghost_s9134101_b0_a0,synthetic,global_hard,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/ghost_s9134101_b0_a0__global_hard.npz,5f530da35297181db4841b1f2a0addc37bd759e5d9244c5ed87fc9ba7aef23ed,0.03973817799999324,0.00013517100001081417,0.0,0,0.0,0,0.04471478360933958,0.08945679844441011,0.052137672278427326
ghost_s9134101_b0_a0,synthetic,atlas_hard_96,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/ghost_s9134101_b0_a0__atlas_hard_96.npz,2b12f5681aed85d52525622dbf670a967cb57d6d197d6f3cb7ade69f5ba31698,0.03973817799999324,0.0019148450001011952,0.0,0,0.0,0,0.1418279516392992,0.35402020398553374,0.17967207628680829
ghost_s9134101_b0_a0,synthetic,atlas_hard_256,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/ghost_s9134101_b0_a0__atlas_hard_256.npz,44ada91b22ba5be2f6b27061fc01d95de4052efdab6f1382f50284df2f7c99b5,0.03973817799999324,0.0011536399999840796,0.0,0,0.0,0,0.10038984497729969,0.2609964306055223,0.12750876745628187
ghost_s9134101_b0_a0,synthetic,atlas_tied_96,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/ghost_s9134101_b0_a0__atlas_tied_96.npz,c5afbffcf10f418ceeb3f4b9d358f657a11300054517697358e2164376b71930,0.03973817799999324,0.0015753050000739677,0.0,0,0.0,0,0.07537538138843976,0.14403226666515237,0.08865929923370022
ghost_s9134101_b0_a0,synthetic,atlas_tied_256,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/ghost_s9134101_b0_a0__atlas_tied_256.npz,e01055a0d603bb3676be12a39c0a891cfa13f51c5ba3c130e626c6d79ae58fde,0.03973817799999324,0.001030674000048748,0.0,0,0.0,0,0.05216606705735354,0.11474211908237048,0.06258332257974361
ghost_s9134101_b0_a0,synthetic,atlas_relax_96,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/ghost_s9134101_b0_a0__atlas_relax_96.npz,2b12f5681aed85d52525622dbf670a967cb57d6d197d6f3cb7ade69f5ba31698,0.03973817799999324,0.012073675000010553,0.0,0,0.0,0,0.1418279516392992,0.35402020398553374,0.17967207628680829
ghost_s9134101_b0_a0,synthetic,atlas_relax_256,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/ghost_s9134101_b0_a0__atlas_relax_256.npz,44ada91b22ba5be2f6b27061fc01d95de4052efdab6f1382f50284df2f7c99b5,0.03973817799999324,0.005648046000032991,0.0,0,0.0,0,0.10038984497729969,0.2609964306055223,0.12750876745628187
ghost_s9134101_b0_a0,synthetic,bias_only,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/ghost_s9134101_b0_a0__bias_only.npz,4b8323ed59efd7bbe7420778ec8722119b43242094f09533fbfb32d6a3630b63,,,,,0.0,0,0.7999940806459308,1.8396508701243888,0.9930285200471123
ghost_s9134101_b0_a0,synthetic,old_original,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/ghost_s9134101_b0_a0__old_original.npz,9baed9f3e32ae7095843ff70386eafc51b2def345f68d5a46eb947af9e1812ce,,,0.0,,0.0,0,0.044829270256392106,0.08969039609320294,0.05251790057231371
ghost_s9134101_b0_a0,synthetic,whole_spatial,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/ghost_s9134101_b0_a0__whole_spatial.npz,d5c3a321c54df8824335aba7b8e5a20110c340d7433eaada739cf46a167c02b3,,,,,0.0,0,0.04481692339322771,0.08964141244293652,0.05250134146387838
ghost_s9134101_b0_a0,synthetic,local_spatial_96,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/ghost_s9134101_b0_a0__local_spatial_96.npz,28d7cf588fec3765a75cdee6ee3b313eb54ce6737ea39a5970093fd75d8fab84,,,,,0.0,0,0.14182795163929918,0.3540202039855326,0.17967207628680823
ghost_s9134101_b0_a0,synthetic,apss_2,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/ghost_s9134101_b0_a0__apss_2.npz,5bb64f64e8c3035b916e5ae9f0e70350f1ee3eae92cc5f5665b4545cf68259bd,,,,,0.0,0,0.3521546368037048,0.8185863299197915,0.435325447884511
ghost_s9134101_b0_a0,synthetic,rimls_2,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/atlas-v13-curved-ugoaiy7_/outputs/ghost_s9134101_b0_a0__rimls_2.npz,f6643cf5f445a5586669e1f745b838dd26d94c7fa0f1c5ee701bd9b9679c828b,,,,,0.0,0,0.36390663137209356,0.8468944342556061,0.4627160561152137
