phase,case,seed,gap,sigma,bias,retain,n,method,status,seconds,reused,identifiable,geometry_scored,surface_accuracy_mean_mm,surface_accuracy_rms_mm,surface_accuracy_p95_mm,reference_sample_coverage_1mm,reference_sample_coverage_2mm,reference_sample_distance_mean_mm,output_point_count_ratio,matched_point_rms_mm,matched_normal_mae_mm,within_source_layer_rms_mm,reported_model_k,model_k_note,layer_balanced_source_surface_mae_mm,worst_layer_source_surface_mae_mm,independent_surface_mae_mm,single_normal_span_90_10_mm,support,fit_score,fit_k,fit_initial_two_plane_nll,fit_final_two_plane_nll,source_group_gap_mm,source_group_gap_error_mm,source_group_gap_retention,gap_absolute_relative_error,severe_gap_contraction,balanced_source_midplane_crossing
confirmation,s9151101_g0_n0.5_b0_r0.25,9151101,0,0.5,0,0.25,213,identity,OK,0.043204649999097455,False,True,True,0.4331870255824539,0.529792709746248,0.9572914547902849,0.9530516431924883,1.0,0.43210357593423093,1.0,0.529792709746248,0.4331870255824539,0.526788417146837,,self-report; not geometry-derived layer count or success,0.4331870255824539,0.4331870255824539,0.4331870255824539,1.3243866070024168,0.0,,,,,,,,,,
confirmation,s9151101_g0_n0.5_b0_r0.25,9151101,0,0.5,0,0.25,213,bias_only,OK,0.0003925990022253245,False,True,True,0.4206835168116498,0.5210467044918571,0.9785031237764829,0.9530516431924883,1.0,0.4187814616669846,1.0,0.521046753276101,0.4206835168116498,0.5179916885449248,,self-report; not geometry-derived layer count or success,0.4206835168116498,0.4206835168116498,0.4206835168116498,1.3257242076065743,1.0,,,,,,,,,,
confirmation,s9151101_g0_n0.5_b0_r0.25,9151101,0,0.5,0,0.25,213,old_original,APPLY,0.0008003770017239731,False,True,True,0.06343162320888342,0.0772172524725596,0.13973399131918401,1.0,1.0,0.06346665249695937,1.0,0.07722729110879652,0.06343162320888342,0.05319495080360051,,self-report; not geometry-derived layer count or success,0.06343162320888342,0.06343162320888342,0.06343162320888342,0.14481889147664478,1.0,,,,,,,,,,
confirmation,s9151101_g0_n0.5_b0_r0.25,9151101,0,0.5,0,0.25,213,apss_4.0,OK,0.004922781998175196,False,True,True,0.12985663825588675,0.15627908902523788,0.3048654761546339,1.0,1.0,0.13004535757401,1.0,0.15633595600135125,0.12985663825588675,0.14623922482933205,,self-report; not geometry-derived layer count or success,0.12985663825588675,0.12985663825588675,0.12985663825588675,0.3903511550718577,1.0,,,,,,,,,,
confirmation,s9151101_g0_n0.5_b0_r0.25,9151101,0,0.5,0,0.25,213,rimls_8.0,OK,0.011747873002605047,False,True,True,0.1146188148466027,0.13835103447649966,0.278379807675957,1.0,1.0,0.11480060316224448,1.0,0.1384185432868392,0.1146188148466027,0.10896162127919312,,self-report; not geometry-derived layer count or success,0.1146188148466027,0.1146188148466027,0.1146188148466027,0.29479544782415923,1.0,,,,,,,,,,
confirmation,s9151101_g0_n0.5_b0_r0.25,9151101,0,0.5,0,0.25,213,spatial_36,OK,0.06287180900108069,False,True,True,0.0639818541072023,0.07789432490478544,0.14064805174871453,1.0,1.0,0.06401743321140743,1.0,0.07790427622108359,0.0639818541072023,0.053788911423916966,1,self-report; not geometry-derived layer count or success,0.0639818541072023,0.0639818541072023,0.0639818541072023,0.1465374005799927,1.0,242.22481697136308,1,,,,,,,,
confirmation,s9151101_g0_n0.5_b0_r0.25,9151101,0,0.5,0,0.25,213,constant_36,OK,0.05150549999962095,False,True,True,0.0639818541072023,0.07789432490478544,0.14064805174871453,1.0,1.0,0.06401743321140743,1.0,0.07790427622108359,0.0639818541072023,0.053788911423916966,1,self-report; not geometry-derived layer count or success,0.0639818541072023,0.0639818541072023,0.0639818541072023,0.1465374005799927,1.0,242.22481697136308,1,,,,,,,,
confirmation,s9151101_g0_n0.5_b0_r0.25,9151101,0,0.5,0,0.25,213,constant_lbfgs64,OK,0.7143909400001576,False,True,True,0.06398185410720228,0.07789432490478544,0.14064805174871453,1.0,1.0,0.06401743321140743,1.0,0.07790427622108359,0.06398185410720228,0.05378891142391698,1,self-report; not geometry-derived layer count or success,0.06398185410720228,0.06398185410720228,0.06398185410720228,0.14653740057999273,1.0,242.22481697136308,1,112.863751821309,112.86223839509913,,,,,,
confirmation,s9151101_g0_n0.5_b0_r1.0,9151101,0,0.5,0,1.0,768,identity,OK,0.17121451899947715,False,True,True,0.4253455657202392,0.5260277953115766,1.0018421784770135,0.9583333333333334,1.0,0.41914601009183067,1.0,0.5260277953115766,0.4253455657202392,0.525992559278348,,self-report; not geometry-derived layer count or success,0.4253455657202392,0.4253455657202392,0.4253455657202392,1.3951566014934722,0.0,,,,,,,,,,
confirmation,s9151101_g0_n0.5_b0_r1.0,9151101,0,0.5,0,1.0,768,bias_only,OK,0.0006768499988538679,False,True,True,0.4244375367334226,0.5257086703940527,0.9909131409655192,0.9609375,1.0,0.4183216537646093,1.0,0.5257086720533917,0.4244375367334226,0.5256734129697935,,self-report; not geometry-derived layer count or success,0.4244375367334226,0.4244375367334226,0.4244375367334226,1.400908242048709,1.0,,,,,,,,,,
