case,patch,mode,cell,n_points,n_scans,selected_k,sigma_mm,residual_median_mm,residual_cell_threshold_mm,residual_cell_fail,slope_norm,slope_threshold,slope_cell_fail,fit_ok,abs_residual_min_mm,abs_residual_p95_mm,abs_residual_max_mm,confidence_min,confidence_median,point_residual_pass_count,point_confidence_pass_count,raw_point_both_pass_count,accepted_count,graph_rejection_count,reason
da_junction__zero,da_junction,zero,1,41,2,2,2.0,36.462097492264505,5.0,True,0.4993591527274336,0.25,True,False,0.5402527230037464,74.08764772145088,90.4969386555823,1.0,1.0,4,41,4,0,41,cell median residual > 5 mm and cell slope > 0.25
da_junction__zero,da_junction,zero,2,473,2,2,2.0,35.78553929185415,5.0,True,0.7613960979061509,0.25,True,False,0.015780830707967652,70.53797214809585,87.7917995631511,0.999999561136843,1.0,62,473,62,0,473,cell median residual > 5 mm and cell slope > 0.25
da_junction__zero,da_junction,zero,3,744,2,2,2.0,31.677088452244696,5.0,True,0.4581809461029987,0.25,True,False,0.008613442685131645,71.77517382010755,92.21202146547216,0.9872384587313899,1.0,96,744,96,0,744,cell median residual > 5 mm and cell slope > 0.25
da_junction__zero,da_junction,zero,4,310,2,2,2.0,33.2674332838092,5.0,True,0.5024437532923096,0.25,True,False,0.31168618610901433,74.0444813020479,96.22384155614745,0.9999999999954525,1.0,31,310,31,0,310,cell median residual > 5 mm and cell slope > 0.25
da_junction__normal_translation,da_junction,normal_translation,1,41,2,2,2.0,36.57336903223806,5.0,True,0.4590092092770934,0.25,True,False,0.47731229657124175,74.06089025748983,90.37917623022686,1.0,1.0,4,41,4,0,41,cell median residual > 5 mm and cell slope > 0.25
da_junction__normal_translation,da_junction,normal_translation,2,473,2,2,2.0,36.00896935877424,5.0,True,0.9032008142137707,0.25,True,False,0.0024842001120362056,70.35732418704302,85.37167074473057,1.0,1.0,63,473,63,0,473,cell median residual > 5 mm and cell slope > 0.25
da_junction__normal_translation,da_junction,normal_translation,3,744,2,2,2.0,31.721318302701114,5.0,True,0.17368088027390485,0.25,False,False,0.014619370280968269,72.14680848593586,93.53150003702092,0.9999999997503437,1.0,98,744,98,0,744,cell median residual > 5 mm
da_junction__normal_translation,da_junction,normal_translation,4,310,2,2,2.0,33.13231278619398,5.0,True,0.6633487736892602,0.25,True,False,0.0177872276918265,73.07205806404984,95.78120431068047,0.999999999986585,1.0,32,310,32,0,310,cell median residual > 5 mm and cell slope > 0.25
da_thin__zero,da_thin,zero,0,140,2,2,2.0,18.958270462252436,5.0,True,59.9623926537702,0.25,True,False,0.05393010553960664,49.292280696197075,62.755636435149796,0.9999999982499332,1.0,28,140,28,0,140,cell median residual > 5 mm and cell slope > 0.25
da_thin__zero,da_thin,zero,2,175,2,2,2.0,19.60887587089414,5.0,True,66.25185680425396,0.25,True,False,0.8036728558055373,52.66785103920727,89.65468787709749,0.9775054505895385,1.0,36,175,36,0,175,cell median residual > 5 mm and cell slope > 0.25
da_thin__zero,da_thin,zero,3,331,2,2,2.0,20.664205829016417,5.0,True,85.62104138748711,0.25,True,False,0.08563849080260866,52.07913328799512,103.26660844099655,0.9999679183473187,1.0,72,331,72,0,331,cell median residual > 5 mm and cell slope > 0.25
da_thin__zero,da_thin,zero,4,397,2,2,2.0,26.923497174973377,5.0,True,69.20127894584847,0.25,True,False,0.1279953886400449,66.48228272337586,103.8978181410343,0.9999968763090594,1.0,65,397,65,0,397,cell median residual > 5 mm and cell slope > 0.25
da_thin__zero,da_thin,zero,5,384,2,2,2.0,26.83747292378028,5.0,True,49.06853037791959,0.25,True,False,0.07596285864720187,62.92590813272217,124.90664813136866,0.9998310541861554,1.0,49,384,49,0,384,cell median residual > 5 mm and cell slope > 0.25
da_thin__normal_translation,da_thin,normal_translation,0,140,2,2,2.0,18.435832065704354,5.0,True,58.021393042609816,0.25,True,False,0.16715398030653716,48.15037329957094,60.37487116608112,0.9999979725938974,1.0,28,140,28,0,140,cell median residual > 5 mm and cell slope > 0.25
da_thin__normal_translation,da_thin,normal_translation,2,175,2,2,2.0,18.838638439890886,5.0,True,64.56179709128376,0.25,True,False,0.8983347137263706,51.92331182849599,87.13809469939169,0.9883535998375016,1.0,36,175,36,0,175,cell median residual > 5 mm and cell slope > 0.25
da_thin__normal_translation,da_thin,normal_translation,3,331,2,2,2.0,18.78615943800287,5.0,True,84.66310470188479,0.25,True,False,0.07563072088386846,51.345860965249514,102.67813761299031,0.9998789601007129,1.0,73,331,73,0,331,cell median residual > 5 mm and cell slope > 0.25
da_thin__normal_translation,da_thin,normal_translation,4,397,2,2,2.0,26.5994150384968,5.0,True,68.36703510525055,0.25,True,False,0.01591047298072823,64.49137969291817,101.4306673707951,1.0,1.0,64,397,64,0,397,cell median residual > 5 mm and cell slope > 0.25
