case,split,patch,mode,sigma_mm,method,n_points,n_scans,original_input,original_input_sha256,evaluation,evaluation_json,output,output_sha256,method_seconds,supported_fraction,support_mask_sha256,moved_fraction,input_edit_xyz_rms_mm,normal_world,basis_call_count,initialization_sha256,grouping_sha256,frozen_state_sha256,recovery_xyz_rms_mm,recovery_normal_rms_mm,recovery_tangent_rms_mm,zero_edit_xyz_rms_mm,zero_edit_normal_rms_mm,zero_edit_tangent_rms_mm,self_response_xyz_rms_mm,self_response_normal_rms_mm,self_response_tangent_rms_mm,input_edit_normal_rms_mm,input_edit_tangent_rms_mm,injected_xyz_rms_mm,injected_normal_rms_mm,injected_tangent_rms_mm,recovery_centroid_error_mm,input_edit_p95_mm,unchanged_exact,independent_real_geometry,candidate_axis_vs_injection_deg,axis_pointwise_lower_bound_xyz_rms_mm,support_axis_lower_bound_xyz_rms_mm,output_off_axis_rms_mm,axis_bound_scope,current_input_pca_axis_world,candidate_axis_vs_current_pca_deg,ok,seed,gap_mm,bias_rms_mm,identifiable,geometry_scored,surface_accuracy_mean_mm,surface_accuracy_rms_mm,surface_accuracy_p95_mm,reference_sample_coverage_1mm,reference_sample_coverage_2mm,reference_sample_distance_mean_mm,output_point_count_ratio,matched_point_rms_mm,matched_normal_mae_mm,within_source_layer_rms_mm,reported_model_k,model_k_note,global_translation_only_aligned_rms_mm,output_edit_from_reference_centroid_mm,source_surface_tilt_mean_deg,source_surface_tilt_max_deg,source_group_gap_mm,source_group_gap_error_mm,source_group_gap_retention,fitted_gap_at_same_xy_mm,fitted_gap_at_same_xy_error_mm,fitted_gap_note
cy_junction__zero,real,cy_junction,zero,2.0,difference,1600,2,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/real-transfer-v5-zrtui_f5/inputs/cy_junction__zero.npz,579502c31a39b829f6dfaf5920a67860bda9715ac8c2f769aa93dcb79c226866,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/direction-v6-edpxxdsb/real/evaluation/cy_junction__zero.npz,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/direction-v6-edpxxdsb/real/evaluation/cy_junction__zero.json,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/direction-v6-edpxxdsb/outputs/real__cy_junction__zero__difference.npz,a551d8f57195709bb480d52777f7ee6ecc606dcf3da50700ada3171ef5495927,0.27632409500074573,0.300625,f05f64bfbd3490e3e0e8feab9169b6aa27b9726557fcf977e30414dbbb7536ba,0.300625,1.003467253760473,"[0.9940964427920725, 0.10848622524951625, -0.0017324431473787988]",3,e63fc33bb924cec0a3d6469cb5f553fc3d7b42477f75b724676dec3fd6e29e6d,cedfbf1adc62f2027f4304409b744e3ac563fbf48b8f173b0f94db3b2e486a19,2d6bdd01a6fced7f2ea647986dc13b3324bfda6f012ba75013cb17c7272dd153,1.003467253760473,0.9764479794859666,0.23129174807450234,1.003467253760473,0.9764479794859666,0.23129174807450234,0.0,0.0,0.0,0.9764479794859666,0.23129174807450234,0.0,0.0,0.0,0.022062880616645617,2.4512430126368443,False,not_measured,13.3260732356786,0.0,0.0,3.08724608130318e-13,"pointwise XYZ recovery to original measured cloud; evaluator only, not clean truth or a normal-only score","[-0.9424408963414457, -0.33320975907268285, 0.02786419497952631]",13.3260732356786,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
cy_junction__zero,real,cy_junction,zero,2.0,pooled_pca,1600,2,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/real-transfer-v5-zrtui_f5/inputs/cy_junction__zero.npz,579502c31a39b829f6dfaf5920a67860bda9715ac8c2f769aa93dcb79c226866,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/direction-v6-edpxxdsb/real/evaluation/cy_junction__zero.npz,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/direction-v6-edpxxdsb/real/evaluation/cy_junction__zero.json,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/direction-v6-edpxxdsb/outputs/real__cy_junction__zero__pooled_pca.npz,dfdaf2fe1a668dbb4aadd25ee6d2c84e453aa27e2095f196b7d8afe563f46f4b,0.27917908399831504,0.32125,b4b2f13903e05bab83709c932cf623e6630e035872f35634c5813545c81ccdc8,0.32125,1.0520085113452975,"[0.9424408963414457, 0.3332097590726831, -0.027864194979526316]",3,c49469839044ed7c1285fb5c9e8387524f908156ab21a0ccd4f5a20f24e75ab3,24ab9d12f87d03001852e655a4c817c9ea3c7201b62e827d2fbe2bd822a75af8,c9f5845743ea7fb8974f13d3b5d9698901b3d44e9ba0746eb7509d1682f602b3,1.0520085113452975,1.0520085113452975,3.1282621208956537e-13,1.0520085113452975,1.0520085113452975,3.1282621208956537e-13,0.0,0.0,0.0,1.0520085113452975,3.1282621208956537e-13,0.0,0.0,0.0,0.018585949922989564,2.541324643716019,False,not_measured,0.0,0.0,0.0,3.1283456773525785e-13,"pointwise XYZ recovery to original measured cloud; evaluator only, not clean truth or a normal-only score","[-0.9424408963414457, -0.33320975907268285, 0.02786419497952631]",0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
cy_junction__normal_translation,real,cy_junction,normal_translation,2.0,difference,1600,2,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/real-transfer-v5-zrtui_f5/inputs/cy_junction__normal_translation.npz,ef3048b21735592e83db5b2e3c05b7b5ee0fe8973c9331b06d3d068f6a4c7f44,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/direction-v6-edpxxdsb/real/evaluation/cy_junction__normal_translation.npz,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/direction-v6-edpxxdsb/real/evaluation/cy_junction__normal_translation.json,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/direction-v6-edpxxdsb/outputs/real__cy_junction__normal_translation__difference.npz,3cd1806e9ee31b044d14e0a5f3e89cac1f3c976ca8b774a89d94813700dd5ec6,0.3154802819917677,0.2975,e16706c5013b18a7ceaf14f11ffb22c80617d12910e160e9fba117e8f65513f6,0.2975,1.3866689455211803,"[0.9940964427920725, 0.1084862252495162, -0.001732443147378796]",3,ef2791962347775f18c32bb394bda9fd9dedee27b3d985532e4f68c8347d1f89,2bf96fedd727381bed6f093760cf3f09398d3a3b8e532f075937da583f4e51f7,6cef2639ce9726259763c35c4757f3036ce6a3183c42cceccc5f49550d9945ff,4.0635327182857335,4.0509434944491876,0.31961689154117484,1.003467253760473,0.9764479794859666,0.23129174807450234,3.9389036626762537,3.9291733165934817,0.27669317305309177,1.3493316149540244,0.31961689154108647,3.4999999999998295,3.4999999999998295,3.734507431421861e-13,0.05316708664398132,3.5500553785024485,False,not_measured,13.3260732356786,0.8067240014327354,2.966351138235195,3.1270598823463296e-13,"pointwise XYZ recovery to original measured cloud; evaluator only, not clean truth or a normal-only score","[-0.9421746584514388, -0.33395428164657576, 0.027954440467199183]",13.371670519797092,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
cy_junction__normal_translation,real,cy_junction,normal_translation,2.0,pooled_pca,1600,2,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/real-transfer-v5-zrtui_f5/inputs/cy_junction__normal_translation.npz,ef3048b21735592e83db5b2e3c05b7b5ee0fe8973c9331b06d3d068f6a4c7f44,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/direction-v6-edpxxdsb/real/evaluation/cy_junction__normal_translation.npz,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/direction-v6-edpxxdsb/real/evaluation/cy_junction__normal_translation.json,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/direction-v6-edpxxdsb/outputs/real__cy_junction__normal_translation__pooled_pca.npz,0e259fec2d260ab55529185d41f5948d055fb07472a2ff40b1e72262c40fea7d,0.3044514619978145,0.32,ea8701ee8b445f9a0542220c2349e5d104d9db1fda024ad426733103e7f8e5d6,0.32,2.597464446537434,"[0.9421746584514388, 0.33395428164657565, -0.02795444046719917]",3,c954f5455a88909f110d53ffb7750b73e876dce67a95c23518b63488cba1723d,9f2f13eecf390c77ac0f129f5aaa1249225aba6648cf8d2c3a9efe7be76074cd,0a0b9c6e674358be2cb396d19e0932ed9d5cc21d66cda24de4d279d6a46c300a,5.273534239399774,5.273533834260057,0.002067132355786814,1.0520085113452975,1.0520085113452975,3.1282621208956537e-13,5.071140488321192,5.071140067011986,0.0020671323557830026,2.5974636239974256,0.002067132355959651,3.4999999999998295,3.4999999999998295,3.734507431421861e-13,0.08284462813072077,6.11174660666019,False,not_measured,0.04559753353925167,0.00278539452442946,2.8861743680336502,2.97011376858578e-13,"pointwise XYZ recovery to original measured cloud; evaluator only, not clean truth or a normal-only score","[-0.9421746584514388, -0.33395428164657576, 0.027954440467199183]",0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
cy_junction__tangent_translation,real,cy_junction,tangent_translation,2.0,difference,1600,2,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/real-transfer-v5-zrtui_f5/inputs/cy_junction__tangent_translation.npz,91a4aa31c4b34838c886762ac56323f181da926acd8de2018bfe445e518c60f9,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/direction-v6-edpxxdsb/real/evaluation/cy_junction__tangent_translation.npz,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/direction-v6-edpxxdsb/real/evaluation/cy_junction__tangent_translation.json,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/direction-v6-edpxxdsb/outputs/real__cy_junction__tangent_translation__difference.npz,95d4f90ef57be8bc03f7dec2ad01788beddb61be001657636fb505773137f842,0.285859392999555,0.301875,bf1c20cdd2f415b00b431876c49d7c83b54434c3d0964195bde64a9cfcb2268a,0.301875,1.0114527859022397,"[0.9940964427920725, 0.10848622524951629, -0.0017324431473787951]",3,fa6388570a24e71724c9ce506e8ef17fae39ad1688f2110efb666fea392db70b,999825283d4b49968ca06b0ca82bb94e2079f195cbb32e2ac5a35e584958df93,21fa27b55ded5335e05090af54938aa1743490271484720ea4cbd495bc54b34e,3.6443321911637026,0.9842184938657031,3.5089130903863612,1.003467253760473,0.9764479794859666,0.23129174807450234,3.5162210887020326,0.33115166071986507,3.5005927101328695,0.9842184938657081,0.23313235391536505,3.500000000000041,7.32298139185392e-14,3.500000000000041,0.014980110865268351,2.5201427939085734,False,not_measured,13.3260732356786,3.499360962332235,3.4998071027993727,3.184483605061463e-13,"pointwise XYZ recovery to original measured cloud; evaluator only, not clean truth or a normal-only score","[-0.9424404035656558, -0.3332122158853241, 0.027851479526155846]",13.32613422833749,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
cy_junction__tangent_translation,real,cy_junction,tangent_translation,2.0,pooled_pca,1600,2,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/real-transfer-v5-zrtui_f5/inputs/cy_junction__tangent_translation.npz,91a4aa31c4b34838c886762ac56323f181da926acd8de2018bfe445e518c60f9,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/direction-v6-edpxxdsb/real/evaluation/cy_junction__tangent_translation.npz,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/direction-v6-edpxxdsb/real/evaluation/cy_junction__tangent_translation.json,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/direction-v6-edpxxdsb/outputs/real__cy_junction__tangent_translation__pooled_pca.npz,c58c0ee30c23a13b7eede5316c8753625a95042b1095c57e49cb7ca2856f1f6d,0.27681666299758945,0.323125,3943216b21b0a0fff63b407c07a01918a93d55652ab9c5233bf7225fef057701,0.323125,1.0421436941530586,"[0.9424404035656558, 0.33321221588532424, -0.02785147952615582]",3,adb450d731c82c890c561e1003e3642054b78fb714705b9f1ea56270e10739cf,24ab9d12f87d03001852e655a4c817c9ea3c7201b62e827d2fbe2bd822a75af8,0b26e9b1430278fc60043428c415d421d0cfd93790de5cceecdf04134a431b96,3.651856668576785,1.0421436940655333,3.499999092678194,1.0520085113452975,1.0520085113452975,3.1282621208956537e-13,3.504220462898619,0.17195174860761953,3.4999990926781956,1.0421436940655384,1.3506178693084983e-05,3.500000000000041,7.32298139185392e-14,3.500000000000041,0.015020578850591878,2.57127178774781,False,not_measured,0.0007425534010661381,3.4999999997061084,3.499999999905064,3.056469634414943e-13,"pointwise XYZ recovery to original measured cloud; evaluator only, not clean truth or a normal-only score","[-0.9424404035656558, -0.3332122158853241, 0.027851479526155846]",0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
cy_junction__small_rotation,real,cy_junction,small_rotation,2.0,difference,1600,2,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/real-transfer-v5-zrtui_f5/inputs/cy_junction__small_rotation.npz,23007349bd685f07bc873ba68b313c1eebc1c33f73a6281c83c33ed93a6ece4f,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/direction-v6-edpxxdsb/real/evaluation/cy_junction__small_rotation.npz,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/direction-v6-edpxxdsb/real/evaluation/cy_junction__small_rotation.json,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/direction-v6-edpxxdsb/outputs/real__cy_junction__small_rotation__difference.npz,2e9b7ddc219abdcb75a78d0006e13c562d0e977853713d1b652c64a3565d6aed,0.334074115002295,0.2975,ba953471a793475d06c1b9bc1d4381ba3c336892fbc12bacaef6bf715abb8b05,0.2975,1.8183677348570875,"[0.9941157111152221, 0.10832337021433425, -1.947523352548489e-05]",3,1277e71c6597dfabe3eaaffaaba58ea0c34e7dc3610fddc84e01c0a02c4f5c7a,1ba52f30af2005e4993a89144f2d35b4f0630f4fcc024a8a616e7a12708784ca,a281e79051b37dcdc36fbc8d45323af9d35d9c789a16642e1c137ec8df740634,3.802938250958624,3.726953343623951,0.7564113398505377,1.003467253760473,0.9764479794859666,0.23129174807450234,3.7761859361658217,3.702543054205833,0.7421288003094089,1.7692540743908294,0.41976331357176033,3.5000000000000004,3.445372482373228,0.6159614092663126,0.05959933587074656,4.5356229850531795,False,not_measured,13.346897215560517,1.0027416175355668,3.144727996061792,3.039377874155729e-13,"pointwise XYZ recovery to original measured cloud; evaluator only, not clean truth or a normal-only score","[-0.9425821735724909, -0.33282319346681644, 0.027705016764271402]",13.322410510218852,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
cy_junction__small_rotation,real,cy_junction,small_rotation,2.0,pooled_pca,1600,2,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/real-transfer-v5-zrtui_f5/inputs/cy_junction__small_rotation.npz,23007349bd685f07bc873ba68b313c1eebc1c33f73a6281c83c33ed93a6ece4f,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/direction-v6-edpxxdsb/real/evaluation/cy_junction__small_rotation.npz,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/direction-v6-edpxxdsb/real/evaluation/cy_junction__small_rotation.json,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/direction-v6-edpxxdsb/outputs/real__cy_junction__small_rotation__pooled_pca.npz,b7b277bd392b68dce1480217e594c1210ce8025a22fe5d0b5ac38acf479853ab,0.3178871580021223,0.311875,ff661838411c59854d952c493053d4fa98e7405fb0682e68aed4718f95e1f2ab,0.311875,2.015741765020336,"[0.942582173572491, 0.33282319346681666, -0.0277050167642714]",3,837289126c19607de06ef47f6eddfa602eb0406e8ea40e1fde11d9dccecfa3f9,85a547ccf34fbb670ca9c19c43fceea469ef0c63ff887fe53fc1b1d93b2bdb60,5e7808a00b05903d43199057faff533bd70f50de96eaf7139e0db91b9c77377e,3.8693203382759616,3.8199727329398527,0.6159936686298276,1.0520085113452975,1.0520085113452975,3.1282621208956537e-13,3.7952271098942614,3.7449032852510773,0.6159936686298274,2.0157415687577123,0.0008895108198740548,3.5000000000000004,3.445372482373228,0.6159614092663126,0.0806590974877474,4.847484582697117,False,not_measured,0.02528360444418776,0.6159618365811474,3.084095156739389,2.941327848684466e-13,"pointwise XYZ recovery to original measured cloud; evaluator only, not clean truth or a normal-only score","[-0.9425821735724909, -0.33282319346681644, 0.027705016764271402]",8.537736462515939e-07,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
cy_thin__zero,real,cy_thin,zero,2.0,difference,414,2,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/real-transfer-v5-zrtui_f5/inputs/cy_thin__zero.npz,e79d0c1b7ea2cf74f5eb16815ad04a64ceba1428c38802f549b0564a3646d5de,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/direction-v6-edpxxdsb/real/evaluation/cy_thin__zero.npz,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/direction-v6-edpxxdsb/real/evaluation/cy_thin__zero.json,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/direction-v6-edpxxdsb/outputs/real__cy_thin__zero__difference.npz,abda0472b9867d70c41184b00397c8b71c3755630aaadbe8e646c778a0a0178e,0.043734735998441465,0.7560386473429952,84d508292b4af244bebf8f71264590a8174b251bf54003f55d8feea57b895122,0.7560386473429952,0.7690980732251299,"[0.010514436368710781, 0.0019027377179734774, 0.9999429114789627]",3,c47cd6d81a4f579b30333593e1a47222e3ce1769665fb7dd4ee98da704f23283,eb874d5a049ad60977996e779324c77a53e42c8c5b581583451b534ad6c1d74b,f3e01db3097b8714264e2bd72eb98ee49fd28a7617a80fa083c416b964c9442f,0.7690980732251299,0.7690973238305397,0.0010736458024662504,0.7690980732251299,0.7690973238305397,0.0010736458024662504,0.0,0.0,0.0,0.7690973238305397,0.0010736458024662504,0.0,0.0,0.0,0.020129341640654577,1.4743880706280692,False,not_measured,0.07998380869068902,0.0,0.0,9.892178257462234e-14,"pointwise XYZ recovery to original measured cloud; evaluator only, not clean truth or a normal-only score","[0.011696765480278091, 0.002644789187803448, 0.9999280927984029]",0.07998380869068902,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
cy_thin__zero,real,cy_thin,zero,2.0,pooled_pca,414,2,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/real-transfer-v5-zrtui_f5/inputs/cy_thin__zero.npz,e79d0c1b7ea2cf74f5eb16815ad04a64ceba1428c38802f549b0564a3646d5de,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/direction-v6-edpxxdsb/real/evaluation/cy_thin__zero.npz,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/direction-v6-edpxxdsb/real/evaluation/cy_thin__zero.json,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/direction-v6-edpxxdsb/outputs/real__cy_thin__zero__pooled_pca.npz,96ceb680ad0ec8c8e4d5bcdb14da6598242455b62db98d264686d1159a2a0b3b,0.039693252998404205,0.7560386473429952,84d508292b4af244bebf8f71264590a8174b251bf54003f55d8feea57b895122,0.7560386473429952,0.7690980423235297,"[0.011696765480278044, 0.002644789187803365, 0.9999280927984029]",3,3fa912aa0a41aab9684b3a3c111ecbd8d65e228edc2ceb43946b2bf9977ee71c,eb874d5a049ad60977996e779324c77a53e42c8c5b581583451b534ad6c1d74b,e721908cbf30d294c4400d55c1f7a2b45fba60c2c53772d9b8fd7f772928afde,0.7690980423235297,0.7690980423235297,9.254093835190221e-14,0.7690980423235297,0.7690980423235297,9.254093835190221e-14,0.0,0.0,0.0,0.7690980423235297,9.254093835190221e-14,0.0,0.0,0.0,0.020129018367265047,1.4743815105097247,False,not_measured,0.0,0.0,0.0,9.253906180991881e-14,"pointwise XYZ recovery to original measured cloud; evaluator only, not clean truth or a normal-only score","[0.011696765480278091, 0.002644789187803448, 0.9999280927984029]",0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
