phase,case,seed,gap,sigma,bias,retain,n,method,status,seconds,identifiable,geometry_scored,surface_accuracy_mean_mm,surface_accuracy_rms_mm,surface_accuracy_p95_mm,reference_sample_coverage_1mm,reference_sample_coverage_2mm,reference_sample_distance_mean_mm,output_point_count_ratio,matched_point_rms_mm,matched_normal_mae_mm,within_source_layer_rms_mm,reported_model_k,model_k_note,layer_balanced_source_surface_mae_mm,worst_layer_source_surface_mae_mm,independent_surface_mae_mm,support,source_group_gap_mm,source_group_gap_error_mm,source_group_gap_retention
confirmation,s9141101_g0_n0.5_b0_r1.0,9141101,0,0.5,0,1.0,768,identity,OK,0.0008161539999491652,True,True,0.4098350244011851,0.513930618252252,1.021073842740394,0.9596354166666666,1.0,0.39983146483113025,1.0,0.513930618252252,0.4098350244011851,0.5139216005727905,,self-report; not geometry-derived layer count or success,0.4098350244011851,0.4098350244011851,0.4098350244011851,0.0,,,
confirmation,s9141101_g0_n0.5_b0_r1.0,9141101,0,0.5,0,1.0,768,bias_only,OK,0.0007098410001162847,True,True,0.409078834194144,0.5122755122301507,0.9879349199981358,0.9609375,1.0,0.39956382377006844,1.0,0.5122755174331767,0.409078834194144,0.5122664654150416,,self-report; not geometry-derived layer count or success,0.409078834194144,0.409078834194144,0.409078834194144,1.0,,,
confirmation,s9141101_g0_n0.5_b0_r1.0,9141101,0,0.5,0,1.0,768,old_original,APPLY,0.0011465449999832344,True,True,0.02171322407722005,0.02554696177839129,0.04466833377046439,1.0,1.0,0.021768377175594322,1.0,0.025564833175740643,0.02171322407722005,0.025407241040851375,,self-report; not geometry-derived layer count or success,0.02171322407722005,0.02171322407722005,0.02171322407722005,1.0,,,
confirmation,s9141101_g0_n0.5_b0_r1.0,9141101,0,0.5,0,1.0,768,atlas_tied_256,OK,0.0018780929999593354,True,True,0.03787872939261803,0.03992894861429219,0.0587571776095661,1.0,1.0,0.03788131079235902,1.0,0.03993101698568766,0.03787872939261803,0.03395591262941533,,self-report; not geometry-derived layer count or success,0.03787872939261803,0.03787872939261803,0.03787872939261803,1.0,,,
confirmation,s9141101_g0_n0.5_b0_r1.0,9141101,0,0.5,0,1.0,768,atlas_relax_96,OK,0.01207543300006364,True,True,0.08231795966561566,0.10560813302248484,0.21687320037820143,1.0,1.0,0.08264271448628202,1.0,0.10571025183044865,0.08231795966561566,0.10557238352172388,,self-report; not geometry-derived layer count or success,0.08231795966561566,0.08231795966561566,0.08231795966561566,1.0,,,
confirmation,s9141101_g0_n0.5_b0_r1.0,9141101,0,0.5,0,1.0,768,spatial_36,OK,0.1069069049999598,True,True,0.02201312884389428,0.025919811160174246,0.045096666898961975,1.0,1.0,0.02206967865233402,1.0,0.025937425491427774,0.02201312884389428,0.025740391775105703,,self-report; not geometry-derived layer count or success,0.02201312884389428,0.02201312884389428,0.02201312884389428,1.0,,,
confirmation,s9141101_g0_n0.5_b0_r1.0,9141101,0,0.5,0,1.0,768,apss_4.0,OK,0.010690120999925057,True,True,0.12235067356514456,0.15371479157538656,0.3038172093662651,1.0,1.0,0.12287286033455745,1.0,0.1538960770325337,0.12235067356514456,0.15368357107038838,,self-report; not geometry-derived layer count or success,0.12235067356514456,0.12235067356514456,0.12235067356514456,1.0,,,
confirmation,s9141101_g0_n0.5_b0_r1.0,9141101,0,0.5,0,1.0,768,rimls_8.0,OK,0.053006089000064094,True,True,0.10269794920883875,0.1270628523785542,0.24726000561270833,1.0,1.0,0.10343795038666652,1.0,0.12734800681899358,0.10269794920883875,0.12615112007504786,,self-report; not geometry-derived layer count or success,0.10269794920883875,0.10269794920883875,0.10269794920883875,1.0,,,
confirmation,s9141101_g0_n0.5_b0_r0.25,9141101,0,0.5,0,0.25,214,identity,OK,0.000521314000025086,True,True,0.42068535335918317,0.5285521831851484,0.934378630124612,0.9719626168224299,1.0,0.41520922823263606,1.0,0.5285521831851483,0.42068535335918317,0.5284826048660011,,self-report; not geometry-derived layer count or success,0.42068535335918317,0.42068535335918317,0.42068535335918317,0.0,,,
confirmation,s9141101_g0_n0.5_b0_r0.25,9141101,0,0.5,0,0.25,214,bias_only,OK,0.0003719869998803915,True,True,0.41788921111772653,0.522919877995797,1.0031335858936639,0.9532710280373832,1.0,0.4132422866122845,1.0,0.5229199373615153,0.41788921111772653,0.5228495501569325,,self-report; not geometry-derived layer count or success,0.41788921111772653,0.41788921111772653,0.41788921111772653,1.0,,,
confirmation,s9141101_g0_n0.5_b0_r0.25,9141101,0,0.5,0,0.25,214,old_original,APPLY,0.000772210999912204,True,True,0.08353951419547526,0.09553387130109738,0.15530407373017502,1.0,1.0,0.08357474920974031,1.0,0.09554587138804642,0.08353951419547526,0.0952169650665315,,self-report; not geometry-derived layer count or success,0.08353951419547526,0.08353951419547526,0.08353951419547526,1.0,,,
