phase,case,seed,gap,sigma,bias,retain,n,method,status,seconds,identifiable,geometry_scored,surface_accuracy_mean_mm,surface_accuracy_rms_mm,surface_accuracy_p95_mm,reference_sample_coverage_1mm,reference_sample_coverage_2mm,reference_sample_distance_mean_mm,output_point_count_ratio,matched_point_rms_mm,matched_normal_mae_mm,within_source_layer_rms_mm,reported_model_k,model_k_note,layer_balanced_source_surface_mae_mm,worst_layer_source_surface_mae_mm,independent_surface_mae_mm,support,source_group_gap_mm,source_group_gap_error_mm,source_group_gap_retention
development,s9140101_g0_n0.5_b0_r1.0,9140101,0,0.5,0,1.0,768,identity,OK,0.0009017769998536096,True,True,0.3973333545305215,0.5002274540101597,1.0033594570896103,0.9635416666666666,1.0,0.3851207371513093,1.0,0.5002274540101596,0.3973333545305215,0.499721135051195,,self-report; not geometry-derived layer count or success,0.3973333545305215,0.3973333545305215,0.3973333545305215,0.0,,,
development,s9140101_g0_n0.5_b0_r1.0,9140101,0,0.5,0,1.0,768,bias_only,OK,0.0007248580000123184,True,True,0.39325274120977083,0.4978007036073219,1.0142342470931265,0.9622395833333334,1.0,0.38105609182207617,1.0,0.49780071809205656,0.39325274120977083,0.49729191385273197,,self-report; not geometry-derived layer count or success,0.39325274120977083,0.39325274120977083,0.39325274120977083,1.0,,,
development,s9140101_g0_n0.5_b0_r1.0,9140101,0,0.5,0,1.0,768,old_original,APPLY,0.0012846629999785364,True,True,0.029146342780845436,0.035552072285941635,0.0650195171173968,1.0,1.0,0.02922631466685817,1.0,0.035573601299322154,0.029146342780845436,0.02808960532137243,,self-report; not geometry-derived layer count or success,0.029146342780845436,0.029146342780845436,0.029146342780845436,1.0,,,
development,s9140101_g0_n0.5_b0_r1.0,9140101,0,0.5,0,1.0,768,atlas_tied_256,OK,0.0017597879998447752,True,True,0.029944036030622106,0.03648557387991987,0.06432556110164248,1.0,1.0,0.02995861287712311,1.0,0.036488193917490384,0.029944036030622106,0.02535802915081658,,self-report; not geometry-derived layer count or success,0.029944036030622106,0.029944036030622106,0.029944036030622106,1.0,,,
development,s9140101_g0_n0.5_b0_r1.0,9140101,0,0.5,0,1.0,768,atlas_relax_96,OK,0.013372216000107073,True,True,0.06238993353738384,0.07475792709838396,0.14465014769261014,1.0,1.0,0.06249660753072545,1.0,0.07479908122814356,0.06238993353738384,0.0686264661103343,,self-report; not geometry-derived layer count or success,0.06238993353738384,0.06238993353738384,0.06238993353738384,1.0,,,
development,s9140101_g0_n0.5_b0_r1.0,9140101,0,0.5,0,1.0,768,spatial_12,OK,0.0402248039999904,True,True,0.02958851146639933,0.03611907447670452,0.06590745759144818,1.0,1.0,0.029669190285181047,1.0,0.036140265809995555,0.02958851146639933,0.028254107885791982,,self-report; not geometry-derived layer count or success,0.02958851146639933,0.02958851146639933,0.02958851146639933,1.0,,,
development,s9140101_g0_n0.5_b0_r1.0,9140101,0,0.5,0,1.0,768,spatial_36,OK,0.10363024200000837,True,True,0.02958851146639933,0.03611907447670452,0.06590745759144818,1.0,1.0,0.029669190285181047,1.0,0.036140265809995555,0.02958851146639933,0.028254107885791982,,self-report; not geometry-derived layer count or success,0.02958851146639933,0.02958851146639933,0.02958851146639933,1.0,,,
development,s9140101_g0_n0.5_b0_r1.0,9140101,0,0.5,0,1.0,768,spatial_108,OK,0.3069060959999206,True,True,0.02958851146639933,0.03611907447670452,0.06590745759144818,1.0,1.0,0.029669190285181047,1.0,0.036140265809995555,0.02958851146639933,0.028254107885791982,,self-report; not geometry-derived layer count or success,0.02958851146639933,0.02958851146639933,0.02958851146639933,1.0,,,
development,s9140101_g0_n0.5_b0_r1.0,9140101,0,0.5,0,1.0,768,apss_0.5,OK,0.0054861370001617615,True,True,0.37657249654218067,0.47900904968791286,0.9537149105267271,0.9661458333333334,1.0,0.36910517531978276,1.0,0.47901076493188416,0.37657249654218067,0.47846518991529907,,self-report; not geometry-derived layer count or success,0.37657249654218067,0.37657249654218067,0.37657249654218067,1.0,,,
development,s9140101_g0_n0.5_b0_r1.0,9140101,0,0.5,0,1.0,768,apss_1.0,OK,0.005577248999998119,True,True,0.29076488293819563,0.37718064205724405,0.7459900709791731,0.984375,1.0,0.2901267401252673,1.0,0.3772033064924411,0.29076488293819563,0.3766140530583252,,self-report; not geometry-derived layer count or success,0.29076488293819563,0.29076488293819563,0.29076488293819563,1.0,,,
development,s9140101_g0_n0.5_b0_r1.0,9140101,0,0.5,0,1.0,768,apss_2.0,OK,0.008024328000146852,True,True,0.16164184843208415,0.20936468460276597,0.41624428246904516,1.0,1.0,0.16192272896316892,1.0,0.2094694950935988,0.16164184843208415,0.20835699937586383,,self-report; not geometry-derived layer count or success,0.16164184843208415,0.16164184843208415,0.16164184843208415,1.0,,,
development,s9140101_g0_n0.5_b0_r1.0,9140101,0,0.5,0,1.0,768,apss_4.0,OK,0.009107142999937423,True,True,0.09068757039382584,0.11526437011822847,0.23459135420950777,1.0,1.0,0.09105141411799138,1.0,0.115393730493303,0.09068757039382584,0.1126041969155188,,self-report; not geometry-derived layer count or success,0.09068757039382584,0.09068757039382584,0.09068757039382584,1.0,,,
