case,base_case,source,method,stage,sampling,family,gap_mm,bias_rms_mm,seed,n_points,n_frames,sigma_mm,ok,method_seconds,identifiable,geometry_scored,surface_accuracy_mean_mm,surface_accuracy_rms_mm,surface_accuracy_p95_mm,reference_sample_coverage_1mm,reference_sample_coverage_2mm,reference_sample_distance_mean_mm,output_point_count_ratio,matched_point_rms_mm,matched_normal_mae_mm,within_source_layer_rms_mm,reported_model_k,model_k_note,global_translation_only_aligned_rms_mm,output_edit_from_reference_centroid_mm,source_surface_tilt_mean_deg,source_surface_tilt_max_deg,input_edit_rms_mm,input_edit_p95_mm,moved_fraction,output,output_sha256,source_group_gap_mm,source_group_gap_error_mm,source_group_gap_retention,fitted_gap_at_same_xy_mm,fitted_gap_at_same_xy_error_mm,fitted_gap_note
ghost_s912201_b0,ghost_s912201_b0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v4-confirm-1_0s40f5/synthetics/identifiable/ghost_s912201_b0.json,identity,confirmation,full,ghost_monolayer,0.0,0.0,912201,768,8,1.0,True,7.93600338511169e-06,True,True,0.8001121426976866,0.9955734461166718,1.9873120317404114,0.72265625,0.98046875,0.734909050681925,1.0,0.9955734461166719,0.8001121426976866,0.9954099680140103,,self-report; not geometry-derived layer count or success,0.9954099680140103,0.018041124991878862,0.10887140993330953,0.10887140993330953,0.0,0.0,0.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v4-confirm-1_0s40f5/outputs/ghost_s912201_b0__identity.npz,a674c53719a6756fb1df1d0f4970d65b1cfe80455e9499d463efe0bb35b486ee,,,,,,
ghost_s912201_b0,ghost_s912201_b0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v4-confirm-1_0s40f5/synthetics/identifiable/ghost_s912201_b0.json,fast,confirmation,full,ghost_monolayer,0.0,0.0,912201,768,8,1.0,True,0.01083614099479746,True,True,0.0441969594313893,0.05261883285789029,0.09576135409258671,1.0,1.0,0.04429119238347503,1.0,0.05265283528504696,0.0441969594313893,0.04942933724372601,1,self-report; not geometry-derived layer count or success,0.04946553216717364,0.018041124991878845,0.10903525586958013,0.10903525586958013,0.9941837478723572,1.9379651104791373,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v4-confirm-1_0s40f5/outputs/ghost_s912201_b0__fast.npz,56a482c279b2a8b9b8724c68d1f1c249fcd3c31cb533fa3b9b7b671d0662112c,,,,,,
ghost_s912201_b0,ghost_s912201_b0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v4-confirm-1_0s40f5/synthetics/identifiable/ghost_s912201_b0.json,open3d_icp_then_xyz,confirmation,full,ghost_monolayer,0.0,0.0,912201,768,8,1.0,True,0.02546644100220874,True,True,0.04898816634880023,0.08814989271516516,0.09574962191064465,0.4361979166666667,0.81640625,1.3228500765619629,1.0,2.81634313161029,0.044266264413790085,0.04937054031652177,1,self-report; not geometry-derived layer count or success,2.8162853464763624,0.018041124991878828,0.10903525586958034,0.10903525586958032,2.9861649490312403,6.045718033544972,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v4-confirm-1_0s40f5/outputs/ghost_s912201_b0__open3d_icp_then_xyz.npz,ab31fa6498963ca55b4b1100bc6b3ee8c660e9de924f9ff613554702e68e64bb,,,,,,
ghost_s912201_b0,ghost_s912201_b0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v4-confirm-1_0s40f5/synthetics/identifiable/ghost_s912201_b0.json,graph_shared,confirmation,full,ghost_monolayer,0.0,0.0,912201,768,8,1.0,True,0.11642050699447282,True,True,0.1299747595883585,0.16813308903365978,0.3539879513304515,1.0,1.0,0.12998682942797385,1.0,0.16814619015954443,0.1299747595883585,0.16717727855152062,,self-report; not geometry-derived layer count or success,0.1671904545749358,0.01790232287151614,0.12430812620081437,0.12430812620081437,0.981228505214907,1.8701004950362483,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v4-confirm-1_0s40f5/outputs/ghost_s912201_b0__graph_shared.npz,fc12b3eae3cff66277e8909befe0dc3ced523e05ce9bf0d10dcaa447f98717e8,,,,,,
ghost_s912201_b0,ghost_s912201_b0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v4-confirm-1_0s40f5/synthetics/identifiable/ghost_s912201_b0.json,pool_independent,confirmation,full,ghost_monolayer,0.0,0.0,912201,768,8,1.0,True,0.1414152030047262,True,True,0.13266062783471144,0.17207033315349815,0.3609043424738329,1.0,1.0,0.13265269793440096,1.0,0.17208326241083358,0.13266062783471144,0.1711365215568735,,self-report; not geometry-derived layer count or success,0.17114952135748746,0.017902249608883085,0.12567192653779002,0.12567192653779002,0.98121760222538,1.8671152898519627,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v4-confirm-1_0s40f5/outputs/ghost_s912201_b0__pool_independent.npz,1c421d6903fc802f02c89c64033c424344998bc1a90ecb4a43aa10e6a4bb2a38,,,,,,
ghost_s912201_b0,ghost_s912201_b0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v4-confirm-1_0s40f5/synthetics/identifiable/ghost_s912201_b0.json,pool_global,confirmation,full,ghost_monolayer,0.0,0.0,912201,768,8,1.0,True,0.1404873589926865,True,True,0.049818464019520094,0.059044326260203964,0.10577900836357561,1.0,1.0,0.049930337867938546,1.0,0.05908299951491312,0.049818464019520094,0.05626504054256038,,self-report; not geometry-derived layer count or success,0.056305622768282916,0.01790189030116777,0.125674242661966,0.125674242661966,0.9942210021453707,1.9345966474999956,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v4-confirm-1_0s40f5/outputs/ghost_s912201_b0__pool_global.npz,8351747a0ae34071e33c51ff86b9ed8e950e2bbfa51d5ed4a4de248ffff6bda6,,,,,,
ghost_s912201_b0,ghost_s912201_b0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v4-confirm-1_0s40f5/synthetics/identifiable/ghost_s912201_b0.json,pool_compatible,confirmation,full,ghost_monolayer,0.0,0.0,912201,768,8,1.0,True,0.14548799900512677,True,True,0.049818464019520114,0.05904432626020399,0.10577900836357573,1.0,1.0,0.049930337867938566,1.0,0.05908299951491315,0.049818464019520114,0.05626504054256041,,self-report; not geometry-derived layer count or success,0.056305622768282944,0.017901890301167782,0.12567424266196608,0.12567424266196608,0.9942210021453707,1.9345966474999956,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v4-confirm-1_0s40f5/outputs/ghost_s912201_b0__pool_compatible.npz,92db3d22eee5e543338efbeb0b6ff3cd572981c3b053e39dfe7b940c5dff8dc3,,,,,,
ghost_s912201_b0,ghost_s912201_b0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v4-confirm-1_0s40f5/synthetics/identifiable/ghost_s912201_b0.json,graph_bias_only,confirmation,full,ghost_monolayer,0.0,0.0,912201,768,8,1.0,True,0.15208676499605644,True,True,0.12997475998957916,0.16813308947951525,0.353987956129601,1.0,1.0,0.12998682984057255,1.0,0.1681461906053644,0.12997475998957916,0.16717727900011234,,self-report; not geometry-derived layer count or success,0.16719045502349142,0.01790232286976846,0.12430812597525516,0.12430812597525517,0.9812285051867496,1.8701004944651196,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v4-confirm-1_0s40f5/outputs/ghost_s912201_b0__graph_bias_only.npz,491fb6219c2ceb71fc24e346cdab8ba8b43e44022fe3086ce9a9cb36948c8fb0,,,,,,
ghost_s912201_b0,ghost_s912201_b0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v4-confirm-1_0s40f5/synthetics/identifiable/ghost_s912201_b0.json,graph_projected_bias_only,confirmation,full,ghost_monolayer,0.0,0.0,912201,768,8,1.0,True,0.15674612599832471,True,True,0.12997387626698192,0.1681327151560985,0.3539852832171041,1.0,1.0,0.12999142728416482,1.0,0.16814707837076803,0.12997387626698192,0.16717690252207104,,self-report; not geometry-derived layer count or success,0.16719134784925122,0.01790232300501458,0.12430792914890125,0.12430792914890124,0.9812282605945498,1.8700947769589396,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v4-confirm-1_0s40f5/outputs/ghost_s912201_b0__graph_projected_bias_only.npz,a5a3087a038aff23bf271b6bfeb08c1434b554bd81609d1cd9a4ff84d8036ece,,,,,,
ghost_s912201_b0,ghost_s912201_b0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v4-confirm-1_0s40f5/synthetics/identifiable/ghost_s912201_b0.json,zero_balanced_6,confirmation,full,ghost_monolayer,0.0,0.0,912201,768,8,1.0,True,0.7262661190034123,True,True,0.13149353548976062,0.1695802052163172,0.3558507442864659,1.0,1.0,0.13149178660148297,1.0,0.16959508650810298,0.13149353548976062,0.16863134246587477,,self-report; not geometry-derived layer count or success,0.16864630748478315,0.017914137976439277,0.12970638535863033,0.12970638535863033,0.9815317745263726,1.871767822028618,1.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/exploration-v4-confirm-1_0s40f5/outputs/ghost_s912201_b0__zero_balanced_6.npz,8c042f7b6a768ab690847beb69e863f68bd8b06e70661b6289526fbc47318c16,,,,,,
