case,domain,method,additional_edit_rms_mm,fraction_more_than_001mm
dual_g2_s9131011_b0,synthetic,identity,0.0820421025275519,1.0
dual_g2_s9131011_b0,synthetic,old_original,1.0297316149357918,0.9869791666666666
dual_g2_s9131011_b0,synthetic,old_multistart,1.0297316149357918,0.9869791666666666
dual_g2_s9131011_b0,synthetic,whole_spatial,0.9698921874618133,0.98828125
dual_g2_s9131011_b0,synthetic,local_plane_96,1.0218329159580393,0.9869791666666666
dual_g2_s9131011_b0,synthetic,local_plane_256,1.0694664947054726,0.9921875
dual_g2_s9131011_b0,synthetic,local_spatial_96,1.0218329159580393,0.9869791666666666
dual_g2_s9131011_b0,synthetic,local_spatial_256,1.0694664947054726,0.9921875
dual_g2_s9131011_b0,synthetic,apss_1,0.379223205938944,0.88671875
dual_g2_s9131011_b0,synthetic,apss_2,0.7689088863263791,0.9934895833333334
dual_g2_s9131011_b0,synthetic,rimls_1,0.34268478007792463,0.88671875
dual_g2_s9131011_b0,synthetic,rimls_2,0.7602944993408622,0.98828125
dual_g2_s9131011_b0,synthetic,raw_apss_2,0.7701620651734034,0.9895833333333334
dual_g2_s9131011_b0,synthetic,raw_rimls_2,0.7616020230256925,0.99609375
dual_g2_s9131011_b4,synthetic,identity,3.9864770861410705,1.0
dual_g2_s9131011_b4,synthetic,old_original,1.0296790907580144,0.9869791666666666
dual_g2_s9131011_b4,synthetic,old_multistart,1.0296790907580144,0.9869791666666666
dual_g2_s9131011_b4,synthetic,whole_spatial,0.9698968761967077,0.98828125
dual_g2_s9131011_b4,synthetic,local_plane_96,1.0218900636510706,0.984375
dual_g2_s9131011_b4,synthetic,local_plane_256,1.0695475256108717,0.9934895833333334
dual_g2_s9131011_b4,synthetic,local_spatial_96,1.0218900636510706,0.984375
dual_g2_s9131011_b4,synthetic,local_spatial_256,1.0695475256108717,0.9934895833333334
dual_g2_s9131011_b4,synthetic,apss_1,0.37495378679597885,0.8893229166666666
dual_g2_s9131011_b4,synthetic,apss_2,0.7683091976459576,0.9895833333333334
dual_g2_s9131011_b4,synthetic,rimls_1,0.3391385789909965,0.88671875
dual_g2_s9131011_b4,synthetic,rimls_2,0.75998243137643,0.9869791666666666
dual_g2_s9131011_b4,synthetic,raw_apss_2,3.6881780662756456,1.0
dual_g2_s9131011_b4,synthetic,raw_rimls_2,3.8069140447080634,1.0
dual_g2_s9131021_b0,synthetic,identity,0.08493819577191938,0.875
dual_g2_s9131021_b0,synthetic,old_original,1.0627746123205304,0.9895833333333334
dual_g2_s9131021_b0,synthetic,old_multistart,1.005584183930055,0.9908854166666666
dual_g2_s9131021_b0,synthetic,whole_spatial,0.9859712579346762,0.9934895833333334
dual_g2_s9131021_b0,synthetic,local_plane_96,1.0554909836708954,0.9947916666666666
dual_g2_s9131021_b0,synthetic,local_plane_256,1.1195035519838012,0.9934895833333334
dual_g2_s9131021_b0,synthetic,local_spatial_96,1.0554909836708954,0.9947916666666666
dual_g2_s9131021_b0,synthetic,local_spatial_256,1.1195035519838012,0.9934895833333334
dual_g2_s9131021_b0,synthetic,apss_1,0.4247417473715739,0.8671875
dual_g2_s9131021_b0,synthetic,apss_2,0.8129793966143659,0.9921875
dual_g2_s9131021_b0,synthetic,rimls_1,0.387342288352331,0.8658854166666666
dual_g2_s9131021_b0,synthetic,rimls_2,0.8048424279079085,0.9934895833333334
dual_g2_s9131021_b0,synthetic,raw_apss_2,0.8140824596287317,0.9973958333333334
dual_g2_s9131021_b0,synthetic,raw_rimls_2,0.8058895371097214,0.9973958333333334
dual_g2_s9131021_b4,synthetic,identity,4.032186578300857,1.0
dual_g2_s9131021_b4,synthetic,old_original,1.0627739897492832,0.9895833333333334
dual_g2_s9131021_b4,synthetic,old_multistart,1.0055883005487594,0.98828125
dual_g2_s9131021_b4,synthetic,whole_spatial,0.9859773126890369,0.9934895833333334
dual_g2_s9131021_b4,synthetic,local_plane_96,1.0548390228853153,0.9973958333333334
dual_g2_s9131021_b4,synthetic,local_plane_256,1.118341120874796,0.9921875
dual_g2_s9131021_b4,synthetic,local_spatial_96,1.0548390228853153,0.9973958333333334
dual_g2_s9131021_b4,synthetic,local_spatial_256,1.118341120874796,0.9921875
dual_g2_s9131021_b4,synthetic,apss_1,0.42563708375613163,0.8645833333333334
dual_g2_s9131021_b4,synthetic,apss_2,0.8132106637510916,0.9921875
dual_g2_s9131021_b4,synthetic,rimls_1,0.3878953145984486,0.8658854166666666
dual_g2_s9131021_b4,synthetic,rimls_2,0.8050682632877073,0.9947916666666666
dual_g2_s9131021_b4,synthetic,raw_apss_2,3.9162043892512512,1.0
dual_g2_s9131021_b4,synthetic,raw_rimls_2,3.987918680697971,1.0
dual_g2_s9131033_b0,synthetic,identity,0.1331394811903748,1.0
dual_g2_s9131033_b0,synthetic,old_original,1.032713300731611,0.9921875
dual_g2_s9131033_b0,synthetic,old_multistart,1.032713300731611,0.9921875
dual_g2_s9131033_b0,synthetic,whole_spatial,0.9632200052271014,0.9921875
dual_g2_s9131033_b0,synthetic,local_plane_96,1.0263653881304968,0.9973958333333334
dual_g2_s9131033_b0,synthetic,local_plane_256,1.0792915120115312,0.9895833333333334
dual_g2_s9131033_b0,synthetic,local_spatial_96,1.0263653881304968,0.9973958333333334
dual_g2_s9131033_b0,synthetic,local_spatial_256,0.9717216766246285,0.9856770833333334
dual_g2_s9131033_b0,synthetic,apss_1,0.3897558641218685,0.88671875
dual_g2_s9131033_b0,synthetic,apss_2,0.8193020012718633,0.9895833333333334
dual_g2_s9131033_b0,synthetic,rimls_1,0.3630351730391926,0.8841145833333334
dual_g2_s9131033_b0,synthetic,rimls_2,0.813816772704513,0.9908854166666666
dual_g2_s9131033_b0,synthetic,raw_apss_2,0.8212359644978455,0.99609375
dual_g2_s9131033_b0,synthetic,raw_rimls_2,0.8161457058979469,0.9973958333333334
dual_g2_s9131033_b4,synthetic,identity,3.934630449498516,1.0
dual_g2_s9131033_b4,synthetic,old_original,1.0327509972938669,0.9921875
dual_g2_s9131033_b4,synthetic,old_multistart,1.0327509972938669,0.9921875
dual_g2_s9131033_b4,synthetic,whole_spatial,0.9632174055485829,0.9921875
dual_g2_s9131033_b4,synthetic,local_plane_96,1.0264364602694553,0.9973958333333334
dual_g2_s9131033_b4,synthetic,local_plane_256,1.1003871388107516,0.9921875
dual_g2_s9131033_b4,synthetic,local_spatial_96,1.0264364602694553,0.9973958333333334
dual_g2_s9131033_b4,synthetic,local_spatial_256,1.0092152620619614,0.9895833333333334
dual_g2_s9131033_b4,synthetic,apss_1,0.38936923558363923,0.8828125
dual_g2_s9131033_b4,synthetic,apss_2,0.8195556266908182,0.98828125
dual_g2_s9131033_b4,synthetic,rimls_1,0.36346660730682506,0.87890625
dual_g2_s9131033_b4,synthetic,rimls_2,0.8139563141364247,0.9908854166666666
dual_g2_s9131033_b4,synthetic,raw_apss_2,3.4733913163412353,1.0
dual_g2_s9131033_b4,synthetic,raw_rimls_2,3.727054834638286,1.0
dual_g4_s9131011_b0,synthetic,identity,0.13827927677735813,0.9401041666666666
dual_g4_s9131011_b0,synthetic,old_original,0.95834041183491,0.93359375
dual_g4_s9131011_b0,synthetic,old_multistart,0.9121631592956105,0.9348958333333334
dual_g4_s9131011_b0,synthetic,whole_spatial,0.9651474340465288,0.9388020833333334
dual_g4_s9131011_b0,synthetic,local_plane_96,1.1161566302218546,0.9322916666666666
dual_g4_s9131011_b0,synthetic,local_plane_256,1.299466463131951,0.9309895833333334
dual_g4_s9131011_b0,synthetic,local_spatial_96,0.9947826326667185,0.93359375
dual_g4_s9131011_b0,synthetic,local_spatial_256,0.944149389209485,0.9283854166666666
dual_g4_s9131011_b0,synthetic,apss_1,0.38181671018265373,0.8190104166666666
dual_g4_s9131011_b0,synthetic,apss_2,0.7561518998936508,0.9270833333333334
dual_g4_s9131011_b0,synthetic,rimls_1,0.36248299841320625,0.8177083333333334
dual_g4_s9131011_b0,synthetic,rimls_2,0.7474993167526173,0.9270833333333334
dual_g4_s9131011_b0,synthetic,raw_apss_2,0.7604297898969041,0.9348958333333334
dual_g4_s9131011_b0,synthetic,raw_rimls_2,0.7520939624217639,0.9361979166666666
dual_g4_s9131011_b4,synthetic,identity,3.899806290459314,0.8216145833333334
dual_g4_s9131011_b4,synthetic,old_original,0.9571658617999123,0.9348958333333334
dual_g4_s9131011_b4,synthetic,old_multistart,0.9108669655506284,0.9296875
dual_g4_s9131011_b4,synthetic,whole_spatial,0.9628963195917479,0.9296875
dual_g4_s9131011_b4,synthetic,local_plane_96,1.1140190969437445,0.9283854166666666
dual_g4_s9131011_b4,synthetic,local_plane_256,1.2984098838835474,0.93359375
dual_g4_s9131011_b4,synthetic,local_spatial_96,0.9926811433309136,0.9283854166666666
dual_g4_s9131011_b4,synthetic,local_spatial_256,0.9430641754712097,0.9283854166666666
