case,domain,method,output,surface_accuracy_mean_mm,surface_accuracy_rms_mm,surface_accuracy_p95_mm,matched_point_rms_mm,fitted_gap_at_same_xy_mm,fitted_gap_at_same_xy_error_mm,condition,measured_reference_rms_mm
dual_g2_s9131011_b0,synthetic,bias_only,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/local-v12-bias-control-ht3ssv3w/outputs/dual_g2_s9131011_b0.npz,0.7523158035368803,0.943726207661755,1.8782819954639276,0.9876976953416955,1.900598767647312,0.09940123235268805,,
dual_g2_s9131011_b4,synthetic,bias_only,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/local-v12-bias-control-ht3ssv3w/outputs/dual_g2_s9131011_b4.npz,0.7523572057949787,0.9437706018957475,1.8789818709680428,0.9901588140087241,1.9013209507989577,0.09867904920104231,,
dual_g2_s9131021_b0,synthetic,bias_only,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/local-v12-bias-control-ht3ssv3w/outputs/dual_g2_s9131021_b0.npz,0.7844067872279566,0.9814522019018715,1.9056062886924232,1.0242297996366594,1.9860940127281064,0.013905987271893627,,
dual_g2_s9131021_b4,synthetic,bias_only,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/local-v12-bias-control-ht3ssv3w/outputs/dual_g2_s9131021_b4.npz,0.7845309859341159,0.9816039783752804,1.9055954487070699,1.0247567802075197,1.9866163121346374,0.013383687865362592,,
dual_g2_s9131033_b0,synthetic,bias_only,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/local-v12-bias-control-ht3ssv3w/outputs/dual_g2_s9131033_b0.npz,0.7641954195686876,0.9641451078360431,1.9533844510214153,0.9984102413735458,2.033536618878373,0.03353661887837278,,
dual_g2_s9131033_b4,synthetic,bias_only,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/local-v12-bias-control-ht3ssv3w/outputs/dual_g2_s9131033_b4.npz,0.7642139596620067,0.9641711636420064,1.953510405921069,0.9992893802464964,2.033709794733328,0.033709794733328025,,
dual_g4_s9131011_b0,synthetic,bias_only,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/local-v12-bias-control-ht3ssv3w/outputs/dual_g4_s9131011_b0.npz,0.7886431364427411,0.9810559831239463,1.9104870143103068,0.9903335187085439,3.9037380654711034,0.09626193452889664,,
dual_g4_s9131011_b4,synthetic,bias_only,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/local-v12-bias-control-ht3ssv3w/outputs/dual_g4_s9131011_b4.npz,0.8618236218780432,1.130382736473244,2.1697142150483684,1.2314697671335242,4.080820233568694,0.08082023356869428,,
dual_g4_s9131021_b0,synthetic,bias_only,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/local-v12-bias-control-ht3ssv3w/outputs/dual_g4_s9131021_b0.npz,0.8135643412973973,1.0127992710021403,1.915856486406913,1.0259147614396131,3.9127272430596385,0.08727275694036152,,
dual_g4_s9131021_b4,synthetic,bias_only,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/local-v12-bias-control-ht3ssv3w/outputs/dual_g4_s9131021_b4.npz,0.8654888397094883,1.1056545255532242,2.0046733884866033,1.238176798296097,4.010787084316695,0.010787084316694617,,
dual_g4_s9131033_b0,synthetic,bias_only,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/local-v12-bias-control-ht3ssv3w/outputs/dual_g4_s9131033_b0.npz,0.7862147458810309,0.9897329149374896,1.926847187857665,1.0003628193485743,4.149258118422275,0.1492581184222752,,
dual_g4_s9131033_b4,synthetic,bias_only,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/local-v12-bias-control-ht3ssv3w/outputs/dual_g4_s9131033_b4.npz,0.8371048588761286,1.1490435252467412,2.0821632245952215,1.2851615676728696,4.058040695422227,0.05804069542222656,,
dual_g8_s9131011_b0,synthetic,bias_only,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/local-v12-bias-control-ht3ssv3w/outputs/dual_g8_s9131011_b0.npz,0.7907934357197118,0.9875149511477653,1.9260001717963389,0.987515091036582,8.291890088279832,0.29189008827983187,,
dual_g8_s9131011_b4,synthetic,bias_only,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/local-v12-bias-control-ht3ssv3w/outputs/dual_g8_s9131011_b4.npz,0.8039393621967191,1.008769083561555,1.9583300351415358,1.1869904070694617,8.192649072144171,0.19264907214417093,,
dual_g8_s9131021_b0,synthetic,bias_only,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/local-v12-bias-control-ht3ssv3w/outputs/dual_g8_s9131021_b0.npz,0.818324086628215,1.0251518929324168,1.9015679380561905,1.0251521186613777,8.243315088616505,0.2433150886165052,,
dual_g8_s9131021_b4,synthetic,bias_only,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/local-v12-bias-control-ht3ssv3w/outputs/dual_g8_s9131021_b4.npz,0.8353145325321263,1.0579857906855252,1.9777300717489463,1.0611488709633883,8.29199664081042,0.29199664081042087,,
