case,domain,method,output,output_sha256,seconds,gap_mm,identifiable,geometry_scored,surface_accuracy_mean_mm,surface_accuracy_rms_mm,surface_accuracy_p95_mm,reference_sample_coverage_1mm,reference_sample_coverage_2mm,reference_sample_distance_mean_mm,output_point_count_ratio,matched_point_rms_mm,matched_normal_mae_mm,within_source_layer_rms_mm,source_group_gap_mm,source_group_gap_error_mm,source_group_gap_retention,reported_model_k,model_k_note,global_translation_only_aligned_rms_mm,output_edit_from_reference_centroid_mm,source_surface_tilt_mean_deg,source_surface_tilt_max_deg,fitted_gap_at_same_xy_mm,fitted_gap_at_same_xy_error_mm,fitted_gap_note,condition,patch,measured_reference_rms_mm,input_edit_rms_mm
dual_g2_s9131011_b0,synthetic,identity,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/local-v12-development-bqctbge_/outputs/dual_g2_s9131011_b0__identity.npz,87878c47d4d5ce2e597fce4fa17c4f60af54e812b89f62361419bc08cdc2a97d,1.944004907272756e-06,2,True,True,0.7552989591886412,0.9485708642914495,1.8496839296594882,0.7122395833333334,0.9778645833333334,0.7440476406979233,1.0,0.9916406748566337,0.7928617030541458,0.9907096081441249,2.0434787714229894,0.04347877142298939,1.0217393857114947,,self-report; not geometry-derived layer count or success,0.9909377459602315,0.0373311084937915,0.18448591542625078,0.18754849672929721,1.8824848583977647,0.1175151416022353,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",,,,
dual_g2_s9131011_b0,synthetic,old_original,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/local-v12-development-bqctbge_/outputs/dual_g2_s9131011_b0__old_original.npz,593aacacc90dab3182f8bee6558bd71d8da24aa8436a8be30ab0dd1b990bd1e3,0.0009572380076861009,2,True,True,0.20008517841722565,0.33025043961599365,0.8657823262305405,0.9713541666666666,1.0,0.20288070867821525,1.0,0.3328494940895339,0.20071711476258222,0.3201354433891458,1.8349534136028844,0.16504658639711556,0.9174767068014422,,self-report; not geometry-derived layer count or success,0.3306474284333789,0.03822386409106529,0.7158711456128718,1.0496279739499839,0.9269714921969721,1.073028507803028,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",,,,
dual_g2_s9131011_b0,synthetic,old_multistart,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/local-v12-development-bqctbge_/outputs/dual_g2_s9131011_b0__old_multistart.npz,593aacacc90dab3182f8bee6558bd71d8da24aa8436a8be30ab0dd1b990bd1e3,0.01958498000749387,2,True,True,0.20008517841722565,0.33025043961599365,0.8657823262305405,0.9713541666666666,1.0,0.20288070867821525,1.0,0.3328494940895339,0.20071711476258222,0.3201354433891458,1.8349534136028844,0.16504658639711556,0.9174767068014422,,self-report; not geometry-derived layer count or success,0.3306474284333789,0.03822386409106529,0.7158711456128718,1.0496279739499839,0.9269714921969721,1.073028507803028,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",,,,
dual_g2_s9131011_b0,synthetic,whole_spatial,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/local-v12-development-bqctbge_/outputs/dual_g2_s9131011_b0__whole_spatial.npz,4d738f02a636405daa1bf18a9e46f49dc7fceeb41b78838bb317725bbf272a1a,0.04021274000115227,2,True,True,0.06433434258486724,0.13289355415868556,0.12499595729938225,0.9908854166666666,0.9973958333333334,0.07688426275156005,1.0,0.19956738929156692,0.0741733750711302,0.19699031231315212,2.030220169547864,0.030220169547864106,1.015110084773932,,self-report; not geometry-derived layer count or success,0.19827625206848598,0.022664305291052494,0.25318806408124384,0.32643388029268544,1.7399215145763867,0.26007848542361334,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",,,,
dual_g2_s9131011_b0,synthetic,local_plane_96,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/local-v12-development-bqctbge_/outputs/dual_g2_s9131011_b0__local_plane_96.npz,c7f2540a1569828c1bf2ec97c2f9da79fece1ecb372a1ebfdad23a160d5077e8,0.004312734003178775,2,True,True,0.26298595284781207,0.35692687204636836,0.82817045715568,0.984375,1.0,0.26908298671031666,1.0,0.36695829608915187,0.26592168186645887,0.34862202642383955,1.7978621032170101,0.20213789678298988,0.8989310516085051,,self-report; not geometry-derived layer count or success,0.36427867727325886,0.04426552103724237,0.8473167810599097,1.2969569046782645,0.6984059823801241,1.301594017619876,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",,,,
dual_g2_s9131011_b0,synthetic,local_plane_256,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/local-v12-development-bqctbge_/outputs/dual_g2_s9131011_b0__local_plane_256.npz,531fadce16b3368c10a198996f035ee3c68a7a834bffbf0af0de7b63f1d913c0,0.002437198010738939,2,True,True,0.31516242091548746,0.4281048943106852,0.8995548117797818,0.9752604166666666,1.0,0.3202548659603541,1.0,0.43548574860904204,0.3177721911965751,0.41242482722313645,1.7339315360287337,0.26606846397126627,0.8669657680143669,,self-report; not geometry-derived layer count or success,0.4337955192366287,0.038331250068338395,1.213304365824575,1.8482689015618168,0.1581266747390817,1.8418733252609183,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",,,,
dual_g2_s9131011_b0,synthetic,local_spatial_96,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/local-v12-development-bqctbge_/outputs/dual_g2_s9131011_b0__local_spatial_96.npz,c7f2540a1569828c1bf2ec97c2f9da79fece1ecb372a1ebfdad23a160d5077e8,0.27640429900202435,2,True,True,0.26298595284781207,0.35692687204636836,0.82817045715568,0.984375,1.0,0.26908298671031666,1.0,0.36695829608915187,0.26592168186645887,0.34862202642383955,1.7978621032170101,0.20213789678298988,0.8989310516085051,,self-report; not geometry-derived layer count or success,0.36427867727325886,0.04426552103724237,0.8473167810599097,1.2969569046782645,0.6984059823801241,1.301594017619876,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",,,,
dual_g2_s9131011_b0,synthetic,local_spatial_256,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/local-v12-development-bqctbge_/outputs/dual_g2_s9131011_b0__local_spatial_256.npz,531fadce16b3368c10a198996f035ee3c68a7a834bffbf0af0de7b63f1d913c0,0.16475229599745944,2,True,True,0.31516242091548746,0.4281048943106852,0.8995548117797818,0.9752604166666666,1.0,0.3202548659603541,1.0,0.43548574860904204,0.3177721911965751,0.41242482722313645,1.7339315360287337,0.26606846397126627,0.8669657680143669,,self-report; not geometry-derived layer count or success,0.4337955192366287,0.038331250068338395,1.213304365824575,1.8482689015618168,0.1581266747390817,1.8418733252609183,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",,,,
dual_g2_s9131011_b0,synthetic,apss_1,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/local-v12-development-bqctbge_/outputs/dual_g2_s9131011_b0__apss_1.npz,1cf1dcb82c137278c722ad0c9efdaba2deb755b3ba096db02e95ab17ff704f38,0.007408885998302139,2,True,True,0.629613649969739,0.8129174967280335,1.6381054796701797,0.78515625,0.9817708333333334,0.6468263643295222,1.0,0.845988188787097,0.6547837201932732,0.8440160064283346,2.049102135569346,0.04910213556934595,1.024551067784673,,self-report; not geometry-derived layer count or success,0.8447145386807845,0.04640435010408366,0.16118244815142957,0.16588684002357457,1.9070381164084869,0.09296188359151314,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",,,,
dual_g2_s9131011_b0,synthetic,apss_2,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/local-v12-development-bqctbge_/outputs/dual_g2_s9131011_b0__apss_2.npz,2235f43dcc85b704899f47d7e7cf27fed4290731afc49a565e9e56a05e23e8d6,0.0102851129922783,2,True,True,0.3574237180588926,0.4496929188260035,0.8769626769921389,0.9700520833333334,1.0,0.36627441314148795,1.0,0.4605047690066423,0.36135279861296205,0.4563424988921422,2.0064346689878776,0.00643466898787759,1.0032173344939388,,self-report; not geometry-derived layer count or success,0.45849183380465725,0.0430102384590407,0.2483725045245716,0.31085096141474017,1.732360019893643,0.2676399801063569,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",,,,
