case,seed,gap,sigma,method,status,seconds,dependence,surface_mae_mm,matched_rms_mm,balanced_source_mae_mm,worst_source_mae_mm,coverage_1mm,model_k,slope_error,slope_angle_deg,single_false_split,actual_x_layer_correlation,cov_u_layer,ols_slope,label_ols_slope,noise_ols_slope,ols_predicted_slope,ols_identity_error,alpha,beta,assignment_error,fitted_gap_mm,fitted_perpendicular_gap_mm,source_gap_from_assignment_mm,source_gap_from_slope_mm,fitted_gap_error_mm,source_gap_mm,source_gap_error_mm,source_gap_relative_error,gap_identity_error_mm,balanced_midplane_crossing,counterfactual_source_gap_mm,counterfactual_geometry_mse_mm2,assignment_delta_mse_mm2,geometry_assignment_cross_mm2,total_mse_mm2,decomposition_error_mm2
s9161101_g0_n1_l0,9161101,0.0,1.0,constant_free,OK,0.9422991570027079,0.0,0.039362533364395214,0.04809447338843303,0.039362533364395214,0.039362533364395214,1.0,1,0.07365755448457989,0.08440527896641105,0,0.0,"[0.0, 0.0]","[-0.05446756994406797, 0.049585473246071966]","[0.0, 0.0]","[-0.05446756994406797, 0.049585473246071966]","[-0.05446756994406797, 0.049585473246071966]",0.0,,,,,,,,,,,,,,,,,,,
s9161101_g0_n1_l0,9161101,0.0,1.0,constant_oracle_slope,OK,0.6967197209960432,0.0,0.01203198903838644,0.01203198903838644,0.01203198903838644,0.01203198903838644,1.0,1,0.0,0.0,0,0.0,"[0.0, 0.0]","[-0.05446756994406797, 0.049585473246071966]","[0.0, 0.0]","[-0.05446756994406797, 0.049585473246071966]","[-0.05446756994406797, 0.049585473246071966]",0.0,,,,,,,,,,,,,,,,,,,
s9161101_g0_n1_l0,9161101,0.0,1.0,spatial_free,OK,0.10859284800244495,0.0,0.039362533364395214,0.04809447338843303,0.039362533364395214,0.039362533364395214,1.0,1,0.07365755448457989,0.08440527896641105,0,0.0,"[0.0, 0.0]","[-0.05446756994406797, 0.049585473246071966]","[0.0, 0.0]","[-0.05446756994406797, 0.049585473246071966]","[-0.05446756994406797, 0.049585473246071966]",0.0,,,,,,,,,,,,,,,,,,,
s9161101_g0_n1_l0,9161101,0.0,1.0,spatial_oracle_slope,OK,0.08873260499967728,0.0,0.01203198903838644,0.01203198903838644,0.01203198903838644,0.01203198903838644,1.0,1,0.0,0.0,0,0.0,"[0.0, 0.0]","[-0.05446756994406797, 0.049585473246071966]","[0.0, 0.0]","[-0.05446756994406797, 0.049585473246071966]","[-0.05446756994406797, 0.049585473246071966]",0.0,,,,,,,,,,,,,,,,,,,
s9161101_g0_n2_l0,9161101,0.0,2.0,constant_free,OK,0.9298983819971909,0.0,0.07872506672879043,0.09618894677686605,0.07872506672879043,0.07872506672879043,1.0,1,0.14731510896915978,0.16881019158663596,0,0.0,"[0.0, 0.0]","[-0.10893513988813594, 0.09917094649214393]","[0.0, 0.0]","[-0.10893513988813594, 0.09917094649214393]","[-0.10893513988813594, 0.09917094649214393]",0.0,,,,,,,,,,,,,,,,,,,
s9161101_g0_n2_l0,9161101,0.0,2.0,constant_oracle_slope,OK,0.7198743010012549,0.0,0.02406397807677288,0.02406397807677288,0.02406397807677288,0.02406397807677288,1.0,1,0.0,0.0,0,0.0,"[0.0, 0.0]","[-0.10893513988813594, 0.09917094649214393]","[0.0, 0.0]","[-0.10893513988813594, 0.09917094649214393]","[-0.10893513988813594, 0.09917094649214393]",0.0,,,,,,,,,,,,,,,,,,,
s9161101_g0_n2_l0,9161101,0.0,2.0,spatial_free,OK,0.11109297900111414,0.0,0.07872506672879043,0.09618894677686605,0.07872506672879043,0.07872506672879043,1.0,1,0.14731510896915978,0.16881019158663596,0,0.0,"[0.0, 0.0]","[-0.10893513988813594, 0.09917094649214393]","[0.0, 0.0]","[-0.10893513988813594, 0.09917094649214393]","[-0.10893513988813594, 0.09917094649214393]",0.0,,,,,,,,,,,,,,,,,,,
s9161101_g0_n2_l0,9161101,0.0,2.0,spatial_oracle_slope,OK,0.09547847000067122,0.0,0.02406397807677288,0.02406397807677288,0.02406397807677288,0.02406397807677288,1.0,1,0.0,0.0,0,0.0,"[0.0, 0.0]","[-0.10893513988813594, 0.09917094649214393]","[0.0, 0.0]","[-0.10893513988813594, 0.09917094649214393]","[-0.10893513988813594, 0.09917094649214393]",0.0,,,,,,,,,,,,,,,,,,,
s9161101_g2_n1_l0,9161101,2.0,1.0,constant_free,OK,0.9775746689992957,0.0,0.05647198383938207,0.7731842082765114,0.34759479182740316,0.3777852742345247,0.8619791666666666,2,0.07943627637306121,0.09102719094258452,,-0.006180518035991964,"[-0.002085762234571915, -0.00337153425893306]","[-0.063615610517606, 0.029320515673808528]","[-0.004574020286768968, -0.010132478786131733]","[-0.05446756994406797, 0.049585473246071966]","[-0.0636156105176059, 0.0293205156738085]",9.71445146547012e-17,0.13020833333333334,0.171875,0.15104166666666669,1.9811692523332707,1.9811667520540652,1.3826910406909285,0.000271480757870273,0.01883074766672932,1.3829625214487988,0.6170374785512012,0.3085187392756006,0.0,0.15104166666666669,1.9814407330911408,0.004807973916403945,0.592843315548606,0.0001625304631657569,0.5978138199281757,3.482999479109683e-17
s9161101_g2_n1_l0,9161101,2.0,1.0,constant_oracle_slope,OK,0.7484890780033311,0.0,0.05224720353651576,0.7713755663129008,0.34325085469313776,0.3883190013329072,0.8619791666666666,2,0.0,0.0,,-0.006180518035991964,"[-0.002085762234571915, -0.00337153425893306]","[-0.063615610517606, 0.029320515673808528]","[-0.004574020286768968, -0.010132478786131733]","[-0.05446756994406797, 0.049585473246071966]","[-0.0636156105176059, 0.0293205156738085]",9.71445146547012e-17,0.11979166666666667,0.18229166666666666,0.15104166666666666,1.9817967631755868,1.9817967631755868,1.3831289909662952,0.0,0.01820323682441316,1.3831289909662954,0.6168710090337046,0.3084355045168523,2.220446049250313e-16,0.15104166666666666,1.9817967631755873,0.0027534915630274648,0.5932189265909572,-0.0009521538494360222,0.5950202643045487,1.0408340855860843e-17
