case,seed,gap,sigma,method,status,seconds,k,fitted_normal_angle_deg,support,plane_vector_world,source_geometry_scope,replay_max_difference_mm,fitted_vertical_gap_mm,fitted_gap_error_mm,fitted_perpendicular_gap_mm,source_gap_mm,source_gap_error_mm,counterfactual_source_gap_mm,counterfactual_source_gap_error_mm,fitted_source_plane_mae_mm,assignment_error,supported_assignment_error,counterfactual_geometry_mse_mm2,assignment_delta_mse_mm2,geometry_assignment_cross_mm2,total_mse_mm2,decomposition_error_mm2,supported_counterfactual_geometry_mse_mm2,supported_assignment_delta_mse_mm2,supported_geometry_assignment_cross_mm2,supported_total_mse_mm2,supported_decomposition_error_mm2
s9151101_g0_n0.5_b0_r0.25,9151101,0,0.5,constant_free,OK,0.7027563979936531,1,0.12519418824562417,1.0,"[-0.00016615000779000784, -0.0021787229666190362, 0.9999976376482405]",V15 same frozen basis/bias/support; no independent real geometry,0.0,,,,,,,,,,,,,,,,,,,,
s9151101_g0_n0.5_b0_r0.25,9151101,0,0.5,spatial_free,OK,0.062192249002691824,1,0.12519418824562417,1.0,"[-0.00016615000779000784, -0.0021787229666190362, 0.9999976376482405]",V15 same frozen basis/bias/support; no independent real geometry,0.0,,,,,,,,,,,,,,,,,,,,
s9151101_g0_n0.5_b0_r1.0,9151101,0,0.5,constant_free,OK,1.1433286579995183,1,0.03499423191089865,1.0,"[-0.00023886073646213805, -0.0005621216476465742, 1.0000023462524512]",V15 same frozen basis/bias/support; no independent real geometry,0.0,,,,,,,,,,,,,,,,,,,,
s9151101_g0_n0.5_b0_r1.0,9151101,0,0.5,spatial_free,OK,0.11046964800334536,1,0.03499423191089865,1.0,"[-0.00023886073646213805, -0.0005621216476465742, 1.0000023462524512]",V15 same frozen basis/bias/support; no independent real geometry,0.0,,,,,,,,,,,,,,,,,,,,
s9151101_g0_n0.5_b4_r0.25,9151101,0,0.5,constant_free,OK,0.7224329030068475,1,0.1251872624374403,1.0,"[-0.00016613849276676533, -0.0021786026160348546, 0.9999976379351803]",V15 same frozen basis/bias/support; no independent real geometry,0.0,,,,,,,,,,,,,,,,,,,,
s9151101_g0_n0.5_b4_r0.25,9151101,0,0.5,spatial_free,OK,0.06369506299961358,1,0.1251872624374403,1.0,"[-0.00016613849276676533, -0.0021786026160348546, 0.9999976379351803]",V15 same frozen basis/bias/support; no independent real geometry,0.0,,,,,,,,,,,,,,,,,,,,
s9151101_g0_n0.5_b4_r1.0,9151101,0,0.5,constant_free,OK,1.1659502859984059,1,0.034991855722073514,1.0,"[-0.00023886345167735998, -0.0005620754323243033, 1.0000023461857779]",V15 same frozen basis/bias/support; no independent real geometry,0.0,,,,,,,,,,,,,,,,,,,,
s9151101_g0_n0.5_b4_r1.0,9151101,0,0.5,spatial_free,OK,0.11143642100068973,1,0.034991855722073514,1.0,"[-0.00023886345167735998, -0.0005620754323243033, 1.0000023461857779]",V15 same frozen basis/bias/support; no independent real geometry,0.0,,,,,,,,,,,,,,,,,,,,
s9151101_g0_n1.0_b0_r0.25,9151101,0,1.0,constant_free,OK,0.7602867169989622,1,0.2507612546446847,1.0,"[-0.0003314774903931859, -0.004364025153456661, 0.9999905320178579]",V15 same frozen basis/bias/support; no independent real geometry,0.0,,,,,,,,,,,,,,,,,,,,
s9151101_g0_n1.0_b0_r0.25,9151101,0,1.0,spatial_free,OK,0.060639472998445854,1,0.2507612546446847,1.0,"[-0.0003314774903931859, -0.004364025153456661, 0.9999905320178579]",V15 same frozen basis/bias/support; no independent real geometry,0.0,,,,,,,,,,,,,,,,,,,,
s9151101_g0_n1.0_b0_r1.0,9151101,0,1.0,constant_free,OK,1.1286418050003704,1,0.06980705883245682,1.0,"[-0.00048008130234395785, -0.001119804984963728, 1.0000105594324733]",V15 same frozen basis/bias/support; no independent real geometry,0.0,,,,,,,,,,,,,,,,,,,,
s9151101_g0_n1.0_b0_r1.0,9151101,0,1.0,spatial_free,OK,0.11257545099942945,1,0.06980705883245682,1.0,"[-0.00048008130234395785, -0.001119804984963728, 1.0000105594324733]",V15 same frozen basis/bias/support; no independent real geometry,0.0,,,,,,,,,,,,,,,,,,,,
s9151101_g0_n1.0_b4_r0.25,9151101,0,1.0,constant_free,OK,0.7289815010008169,1,0.25073270605383563,1.0,"[-0.00033157390185631553, -0.004363518131561638, 0.9999905343627331]",V15 same frozen basis/bias/support; no independent real geometry,0.0,,,,,,,,,,,,,,,,,,,,
s9151101_g0_n1.0_b4_r0.25,9151101,0,1.0,spatial_free,OK,0.06185917100083316,1,0.25073270605383563,1.0,"[-0.00033157390185631553, -0.004363518131561638, 0.9999905343627331]",V15 same frozen basis/bias/support; no independent real geometry,0.0,,,,,,,,,,,,,,,,,,,,
s9151101_g0_n1.0_b4_r1.0,9151101,0,1.0,constant_free,OK,1.1242461439978797,1,0.06979725158044356,1.0,"[-0.0004800915932154201, -0.0011196143308928484, 1.000010558826895]",V15 same frozen basis/bias/support; no independent real geometry,0.0,,,,,,,,,,,,,,,,,,,,
s9151101_g0_n1.0_b4_r1.0,9151101,0,1.0,spatial_free,OK,0.10656415999983437,1,0.06979725158044356,1.0,"[-0.0004800915932154201, -0.0011196143308928484, 1.000010558826895]",V15 same frozen basis/bias/support; no independent real geometry,0.0,,,,,,,,,,,,,,,,,,,,
s9151101_g0_n2.0_b0_r0.25,9151101,0,2.0,constant_free,OK,0.7313625380047597,1,0.5044300290182809,1.0,"[-0.0006605325573382757, -0.008779037658694928, 0.9999613157971042]",V15 same frozen basis/bias/support; no independent real geometry,0.0,,,,,,,,,,,,,,,,,,,,
s9151101_g0_n2.0_b0_r0.25,9151101,0,2.0,spatial_free,OK,0.06323980500019388,1,0.5044300290182809,1.0,"[-0.0006605325573382757, -0.008779037658694928, 0.9999613157971042]",V15 same frozen basis/bias/support; no independent real geometry,0.0,,,,,,,,,,,,,,,,,,,,
s9151101_g0_n2.0_b0_r1.0,9151101,0,2.0,constant_free,OK,1.0834305089956615,1,0.13869470679946613,1.0,"[-0.0009747605823277597, -0.0022158321173081632, 1.0000306371507153]",V15 same frozen basis/bias/support; no independent real geometry,0.0,,,,,,,,,,,,,,,,,,,,
s9151101_g0_n2.0_b0_r1.0,9151101,0,2.0,spatial_free,OK,0.1096333540044725,1,0.13869470679946613,1.0,"[-0.0009747605823277597, -0.0022158321173081632, 1.0000306371507153]",V15 same frozen basis/bias/support; no independent real geometry,0.0,,,,,,,,,,,,,,,,,,,,
s9151101_g0_n2.0_b4_r0.25,9151101,0,2.0,constant_free,OK,0.7094906060010544,1,0.5043287855951175,1.0,"[-0.0006607236627989132, -0.008777251322416258, 0.9999613319777594]",V15 same frozen basis/bias/support; no independent real geometry,0.0,,,,,,,,,,,,,,,,,,,,
s9151101_g0_n2.0_b4_r0.25,9151101,0,2.0,spatial_free,OK,0.0625568329996895,1,0.5043287855951175,1.0,"[-0.0006607236627989132, -0.008777251322416258, 0.9999613319777594]",V15 same frozen basis/bias/support; no independent real geometry,0.0,,,,,,,,,,,,,,,,,,,,
s9151101_g0_n2.0_b4_r1.0,9151101,0,2.0,constant_free,OK,1.086263315002725,1,0.1386613550330344,1.0,"[-0.0009748021133832458, -0.002215177862728083, 1.000030633781001]",V15 same frozen basis/bias/support; no independent real geometry,0.0,,,,,,,,,,,,,,,,,,,,
s9151101_g0_n2.0_b4_r1.0,9151101,0,2.0,spatial_free,OK,0.11123931500333128,1,0.1386613550330344,1.0,"[-0.0009748021133832458, -0.002215177862728083, 1.000030633781001]",V15 same frozen basis/bias/support; no independent real geometry,0.0,,,,,,,,,,,,,,,,,,,,
s9151101_g2_n0.5_b0_r0.25,9151101,2,0.5,constant_free,OK,0.7313440259968047,2,1.4712238654641276,0.9877750611246944,"[-0.025675372655566048, -0.0006085052892935588, 0.9999702905418207]",V15 same frozen basis/bias/support; no independent real geometry,0.0,1.0288991774455754,0.9711008225544246,1.0285599966774732,1.9003157783367022,0.09968422166329782,2.666893257248662,0.6668932572486619,0.43947599590232045,0.3725355526826115,0.38025333445180776,0.29065837392286237,0.3830524476358739,-0.4537479054865755,0.21996291607216076,0.0,0.28601794609829034,0.3877931957501793,-0.4593635973861618,0.2144475444623078,5.551115123125783e-17
s9151101_g2_n0.5_b0_r0.25,9151101,2,0.5,spatial_free,OK,0.08176985700265504,2,0.07401591574034111,0.9877750611246944,"[0.0012840036137411299, -0.00014197975840917702, 1.0000057142693137]",V15 same frozen basis/bias/support; no independent real geometry,0.0,2.2123164037468537,0.21231640374685368,2.212314557787424,2.156802783796791,0.1568027837967909,2.156802783796791,0.1568027837967909,0.05682352839518925,0.0,0.0,0.01235673865077322,6.318826637083446e-33,6.631824615903872e-20,0.01235673865077322,6.631824615904504e-20,0.004271983656992182,6.39702993704735e-33,6.713901653229424e-20,0.004271983656992182,6.713901653230063e-20
s9151101_g2_n0.5_b0_r1.0,9151101,2,0.5,constant_free,OK,0.936623869005416,2,1.3627619358767935,0.94140625,"[-0.023782740913167694, -0.000551742003088608, 0.999998791546513]",V15 same frozen basis/bias/support; no independent real geometry,0.0,1.15740071876043,0.84259928123957,1.157073356958603,1.822588880272852,0.17741111972714796,2.5712922544683923,0.5712922544683923,0.5032672808227814,0.34162504162504165,0.34923097018580807,0.42121006700767927,0.5145495962454002,-0.7490500003638884,0.1867096628891911,0.0,0.43422437952770815,0.5465755047254043,-0.7956713696811428,0.18512851457196974,1.1102230246251565e-16
s9151101_g2_n0.5_b0_r1.0,9151101,2,0.5,spatial_free,OK,0.1113304890022846,2,0.09333471331405034,0.94140625,"[0.0012457365262689745, -0.0010496733721992017, 1.0000064679703324]",V15 same frozen basis/bias/support; no independent real geometry,0.0,2.1467099402295906,0.1467099402295906,2.14670709193827,2.0301582161395233,0.030158216139523297,2.0301582161395233,0.030158216139523297,0.039738250454684966,0.0,0.0,0.014473413669053031,8.801099765323783e-33,-1.9414565445652008e-19,0.014473413669053031,1.9414565445651127e-19,0.002172166852652927,9.348886057771321e-33,-2.0622940888327444e-19,0.0021721668526529267,2.2745146011093665e-19
