case,method,ok,seconds,sigma_mm,n_points,n_stations,error,independent_real_quality,output_finite,output_n,identifiable,k_method,note,false_split,false_merge,gap_err_mm,surface_err_mm,coverage,layer_match_failed,k_info,split,family,seed,gap_mm,bias_rms_mm,noise_protocol,k_hat,n_true_layers,patch_id,scene,perturbation,perturb_seed,actual_point_delta_rms_mm,recovery_vs_unperturbed_input_rms_mm,stability_vs_own_unperturbed_output_rms_mm,recovery_note,stability_note
ambig_g8_s912101,identity,True,0.0002516469976399094,1.0,768,8,,本轮尚未测得,True,768,False,,ambiguous case: a single recovered explanation is not scored as unique truth,,,,,1.0,False,,synthetic_exact,ambiguous_two_explanations,912101,8.0,0.0,supplied-noise sigma=1 mm,,,,,,,,,,,
ambig_g8_s912101,xyz_mixture,True,0.002734399000473786,1.0,768,8,,本轮尚未测得,True,768,False,2,ambiguous case: a single recovered explanation is not scored as unique truth,,,,,1.0,False,2,synthetic_exact,ambiguous_two_explanations,912101,8.0,0.0,supplied-noise sigma=1 mm,,,,,,,,,,,
ambig_g8_s912101,fast,True,0.006650669005466625,1.0,768,8,,本轮尚未测得,True,768,False,1,ambiguous case: a single recovered explanation is not scored as unique truth,,,,,1.0,False,1,synthetic_exact,ambiguous_two_explanations,912101,8.0,0.0,supplied-noise sigma=1 mm,,,,,,,,,,,
ambig_g8_s912101,open3d_icp_then_xyz,True,0.029226619997643866,1.0,768,8,,本轮尚未测得,True,768,False,2,ambiguous case: a single recovered explanation is not scored as unique truth,,,,,1.0,False,2,synthetic_exact,ambiguous_two_explanations,912101,8.0,0.0,supplied-noise sigma=1 mm,,,,,,,,,,,
ambig_g8_s912113,identity,True,0.0003454079997027293,1.0,768,8,,本轮尚未测得,True,768,False,,ambiguous case: a single recovered explanation is not scored as unique truth,,,,,1.0,False,,synthetic_exact,ambiguous_two_explanations,912113,8.0,0.0,supplied-noise sigma=1 mm,,,,,,,,,,,
ambig_g8_s912113,xyz_mixture,True,0.0028443569972296245,1.0,768,8,,本轮尚未测得,True,768,False,2,ambiguous case: a single recovered explanation is not scored as unique truth,,,,,1.0,False,2,synthetic_exact,ambiguous_two_explanations,912113,8.0,0.0,supplied-noise sigma=1 mm,,,,,,,,,,,
ambig_g8_s912113,fast,True,0.007397157001832966,1.0,768,8,,本轮尚未测得,True,768,False,1,ambiguous case: a single recovered explanation is not scored as unique truth,,,,,1.0,False,1,synthetic_exact,ambiguous_two_explanations,912113,8.0,0.0,supplied-noise sigma=1 mm,,,,,,,,,,,
ambig_g8_s912113,open3d_icp_then_xyz,True,0.02879567399941152,1.0,768,8,,本轮尚未测得,True,768,False,1,ambiguous case: a single recovered explanation is not scored as unique truth,,,,,1.0,False,1,synthetic_exact,ambiguous_two_explanations,912113,8.0,0.0,supplied-noise sigma=1 mm,,,,,,,,,,,
ambig_g8_s912127,identity,True,0.0003705929993884638,1.0,768,8,,本轮尚未测得,True,768,False,,ambiguous case: a single recovered explanation is not scored as unique truth,,,,,1.0,False,,synthetic_exact,ambiguous_two_explanations,912127,8.0,0.0,supplied-noise sigma=1 mm,,,,,,,,,,,
ambig_g8_s912127,xyz_mixture,True,0.002376748001552187,1.0,768,8,,本轮尚未测得,True,768,False,2,ambiguous case: a single recovered explanation is not scored as unique truth,,,,,1.0,False,2,synthetic_exact,ambiguous_two_explanations,912127,8.0,0.0,supplied-noise sigma=1 mm,,,,,,,,,,,
ambig_g8_s912127,fast,True,0.006011853998643346,1.0,768,8,,本轮尚未测得,True,768,False,1,ambiguous case: a single recovered explanation is not scored as unique truth,,,,,1.0,False,1,synthetic_exact,ambiguous_two_explanations,912127,8.0,0.0,supplied-noise sigma=1 mm,,,,,,,,,,,
ambig_g8_s912127,open3d_icp_then_xyz,True,0.021339291000913363,1.0,768,8,,本轮尚未测得,True,768,False,1,ambiguous case: a single recovered explanation is not scored as unique truth,,,,,1.0,False,1,synthetic_exact,ambiguous_two_explanations,912127,8.0,0.0,supplied-noise sigma=1 mm,,,,,,,,,,,
dual_g2_s912101_b0,identity,True,0.00030117500136839226,1.0,768,8,,本轮尚未测得,True,768,True,,,0,0,0.1469049656512198,0.9855226950441501,1.0,False,,synthetic_exact,true_bilayer,912101,2.0,0.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g2_s912101_b0,xyz_mixture,True,0.02016256400384009,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,0.8309206922824477,0.9029518273957646,1.0,False,2,synthetic_exact,true_bilayer,912101,2.0,0.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g2_s912101_b0,fast,True,0.004576957995595876,1.0,768,8,,本轮尚未测得,True,768,True,1,,0,1,,,1.0,True,1,synthetic_exact,true_bilayer,912101,2.0,0.0,supplied-noise sigma=1 mm,1,2,,,,,,,,,
dual_g2_s912101_b0,open3d_icp_then_xyz,True,0.021437162002257537,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,0.743175018451502,0.8737174459592119,1.0,False,2,synthetic_exact,true_bilayer,912101,2.0,0.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g2_s912101_b4,identity,True,0.0002891629992518574,1.0,768,8,,本轮尚未测得,True,768,True,,,0,0,5.548475269908749,2.7742376349543747,1.0,False,,synthetic_exact,true_bilayer,912101,2.0,4.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
