scene,patch,method,n,spacing_scene_units,status,model_layers,displacement_median_spacing,displacement_p95_spacing,displacement_max_spacing,edge_ratio_min,edge_ratio_max,moved_points,finite,seconds,incident_triangles,orientation_reversals,area_ratio_min,area_ratio_max
room,0,identity,1024,0.029234675693261214,ok,,0.0,0.0,0.0,1.0,1.0,0,True,0.0027136419994349126,,,,
room,0,plane,1024,0.029234675693261214,ok,1,3.680797776709557,15.159909615415142,28.694370341238404,0.0116411426609374,0.9999999987567099,1024,True,0.002854092999768909,,,,
room,0,spatial_s05,1024,0.029234675693261214,ok,2,2.4916424653600084,7.2581323730336065,19.83151663920344,0.011641192393001138,10.884871580121606,1024,True,0.13239712599988707,,,,
room,0,spatial_s1,1024,0.029234675693261214,ok,2,2.5097204293563458,7.4207275366103485,19.747423110387682,0.01164114753410819,71.93537822052623,1024,True,0.1265264700004991,,,,
room,0,spatial_s2,1024,0.029234675693261214,ok,2,2.479441463109822,7.415157636706262,19.735181759778236,0.011641171943884995,19.154396209767796,1024,True,0.12646118600059708,,,,
room,0,apss4,1024,0.029234675693261214,ok,,0.9216416683534872,5.589053059670044,22.012107080536513,0.019736233917872735,27.07239204268449,1023,True,0.01763075399958325,,,,
room,1,identity,1024,0.00452996937177994,ok,,0.0,0.0,0.0,1.0,1.0,0,True,0.0021347060001062346,,,,
room,1,plane,1024,0.00452996937177994,ok,1,2.5603808550160845,19.37011244735263,222.5348308450572,0.013338397505604085,0.999999993701801,1024,True,0.002180545000555867,,,,
room,1,spatial_s05,1024,0.00452996937177994,ok,2,4.401181590030005,17.216040444693675,143.39478802560777,0.01529442961176121,1.2838784963205276,1024,True,0.13134253800035367,,,,
room,1,spatial_s1,1024,0.00452996937177994,ok,2,4.401181590030005,17.216040444693675,143.39478802560777,0.01529442961176121,1.2838784963205276,1024,True,0.12955652400069084,,,,
room,1,spatial_s2,1024,0.00452996937177994,ok,2,4.401181590030005,17.216040444693675,143.39478802560777,0.01529442961176121,1.2838784963205276,1024,True,0.1335475919995588,,,,
room,1,apss4,1024,0.00452996937177994,ok,,6.2080626862827675,13.448402005363114,80.25182862013783,0.10062154740169375,6.888254799403275,1024,True,0.01216876700073044,,,,
room,2,identity,1024,0.013223218546348003,ok,,0.0,0.0,0.0,1.0,1.0,0,True,0.0021675279995179153,,,,
room,2,plane,1024,0.013223218546348003,ok,1,2.076780684262006,7.337998988019914,45.57599300196073,0.013046106856763506,0.9999999973631328,1024,True,0.0022133659995233756,,,,
room,2,spatial_s05,1024,0.013223218546348003,ok,2,2.2122093237518357,7.082007181869184,21.041363181944625,0.013077758253821996,12.650756124174057,1024,True,0.15022649799993815,,,,
room,2,spatial_s1,1024,0.013223218546348003,ok,2,2.250279232995662,6.876730961391888,18.782190248700225,0.013077279438991484,2.351095268217389,1024,True,0.12659336699925916,,,,
room,2,spatial_s2,1024,0.013223218546348003,ok,2,2.250305270620921,6.876823665582757,18.78270308157179,0.013077279916573717,2.351053824167899,1024,True,0.12511289700069028,,,,
room,2,apss4,1024,0.013223218546348003,ok,,16.627974946037927,24.192391519894823,39.697639542094116,0.00972004777542245,22.809111061142826,1024,True,0.02801540800010116,,,,
scan24,0,identity,1024,0.000689062610216441,ok,,0.0,0.0,0.0,1.0,1.0,0,True,0.0033957340001506964,2176,0,1.0,1.0
scan24,0,plane,1024,0.000689062610216441,ok,1,0.12223502108856257,0.3578686076218601,0.6237985529640744,0.9809842469939948,0.9999999999946194,1024,True,0.0036567650004144525,2176,0,0.9749038573923667,1.0694418577245917
scan24,0,spatial_s05,1024,0.000689062610216441,ok,1,0.12223502108856257,0.3578686076218601,0.6237985529640744,0.9809842469939948,0.9999999999946194,1024,True,0.12788860199998453,2176,0,0.9749038573923667,1.0694418577245917
scan24,0,spatial_s1,1024,0.000689062610216441,ok,1,0.12223502108856257,0.3578686076218601,0.6237985529640744,0.9809842469939948,0.9999999999946194,1024,True,0.12693400100033614,2176,0,0.9749038573923667,1.0694418577245917
scan24,0,spatial_s2,1024,0.000689062610216441,ok,1,0.12223502108856257,0.3578686076218601,0.6237985529640744,0.9809842469939948,0.9999999999946194,1024,True,0.12846255099975679,2176,0,0.9749038573923667,1.0694418577245917
scan24,0,apss4,1024,0.000689062610216441,ok,,0.06545442397195073,0.19879289107993797,0.3204313800454986,0.9848388548960196,1.001209105307949,1024,True,0.014526936000038404,2176,0,0.9801793453201557,1.010168820561179
scan24,1,identity,1024,0.0008349923765655239,ok,,0.0,0.0,0.0,1.0,1.0,0,True,0.0026298989996575983,1679,0,1.0,1.0
scan24,1,plane,1024,0.0008349923765655239,ok,1,3.2131774582944006,9.118512536577121,13.081245699834835,0.04415818643723184,0.9999999344812474,1024,True,0.0026377580006737844,1679,36,0.005406219940703905,58.816407319598895
scan24,1,spatial_s05,1024,0.0008349923765655239,ok,2,1.1494673023794877,4.221462622178021,7.260223888387088,0.0952973090836578,6.8391330438551154,1024,True,0.12802376499985257,1679,11,0.005424138081940014,32.906812935894216
scan24,1,spatial_s1,1024,0.0008349923765655239,ok,2,1.151629166444876,4.2192995216513225,7.268449420494777,0.09529759851763622,6.8347057789191705,1024,True,0.1294797809996453,1679,11,0.005424160666169032,32.943420129405915
scan24,1,spatial_s2,1024,0.0008349923765655239,ok,2,1.1600719971576645,4.467489946342192,7.339861573430864,0.09577404750391574,7.52933515013901,1024,True,0.12839967799936858,1679,15,0.005480867159120209,33.26123629802224
scan24,1,apss4,1024,0.0008349923765655239,ok,,0.31288824470126053,0.9673531532779298,1.972532376201594,0.18544752914959214,1.6696108046070022,1024,True,0.012633869000637787,1679,3,0.05647056791130596,5.137618826261036
scan24,2,identity,1024,0.0007839440197638593,ok,,0.0,0.0,0.0,1.0,1.0,0,True,0.0027024940000046627,2175,0,1.0,1.0
scan24,2,plane,1024,0.0007839440197638593,ok,1,2.930742591379703,6.873343026779178,11.045138872538393,0.4903372936376988,0.999999999807341,1024,True,0.0028370139998514787,2175,8,0.41424349109262526,11.561626270313546
scan24,2,spatial_s05,1024,0.0007839440197638593,ok,2,1.2790904371888134,3.0537805669695226,5.679889970377476,0.5269274108655607,4.559010652983598,1024,True,0.13392519399985758,2175,9,0.42412708916540437,45.273916444698294
scan24,2,spatial_s1,1024,0.0007839440197638593,ok,2,1.1330281080138023,3.3815803219063745,4.862032557415658,0.49164010183694934,6.318004464024545,1024,True,0.13226252299955377,2175,7,0.4158862050933512,64.23041411891488
scan24,2,spatial_s2,1024,0.0007839440197638593,ok,2,1.1661070841399028,3.3767045786541376,4.822073065004322,0.4916236547874559,8.072234097238285,1024,True,0.1288125549999677,2175,7,0.41584843577721664,61.14660915051011
scan24,2,apss4,1024,0.0007839440197638593,ok,,0.13602777864902138,0.391055212108707,1.6527898373258123,0.6930674640992314,1.0177463386544254,1024,True,0.014269702999627043,2175,0,0.6049719432562625,2.0839901995005152
Courthouse,0,identity,1024,0.0013726279172432214,ok,,0.0,0.0,0.0,1.0,1.0,0,True,0.002878221000173653,2050,0,1.0,1.0
Courthouse,0,plane,1024,0.0013726279172432214,ok,1,2.014040164174084,5.884691960996114,8.95708928827826,0.003475857070756977,0.9999999872914682,1024,True,0.002775902999928803,2050,4,0.0015072971966707256,9.34446117437484
Courthouse,0,spatial_s05,1024,0.0013726279172432214,ok,2,1.512381308805113,3.0850447161284302,5.318503677871702,0.0034943874804275184,6.667366378156352,1024,True,0.13587538299998414,2050,15,0.0015154122632928318,7.2024498176890095
Courthouse,0,spatial_s1,1024,0.0013726279172432214,ok,2,1.5202166980522758,3.0498001270281914,5.282820486372501,0.00349812906626442,13.468702026833935,1024,True,0.13230662800015125,2050,12,0.0015170713976469356,14.704206041516649
