case,patch,scene,mode,method,n_points,n_scans,sigma_mm,source,target_injected_rms_mm,max_abs_injected_rotation_deg,max_scan_mean_injected_translation_mm,recovery_xyz_rms_mm,recovery_normal_rms_mm,recovery_tangent_rms_mm,zero_edit_xyz_rms_mm,zero_edit_normal_rms_mm,zero_edit_tangent_rms_mm,self_response_xyz_rms_mm,self_response_normal_rms_mm,self_response_tangent_rms_mm,input_edit_xyz_rms_mm,input_edit_normal_rms_mm,input_edit_tangent_rms_mm,injected_xyz_rms_mm,injected_normal_rms_mm,injected_tangent_rms_mm,recovery_centroid_error_mm,input_edit_p95_mm,moved_fraction,unchanged_exact,independent_real_geometry,method_status,method_reason,supported_point_fraction,supported_scan_fraction,support_role,scan_bias_mm,method_scan_ids,transport_mass,usable_transport_mass,candidate_axis_available,within_scan_nonconstant_edit_rms_mm,ok,method_seconds,exact_fallback,point_order_contract,output,output_sha256,candidate_axis_abs_cos,injection_along_candidate_axis_rms_mm,best_scan_constant_axis_removable_rms_mm,best_scan_constant_axis_remaining_rms_mm,oracle_projection_scan_coefficients_mm,projection_role,edit_orthogonal_to_candidate_axis_rms_mm,candidate_axis_vs_zero_abs_cos
cy_junction__zero,cy_junction,courtyard,zero,identity,1600,2,2.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/patches/courtyard/cy_junction.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,not_measured,IDENTITY,,,,"reported applicability, not independently validated accuracy",,"[1, 2]",,,False,0.0,True,6.039001164026558e-06,True,same input row and source ID; estimators preserve row order,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/real-components-v4-h3dnauhf/outputs/cy_junction__zero__identity.npz,579502c31a39b829f6dfaf5920a67860bda9715ac8c2f769aa93dcb79c226866,,,,,,,,
cy_junction__zero,cy_junction,courtyard,zero,fast,1600,2,2.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/patches/courtyard/cy_junction.json,0.0,0.0,0.0,63.671376201857214,63.671376201857214,5.986944355358165e-13,63.671376201857214,63.671376201857214,5.986944355358165e-13,0.0,0.0,0.0,63.671376201857214,63.671376201857214,5.986944355358165e-13,0.0,0.0,0.0,4.832345552416028e-14,121.02240966561075,1.0,False,not_measured,APPLY,,,,"reported applicability, not independently validated accuracy","[1.1717318692294327, -1.1717318692294185]","[1, 2]",,,True,63.66059371279112,True,0.020963571994798258,False,same input row and source ID; estimators preserve row order,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/real-components-v4-h3dnauhf/outputs/cy_junction__zero__fast.npz,203f8d03a211bbd51fc4506ea5bdd5f914da27a7fb0eb91305a00007f2107b49,1.0,0.0,0.0,0.0,"[0.0, 0.0]",evaluation-only injection-space diagnostic; not a candidate or real geometry bound,5.986944355358165e-13,1.0
cy_junction__zero,cy_junction,courtyard,zero,graph_local,1600,2,2.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/patches/courtyard/cy_junction.json,0.0,0.0,0.0,0.8914757980588432,0.8674558756566928,0.2055465940202656,0.8914757980588432,0.8674558756566928,0.2055465940202656,0.0,0.0,0.0,0.8914757980588432,0.8674558756566928,0.2055465940202656,0.0,0.0,0.0,0.0028780575703222164,2.0975224912016004,0.28875,False,not_measured,APPLY,,0.28875,,"reported applicability, not independently validated accuracy","[0.0, 0.0]","[1, 2]",,,True,0.8914191133634781,True,0.045463029993698,False,same input row and source ID; estimators preserve row order,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/real-components-v4-h3dnauhf/outputs/cy_junction__zero__graph_local.npz,a824fb22ff5a42edaac038d535b8e537d93675f9e037a6b9685eedf5822e8271,0.9730560016834461,0.0,0.0,0.0,"[0.0, 0.0]",evaluation-only injection-space diagnostic; not a candidate or real geometry bound,2.943160630747235e-13,1.0000000000000002
cy_junction__zero,cy_junction,courtyard,zero,graph_shared,1600,2,2.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/patches/courtyard/cy_junction.json,0.0,0.0,0.0,0.9631437222017651,0.9371927793721598,0.22207098844594086,0.9631437222017651,0.9371927793721598,0.22207098844594086,0.0,0.0,0.0,0.9631437222017651,0.9371927793721598,0.22207098844594086,0.0,0.0,0.0,0.004205617746339123,2.2599033605960446,0.300625,False,not_measured,APPLY,,0.300625,,"reported applicability, not independently validated accuracy","[0.968882501567266, -0.968882501567266]","[1, 2]",,,True,0.9599014931003649,True,0.1948499589925632,False,same input row and source ID; estimators preserve row order,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/real-components-v4-h3dnauhf/outputs/cy_junction__zero__graph_shared.npz,48f8e2bce327720445dcb840affda6d186e2a94bd5cb806cd464e29dbd1be471,0.9730560016834461,0.0,0.0,0.0,"[0.0, 0.0]",evaluation-only injection-space diagnostic; not a candidate or real geometry bound,3.160349838198689e-13,1.0000000000000002
cy_junction__zero,cy_junction,courtyard,zero,measure_balanced,1600,2,2.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/patches/courtyard/cy_junction.json,0.0,0.0,0.0,1.0646931889796858,1.0594289252620395,0.10574468770511819,1.0646931889796858,1.0594289252620395,0.10574468770511819,0.0,0.0,0.0,1.0646931889796858,1.0594289252620395,0.10574468770511819,0.0,0.0,0.0,5.551115123125783e-16,1.0646931889796918,1.0,False,not_measured,APPLY,,1.0,1.0,"reported applicability, not independently validated accuracy","[1.0646931889798175, -1.0646931889798175]","[1, 2]",0.9999999999999998,0.9687819469338406,True,2.2184328574037918e-13,True,0.03667678700003307,False,same input row and source ID; estimators preserve row order,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/real-components-v4-h3dnauhf/outputs/cy_junction__zero__measure_balanced.npz,9f69aa9153e1107bd827392514f11063a11400d09821c52dfe580877b5b6d760,0.9950556049648276,0.0,0.0,0.0,"[0.0, 0.0]",evaluation-only injection-space diagnostic; not a candidate or real geometry bound,7.719134329780754e-13,1.0000000000000002
cy_junction__zero,cy_junction,courtyard,zero,measure_unbalanced,1600,2,2.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/patches/courtyard/cy_junction.json,0.0,0.0,0.0,0.8198394211058214,0.8157858111425048,0.08142595862311855,0.8198394211058214,0.8157858111425048,0.08142595862311855,0.0,0.0,0.0,0.8198394211058214,0.8157858111425048,0.08142595862311855,0.0,0.0,0.0,5.551115123125783e-16,0.8198394211058273,1.0,False,not_measured,APPLY,,1.0,1.0,"reported applicability, not independently validated accuracy","[0.8198394211057609, -0.819839421105761]","[1, 2]",0.3342404642096122,0.33423663206096815,True,2.2184328574037918e-13,True,0.03631229499296751,False,same input row and source ID; estimators preserve row order,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/real-components-v4-h3dnauhf/outputs/cy_junction__zero__measure_unbalanced.npz,d1840c48ebbb6e94b60d1ba181c0aeb3a6aa326d5fae2fff38e69ce7373229e8,0.9950556049648276,0.0,0.0,0.0,"[0.0, 0.0]",evaluation-only injection-space diagnostic; not a candidate or real geometry bound,4.690557256444353e-13,1.0000000000000002
cy_junction__normal_translation,cy_junction,courtyard,normal_translation,identity,1600,2,2.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/patches/courtyard/cy_junction.json,3.5,0.0,3.4999999999997797,3.4999999999998295,3.4999999999998295,3.734507431421861e-13,0.0,0.0,0.0,3.4999999999998295,3.4999999999998295,3.734507431421861e-13,0.0,0.0,0.0,3.4999999999998295,3.4999999999998295,3.734507431421861e-13,1.3877787807814457e-16,0.0,0.0,True,not_measured,IDENTITY,,,,"reported applicability, not independently validated accuracy",,"[1, 2]",,,False,0.0,True,7.873997674323618e-06,True,same input row and source ID; estimators preserve row order,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/real-components-v4-h3dnauhf/outputs/cy_junction__normal_translation__identity.npz,ef3048b21735592e83db5b2e3c05b7b5ee0fe8973c9331b06d3d068f6a4c7f44,,,,,,,,
cy_junction__normal_translation,cy_junction,courtyard,normal_translation,fast,1600,2,2.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/patches/courtyard/cy_junction.json,3.5,0.0,3.4999999999997797,63.62458871870301,63.62456847453052,0.05075484102559751,63.671376201857214,63.671376201857214,5.986944355358165e-13,4.71748915825847,4.7172161180508425,0.050754841025586944,63.776223459316164,63.77620326327634,0.05075484102557236,3.4999999999998295,3.4999999999998295,3.734507431421861e-13,1.7899791070655587e-14,118.22188101185485,1.0,False,not_measured,APPLY,,,,"reported applicability, not independently validated accuracy","[4.509771300756384, -4.50977130075637]","[1, 2]",,,True,63.616575210769575,True,0.02123548398958519,False,same input row and source ID; estimators preserve row order,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/real-components-v4-h3dnauhf/outputs/cy_junction__normal_translation__fast.npz,1635532117ed64fa733dc946f3e11b9dfccad4e04bc646427efc3beadd292054,0.9999996833296374,3.499998891653561,3.499998891653561,0.0027853945244300767,"[3.4999988916535605, -3.4999988916535605]",evaluation-only injection-space diagnostic; not a candidate or real geometry bound,7.785294556290509e-13,0.9999996833296374
cy_junction__normal_translation,cy_junction,courtyard,normal_translation,graph_local,1600,2,2.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/patches/courtyard/cy_junction.json,3.5,0.0,3.4999999999997797,3.598958877310899,3.588518009584457,0.2739406787297874,0.8914757980588432,0.8674558756566928,0.2055465940202656,3.554171031725571,3.5455087110269132,0.24799133611779026,1.1881076714285066,1.1560953003296548,0.2739406787298187,3.4999999999998295,3.4999999999998295,3.734507431421861e-13,0.04318267742055329,2.6630796551585947,0.28375,False,not_measured,APPLY,,0.28375,,"reported applicability, not independently validated accuracy","[0.0, 0.0]","[1, 2]",,,True,1.1827499317166994,True,0.04625335900345817,False,same input row and source ID; estimators preserve row order,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/real-components-v4-h3dnauhf/outputs/cy_junction__normal_translation__graph_local.npz,b0379d9449d8c99f1e4453c2eb1b38da2836d0b8bbb7faf84c129ba8fd0459c3,0.9730560016834461,3.405696005891978,3.405696005891979,0.8069911495488908,"[-3.4056960058919787, 3.4056960058919787]",evaluation-only injection-space diagnostic; not a candidate or real geometry bound,2.9196432839231457e-13,1.0000000000000002
cy_junction__normal_translation,cy_junction,courtyard,normal_translation,graph_shared,1600,2,2.0,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/patches/courtyard/cy_junction.json,3.5,0.0,3.4999999999997797,4.086767856417643,4.073798436369616,0.32532723845525935,0.9631437222017651,0.9371927793721598,0.22207098844594086,3.939883401340299,3.930772045399518,0.267791604167286,1.4109762358969167,1.3729588945722173,0.325327238455168,3.4999999999998295,3.4999999999998295,3.734507431421861e-13,0.061893833396339394,3.720781319087867,0.2975,False,not_measured,APPLY,,0.2975,,"reported applicability, not independently validated accuracy","[1.1697757202840688, -1.169775720284069]","[1, 2]",,,True,1.3625344323802295,True,0.24004767699807417,False,same input row and source ID; estimators preserve row order,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/real-components-v4-h3dnauhf/outputs/cy_junction__normal_translation__graph_shared.npz,0e507983451956f2087ab21d8a6c3f673335c36e7b62531ae49c3952dcfce387,0.9730560016834461,3.405696005891978,3.405696005891979,0.8069911495488908,"[-3.4056960058919787, 3.4056960058919787]",evaluation-only injection-space diagnostic; not a candidate or real geometry bound,3.002544587163267e-13,1.0000000000000002
