case,patch,mode,cell,point_count,k,accepted_count,height_median_mm,orthogonal_median_mm,height_p95_mm,orthogonal_p95_mm,axis_cosine,axis_condition,physical_slope_norm,old_height_gate_failed,orthogonal_median_le_5mm,direction_interpretation
da_wall__zero,da_wall,zero,0,672,2,0,33.835460580034734,29.213968816306917,71.22106306178726,61.49317549349422,0.863412772147845,1.1581945881022557,0.5843070288036537,True,False,saved-input-PCA; conditional on saved estimated scan bias
da_wall__zero,da_wall,zero,1,32,2,0,25.694498611653323,25.121991039099633,44.4990713834057,43.507572941515384,0.9777186711752359,1.0227891002613068,0.2147033851929997,True,False,saved-input-PCA; conditional on saved estimated scan bias
da_wall__zero,da_wall,zero,2,81,2,0,35.80828291388058,33.314528780719826,76.6767005710209,71.33679529195508,0.9303581760913174,1.0748548523551074,0.39409764479291154,True,False,saved-input-PCA; conditional on saved estimated scan bias
da_wall__zero,da_wall,zero,3,61,2,0,34.66839462996552,34.649505027371745,67.23967104050519,67.2030344821053,0.9994551347763462,1.0005451622636126,0.033024562512150746,True,False,saved-input-PCA; conditional on saved estimated scan bias
da_wall__zero,da_wall,zero,4,145,2,0,35.292328174685835,32.444185434922986,71.64615181242283,65.8642020893421,0.9192985306703075,1.0877859222410036,0.4281100473309524,True,False,saved-input-PCA; conditional on saved estimated scan bias
da_wall__zero,da_wall,zero,5,393,2,0,38.39511574945693,21.21573671089592,71.15115132815522,39.3155239615759,0.5525634262789273,1.809746994538166,1.5083713681451012,True,False,saved-input-PCA; conditional on saved estimated scan bias
da_wall__zero,da_wall,zero,6,190,2,0,27.346971354264102,24.332497599961798,67.76760490470667,60.29753943636687,0.8897693746319638,1.1238867379691855,0.5129536039282854,True,False,saved-input-PCA; conditional on saved estimated scan bias
da_wall__zero,da_wall,zero,7,26,2,0,22.49474705031794,21.823410338793803,56.391369183579535,54.70841643637304,0.9701558452725678,1.0307622274017711,0.2499415320395167,True,False,saved-input-PCA; conditional on saved estimated scan bias
da_wall__normal_translation,da_wall,normal_translation,0,672,2,0,33.83568221948654,29.86344996736085,71.2296360807896,62.86743856658259,0.8826022709884058,1.1330131735103324,0.5326526554406302,True,False,saved-input-PCA; conditional on saved estimated scan bias
da_wall__normal_translation,da_wall,normal_translation,1,32,2,0,25.692080011455577,25.117458929927324,44.503190318783005,43.50784578688701,0.9776343106018649,1.0228773572649736,0.21512342505031062,True,False,saved-input-PCA; conditional on saved estimated scan bias
