case,method,seed,gap_mm,bias_rms_mm,n_points,primary,stage,supported_fraction,measured_fit_seconds,freeze_seconds,shared_freeze_plus_fit_seconds,input_edit_rms_mm,identifiable,geometry_scored,surface_accuracy_mean_mm,surface_accuracy_rms_mm,surface_accuracy_p95_mm,reference_sample_coverage_1mm,reference_sample_coverage_2mm,reference_sample_distance_mean_mm,output_point_count_ratio,matched_point_rms_mm,matched_normal_mae_mm,within_source_layer_rms_mm,source_group_gap_mm,source_group_gap_error_mm,source_group_gap_retention,reported_model_k,model_k_note,global_translation_only_aligned_rms_mm,output_edit_from_reference_centroid_mm,source_surface_tilt_mean_deg,source_surface_tilt_max_deg,fitted_gap_at_same_xy_mm,fitted_gap_at_same_xy_error_mm,fitted_gap_note,output,output_sha256,ok,info_method,info_variant,info_sharing,info_budget,info_evaluation_only_oracle,info_sigma_mm,info_frozen_common_sha256,info_freeze_seconds,info_supported_fraction,info_active_point_count,info_point_count,info_input_units,info_gauge,info_observation_source,info_interpretation,info_prior,info_final_action,info_fit_rank,info_fit_parameter_count,info_fit_full_rank,info_fit_condition_number,info_fit_effective_condition_number,info_fit_condition_scope,info_fit_solver,info_intercept_scope,info_slope_scope,info_weighted_measurement_sse_mm2,info_measurement_residual_rms_mm,info_final_fit_row_visits,info_final_fit_design_elements,info_status,info_group_count,info_dictionary_size,info_dictionary_capacity_parameters,info_dictionary_candidate_pair_count,info_association_change_fraction,info_association_change_scope,info_grouping_description,info_search_work_proxy,info_budget_matching_scope,info_search_objective_kind,info_entropy_mean,info_margin_mean,info_confidence_scope,info_responsibility_stage,info_search_seconds,info_final_fit_seconds,info_fit_seconds,info_input_edit_rms_mm,info_actual_changed_fraction,info_output_sha256,info_group_assignment_sha256,info_total_seconds,group_count,evaluation_only_weightless_group_impurity,info_compute_target,info_compute_target_met,info_search_objective,info_local_starts_not_scheduled,info_pooling_merge_count,info_compute_proxy_ratio,info_compute_target_overshoot,info_budget_scope,single_surface_fragment_groups
dual_g4_s912101_b4,identity,912101,4.0,4.0,768,True,public_development,0.0,0.0,0.0,0.0,0.0,True,True,3.434741242386911,3.879170583223748,6.622687217118435,0.04296875,0.203125,2.892752343875074,1.0,4.145698391964449,3.7892775109664165,4.1445390594418425,4.182276629333906,0.18227662933390576,1.0455691573334764,,self-report; not geometry-derived layer count or success,4.145482240911026,0.042333762269789736,0.680382636143409,1.5975229960717805,5.238673921271086,1.2386739212710864,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/reassociation-v7-primary-0frtnsm9/outputs/dual_g4_s912101_b4__identity.npz,82fd0880df868837471e3173e5f059dce678495daeed22727a69515faac96912,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dual_g4_s912101_b4,original_b0_independent,912101,4.0,4.0,768,True,public_development,0.921875,0.0008592679951107129,0.23500247100309934,0.23586173899821006,4.013959044772528,True,True,0.4246613018237249,0.9713639465425354,1.8675065434859126,0.8919270833333334,0.9466145833333334,0.38455932234824614,1.0,1.139711249362274,0.49532458827529374,1.1359137449609082,3.8971760445404673,0.10282395545953271,0.9742940111351168,,self-report; not geometry-derived layer count or success,1.1371551008531642,0.0762889803742718,0.271473249009434,0.2862585652205289,3.666621441771583,0.333378558228417,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/reassociation-v7-primary-0frtnsm9/outputs/dual_g4_s912101_b4__original_b0_independent.npz,c850e567b58d4c5ad589561f79549e09b4ff6635a0eb6911bad8c180a7d5dadf,True,finite_surface_reassociation_v7,original,independent,1,False,1.0,f75a8642c2fbf3a05eec9a91f7fab0b1e29e1220cc0743722ebaa4a4b19e84f8,0.23499440700106788,0.921875,768,768,world metres,point-count-weighted zero-mean scan bias within each connected component,"bias-corrected original measurement, never projected output","conditional prototype; fixed support is attribution choice, not full architecture",uniform among each point's feasible candidates; no equal target mass constraint,"hard component MAP, then original-measurement refit; not posterior geometric mean",15,15,True,14.519760092916213,14.519760092916213,"weighted normalized design; null means rank deficient, not infinity hidden","numpy weighted least squares, rcond=1e-12",original local node,within each compatible group,786.1441757521934,1.0131052919768702,768,11520,APPLY,5,5,15,3347,0.0,dictionary IDs comparable only original/reassociate; local pool IDs arbitrary,unchanged original compatible groups,0,"target is planned search-work proxy, not actual paired wall-time or FLOP equivalence; compare both arms' measured counters",none: fixed original assignments,0.0,1.0,"model-conditional ambiguity only, not calibrated correctness probability","end of soft search, before hard assignment and final refit; local responsibilities additionally aggregated by final pooling",0.00025043099594768137,0.0003566859959391877,0.0007848600071156397,4.013959044772528,0.921875,a666b71d4277ec36cc03ba98aa2afa25c3b2823688c4f56e36eac3644c0ee939,f785f70a01a94b91d0d0b331076b399b592fa46a566b4f5b2bae6bba6cb8e52f,0.23577926700818352,5,0.053385416666666664,,,,,,,,,
dual_g4_s912101_b4,original_b0_shared,912101,4.0,4.0,768,True,public_development,0.921875,0.0006057220016373321,0.23500247100309934,0.23560819300473668,4.058302569212302,True,True,0.6165817818918046,1.0651542021565426,1.9034156813956244,0.8333333333333334,0.9427083333333334,0.5926345616686562,1.0,1.2331040665494604,0.6937760121095211,1.2185867055070359,3.663517520869449,0.33648247913055096,0.9158793802173623,,self-report; not geometry-derived layer count or success,1.2296094325424731,0.09277005089679417,1.2825898835862237,2.638486643705409,1.7619168936337997,2.2380831063662003,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/reassociation-v7-primary-0frtnsm9/outputs/dual_g4_s912101_b4__original_b0_shared.npz,e1d2f3f5b935bcf28d6a6f60c56ab67623e75a3368e064137182e9822f1626ec,True,finite_surface_reassociation_v7,original,shared,1,False,1.0,f75a8642c2fbf3a05eec9a91f7fab0b1e29e1220cc0743722ebaa4a4b19e84f8,0.23499440700106788,0.921875,768,768,world metres,point-count-weighted zero-mean scan bias within each connected component,"bias-corrected original measurement, never projected output","conditional prototype; fixed support is attribution choice, not full architecture",uniform among each point's feasible candidates; no equal target mass constraint,"hard component MAP, then original-measurement refit; not posterior geometric mean",7,7,True,6.070144755250422,6.070144755250422,"weighted normalized design; null means rank deficient, not infinity hidden","numpy weighted least squares, rcond=1e-12",frozen compatible group,all compatible groups,1038.866999893603,1.1644441517896729,768,5376,APPLY,5,5,15,3347,0.0,dictionary IDs comparable only original/reassociate; local pool IDs arbitrary,unchanged original compatible groups,0,"target is planned search-work proxy, not actual paired wall-time or FLOP equivalence; compare both arms' measured counters",none: fixed original assignments,0.0,1.0,"model-conditional ambiguity only, not calibrated correctness probability","end of soft search, before hard assignment and final refit; local responsibilities additionally aggregated by final pooling",0.0001814660063246265,0.00020250199304427952,0.0005396180058596656,4.058302569212302,0.921875,06b2d08ef13cd75a5d47f6a93d28f47f9e3219fae140265c404e0793bd598b0b,f785f70a01a94b91d0d0b331076b399b592fa46a566b4f5b2bae6bba6cb8e52f,0.23553402500692755,5,0.053385416666666664,,,,,,,,,
dual_g4_s912101_b4,local_multistart_b1_independent,912101,4.0,4.0,768,True,public_development,0.921875,0.015361764002591372,0.23500247100309934,0.2503642350056907,3.9993018624931502,True,True,0.43170375209154566,0.9485355223630232,1.7934761380732143,0.90625,0.95703125,0.38308852722573167,1.0,1.118326390264328,0.5014301582978009,1.1150534691918577,3.9974485726919404,0.002551427308059573,0.9993621431729851,,self-report; not geometry-derived layer count or success,1.1152026094457541,0.08352876778105986,0.13854423375184657,0.14035711792781083,4.070006224409885,0.07000622440988469,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/reassociation-v7-primary-0frtnsm9/outputs/dual_g4_s912101_b4__local_multistart_b1_independent.npz,42da370c5c33be53b2d426d1b582f1828a8175f5c28bdadb1bf831c9a9793314,True,finite_surface_reassociation_v7,local_multistart,independent,1,False,1.0,f75a8642c2fbf3a05eec9a91f7fab0b1e29e1220cc0743722ebaa4a4b19e84f8,0.23499440700106788,0.921875,768,768,world metres,point-count-weighted zero-mean scan bias within each connected component,"bias-corrected original measurement, never projected output","conditional prototype; fixed support is attribution choice, not full architecture",uniform among each point's feasible candidates; no equal target mass constraint,"hard component MAP, then original-measurement refit; not posterior geometric mean",12,12,True,8.926370715145675,8.926370715145675,"weighted normalized design; null means rank deficient, not infinity hidden","numpy weighted least squares, rcond=1e-12",original local node,within each compatible group,695.817797111662,0.9525858688519754,768,9216,APPLY,4,4,12,1043,,dictionary IDs comparable only original/reassociate; local pool IDs arbitrary,local MAP nodes then unchanged V4 complete-link pooling,10691,"target is planned search-work proxy, not actual paired wall-time or FLOP equivalence; compare both arms' measured counters","sum of local input BIC-like scores, not comparable to reassociation F",0.13588920263804075,0.8560520899622436,"model-conditional ambiguity only, not calibrated correctness probability","end of soft search, before hard assignment and final refit; local responsibilities additionally aggregated by final pooling",0.014832900997134857,0.00028373599343467504,0.015282501990441233,3.9993018624931502,0.921875,1e587d6cd93f8f528d021ed791f83c47c883d0fa45de876a99a03029bbe487ca,cae29be91be692ac565e7bb602a361c9ed5f8dcd66599e8374f1862a66890dba,0.2502769089915091,4,0.053385416666666664,10041,True,1073.3746673536489,17,8,1.0647345881884274,650,search plus final local sufficient fits; final pooling and output fit separately timed,
dual_g4_s912101_b4,local_multistart_b1_shared,912101,4.0,4.0,768,True,public_development,0.921875,0.01389939698856324,0.23500247100309934,0.24890186799166258,4.073684098901492,True,True,0.574692965539456,1.11045765082681,2.1096605981215917,0.8072916666666666,0.9127604166666666,0.5332411923494642,1.0,1.2525900873333589,0.6406255326639357,1.237728474231615,3.6657116198551,0.3342883801448999,0.916427904963775,,self-report; not geometry-derived layer count or success,1.2484445479445707,0.10182405213538034,1.1011574531648936,1.8141332182744023,2.231539628348042,1.7684603716519578,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/reassociation-v7-primary-0frtnsm9/outputs/dual_g4_s912101_b4__local_multistart_b1_shared.npz,b11db05d8a470f21bf105b132d01867dbc91f434991c354f3ad7c7e697efa032,True,finite_surface_reassociation_v7,local_multistart,shared,1,False,1.0,f75a8642c2fbf3a05eec9a91f7fab0b1e29e1220cc0743722ebaa4a4b19e84f8,0.23499440700106788,0.921875,768,768,world metres,point-count-weighted zero-mean scan bias within each connected component,"bias-corrected original measurement, never projected output","conditional prototype; fixed support is attribution choice, not full architecture",uniform among each point's feasible candidates; no equal target mass constraint,"hard component MAP, then original-measurement refit; not posterior geometric mean",6,6,True,3.8909441047411018,3.8909441047411018,"weighted normalized design; null means rank deficient, not infinity hidden","numpy weighted least squares, rcond=1e-12",frozen compatible group,all compatible groups,1030.8683957854557,1.1595295824657832,768,4608,APPLY,4,4,12,1043,,dictionary IDs comparable only original/reassociate; local pool IDs arbitrary,local MAP nodes then unchanged V4 complete-link pooling,10691,"target is planned search-work proxy, not actual paired wall-time or FLOP equivalence; compare both arms' measured counters","sum of local input BIC-like scores, not comparable to reassociation F",0.13588920263804075,0.8560520899622436,"model-conditional ambiguity only, not calibrated correctness probability","end of soft search, before hard assignment and final refit; local responsibilities additionally aggregated by final pooling",0.013405748002696782,0.0002537380059948191,0.013821077009197325,4.073684098901492,0.921875,5235fa47d2af4eb4515f868b2a31a23e74685b19001b2756dc491884f4bd39c2,cae29be91be692ac565e7bb602a361c9ed5f8dcd66599e8374f1862a66890dba,0.2488154840102652,4,0.053385416666666664,10041,True,1073.3746673536489,17,8,1.0647345881884274,650,search plus final local sufficient fits; final pooling and output fit separately timed,
dual_g4_s912101_b4,reassociate_b1_independent,912101,4.0,4.0,768,True,public_development,0.921875,0.0020048519945703447,0.23500247100309934,0.2370073229976697,3.922769046648387,True,True,0.792597459697782,1.210984554365101,2.4656880604251312,0.7513020833333334,0.9388020833333334,0.7049132832831994,1.0,1.3517446356738296,0.8635967532343688,1.3497768614297714,4.011603729334073,0.011603729334073165,1.0029009323335183,,self-report; not geometry-derived layer count or success,1.3499065962884818,0.07046801664457505,0.20788613651749752,0.39547559219860956,4.250249309273097,0.2502493092730971,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/reassociation-v7-primary-0frtnsm9/outputs/dual_g4_s912101_b4__reassociate_b1_independent.npz,f812cee90933c9175fbeea4f27aca108b00c65e5460f3280f9c756207a07e095,True,finite_surface_reassociation_v7,reassociate,independent,1,False,1.0,f75a8642c2fbf3a05eec9a91f7fab0b1e29e1220cc0743722ebaa4a4b19e84f8,0.23499440700106788,0.921875,768,768,world metres,point-count-weighted zero-mean scan bias within each connected component,"bias-corrected original measurement, never projected output","conditional prototype; fixed support is attribution choice, not full architecture",uniform among each point's feasible candidates; no equal target mass constraint,"hard component MAP, then original-measurement refit; not posterior geometric mean",15,15,True,6.63385985436396,6.63385985436396,"weighted normalized design; null means rank deficient, not infinity hidden","numpy weighted least squares, rcond=1e-12",original local node,within each compatible group,292.63582081538743,0.6173034774461846,768,11520,APPLY,5,5,15,3347,0.5026041666666666,dictionary IDs comparable only original/reassociate; local pool IDs arbitrary,MAP original dictionary IDs,10041,"target is planned search-work proxy, not actual paired wall-time or FLOP equivalence; compare both arms' measured counters",fixed-candidate empirical free energy,1.0174268559734292,0.19991858215960448,"model-conditional ambiguity only, not calibrated correctness probability","end of soft search, before hard assignment and final refit; local responsibilities additionally aggregated by final pooling",0.0014746289962204173,0.0002777049958240241,0.001934592000907287,3.922769046648387,0.921875,36f9cc41868593311224f3daf0ecad6e8dc45bb6ec43139eba61d436b894c67f,10f02b68d3bdd19b6eb285c3825ec75b3f04419754bfc60a7422ec4a6b4934d0,0.23692899900197517,5,0.19661458333333334,,,710.2246403329198,,,,,,
dual_g4_s912101_b4,reassociate_b1_shared,912101,4.0,4.0,768,True,public_development,0.921875,0.0018684719980228692,0.23500247100309934,0.23687094300112221,4.049690656575974,True,True,0.9710041382329746,1.3245762741774967,2.4437153149535056,0.6588541666666666,0.9166666666666666,0.9040342523194239,1.0,1.4509966232459806,1.0407170994611028,1.4166406777675264,3.3759213009421924,0.6240786990578076,0.8439803252355481,,self-report; not geometry-derived layer count or success,1.4487469495605303,0.08076804324914705,1.2920317121684364,1.665213828451717,2.301483744851976,1.6985162551480242,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/reassociation-v7-primary-0frtnsm9/outputs/dual_g4_s912101_b4__reassociate_b1_shared.npz,8ac88b355890f365f618c1471360a1beb34c261eba1affb8f94e0a966bf28711,True,finite_surface_reassociation_v7,reassociate,shared,1,False,1.0,f75a8642c2fbf3a05eec9a91f7fab0b1e29e1220cc0743722ebaa4a4b19e84f8,0.23499440700106788,0.921875,768,768,world metres,point-count-weighted zero-mean scan bias within each connected component,"bias-corrected original measurement, never projected output","conditional prototype; fixed support is attribution choice, not full architecture",uniform among each point's feasible candidates; no equal target mass constraint,"hard component MAP, then original-measurement refit; not posterior geometric mean",7,7,True,2.739662641345309,2.739662641345309,"weighted normalized design; null means rank deficient, not infinity hidden","numpy weighted least squares, rcond=1e-12",frozen compatible group,all compatible groups,1039.424935481099,1.163683665693178,768,5376,APPLY,5,5,15,3347,0.5026041666666666,dictionary IDs comparable only original/reassociate; local pool IDs arbitrary,MAP original dictionary IDs,10041,"target is planned search-work proxy, not actual paired wall-time or FLOP equivalence; compare both arms' measured counters",fixed-candidate empirical free energy,1.0174268559734292,0.19991858215960448,"model-conditional ambiguity only, not calibrated correctness probability","end of soft search, before hard assignment and final refit; local responsibilities additionally aggregated by final pooling",0.0014027449942659587,0.00021922799351159483,0.0018014530069194734,4.049690656575974,0.921875,247239c654e4184a684c16ed937bb377adf98a1cc6e3f728554c8f6bc7f1409d,10f02b68d3bdd19b6eb285c3825ec75b3f04419754bfc60a7422ec4a6b4934d0,0.23679586000798736,5,0.19661458333333334,,,710.2246403329198,,,,,,
dual_g4_s912101_b4,local_multistart_b3_independent,912101,4.0,4.0,768,True,public_development,0.921875,0.02010477799922228,0.23500247100309934,0.2551072490023216,3.999682213286819,True,True,0.4195258290064155,0.940695883403288,1.7614280289576645,0.9075520833333334,0.9583333333333334,0.37201252560293946,1.0,1.1159441283696443,0.4916242881196707,1.1128759638086108,3.984873006874746,0.015126993125254007,0.9962182517186865,,self-report; not geometry-derived layer count or success,1.1130489293219166,0.08033292337529266,0.13344563179197502,0.14375383783241288,4.039180420126407,0.039180420126407434,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/reassociation-v7-primary-0frtnsm9/outputs/dual_g4_s912101_b4__local_multistart_b3_independent.npz,d991b6271dd31c8fdc7110186ae6e7ee3e0319d32ae69d7c6def1e989709fc9c,True,finite_surface_reassociation_v7,local_multistart,independent,3,False,1.0,f75a8642c2fbf3a05eec9a91f7fab0b1e29e1220cc0743722ebaa4a4b19e84f8,0.23499440700106788,0.921875,768,768,world metres,point-count-weighted zero-mean scan bias within each connected component,"bias-corrected original measurement, never projected output","conditional prototype; fixed support is attribution choice, not full architecture",uniform among each point's feasible candidates; no equal target mass constraint,"hard component MAP, then original-measurement refit; not posterior geometric mean",12,12,True,8.83688442796532,8.83688442796532,"weighted normalized design; null means rank deficient, not infinity hidden","numpy weighted least squares, rcond=1e-12",original local node,within each compatible group,705.3142893317872,0.9590628444138438,768,9216,APPLY,4,4,12,1043,,dictionary IDs comparable only original/reassociate; local pool IDs arbitrary,local MAP nodes then unchanged V4 complete-link pooling,24183,"target is planned search-work proxy, not actual paired wall-time or FLOP equivalence; compare both arms' measured counters","sum of local input BIC-like scores, not comparable to reassociation F",0.14353054680548194,0.8409136419768002,"model-conditional ambiguity only, not calibrated correctness probability","end of soft search, before hard assignment and final refit; local responsibilities additionally aggregated by final pooling",0.019581154992920347,0.0002814659965224564,0.020028414990520105,3.999682213286819,0.921875,93a0fc1002b02eebad85d2e9d41e3b63711216f894736563da98fdb9363a0087,4a7285ee9d319bd647f7fd541dee841245125f44fa785e2c339e0263daeea176,0.255022821991588,4,0.053385416666666664,23429,True,1061.935112054045,17,8,1.0321823381279611,754,search plus final local sufficient fits; final pooling and output fit separately timed,
dual_g4_s912101_b4,local_multistart_b3_shared,912101,4.0,4.0,768,True,public_development,0.921875,0.020056301000295207,0.23500247100309934,0.25505877200339455,4.071433325097836,True,True,0.560139331064194,1.1066007172126233,2.078171454711281,0.8125,0.921875,0.514824699884823,1.0,1.2486660919291914,0.6257641933198508,1.2339047431965027,3.653830443371202,0.3461695566287979,0.9134576108428005,,self-report; not geometry-derived layer count or success,1.245417674846018,0.09001013451194412,1.0783951922946073,1.7704975483157614,2.2547964544142367,1.7452035455857633,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/reassociation-v7-primary-0frtnsm9/outputs/dual_g4_s912101_b4__local_multistart_b3_shared.npz,4b46c0ab803eb15359c130dc542dd23956fcd81cc9f1453fc3667c9a8c00c717,True,finite_surface_reassociation_v7,local_multistart,shared,3,False,1.0,f75a8642c2fbf3a05eec9a91f7fab0b1e29e1220cc0743722ebaa4a4b19e84f8,0.23499440700106788,0.921875,768,768,world metres,point-count-weighted zero-mean scan bias within each connected component,"bias-corrected original measurement, never projected output","conditional prototype; fixed support is attribution choice, not full architecture",uniform among each point's feasible candidates; no equal target mass constraint,"hard component MAP, then original-measurement refit; not posterior geometric mean",6,6,True,3.940493831542432,3.940493831542432,"weighted normalized design; null means rank deficient, not infinity hidden","numpy weighted least squares, rcond=1e-12",frozen compatible group,all compatible groups,1037.4641261102547,1.1632264112308552,768,4608,APPLY,4,4,12,1043,,dictionary IDs comparable only original/reassociate; local pool IDs arbitrary,local MAP nodes then unchanged V4 complete-link pooling,24183,"target is planned search-work proxy, not actual paired wall-time or FLOP equivalence; compare both arms' measured counters","sum of local input BIC-like scores, not comparable to reassociation F",0.14353054680548194,0.8409136419768002,"model-conditional ambiguity only, not calibrated correctness probability","end of soft search, before hard assignment and final refit; local responsibilities additionally aggregated by final pooling",0.019576970997150056,0.0002389590081293136,0.01997948600910604,4.071433325097836,0.921875,d8b92efcdcb31ffad077509c31948002dc518c60680b788c902fc54dcc1f2922,4a7285ee9d319bd647f7fd541dee841245125f44fa785e2c339e0263daeea176,0.2549738930101739,4,0.053385416666666664,23429,True,1061.935112054045,17,8,1.0321823381279611,754,search plus final local sufficient fits; final pooling and output fit separately timed,
dual_g4_s912101_b4,reassociate_b3_independent,912101,4.0,4.0,768,True,public_development,0.921875,0.003712761987117119,0.23500247100309934,0.23871523299021646,3.92290320346125,True,True,0.8865133456418516,1.2169350003306891,2.0859245606053873,0.73046875,0.9427083333333334,0.8159223072521997,1.0,1.360602971773804,0.9586150549606862,1.3581015468754476,4.036536189333988,0.03653618933398839,1.009134047333497,,self-report; not geometry-derived layer count or success,1.35833446813339,0.07853610303858531,0.23973968454017394,0.42706960553118856,4.326195686636501,0.3261956866365008,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count",/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/reassociation-v7-primary-0frtnsm9/outputs/dual_g4_s912101_b4__reassociate_b3_independent.npz,854c6932b381fa349ab9670bff3baf60825d5538a612b20eee98212091287ad4,True,finite_surface_reassociation_v7,reassociate,independent,3,False,1.0,f75a8642c2fbf3a05eec9a91f7fab0b1e29e1220cc0743722ebaa4a4b19e84f8,0.23499440700106788,0.921875,768,768,world metres,point-count-weighted zero-mean scan bias within each connected component,"bias-corrected original measurement, never projected output","conditional prototype; fixed support is attribution choice, not full architecture",uniform among each point's feasible candidates; no equal target mass constraint,"hard component MAP, then original-measurement refit; not posterior geometric mean",15,15,True,6.171205088331773,6.171205088331773,"weighted normalized design; null means rank deficient, not infinity hidden","numpy weighted least squares, rcond=1e-12",original local node,within each compatible group,237.9549942494726,0.5567847230564723,768,11520,APPLY,5,5,15,3347,0.640625,dictionary IDs comparable only original/reassociate; local pool IDs arbitrary,MAP original dictionary IDs,23429,"target is planned search-work proxy, not actual paired wall-time or FLOP equivalence; compare both arms' measured counters",fixed-candidate empirical free energy,1.1062352180318498,0.15800590745979012,"model-conditional ambiguity only, not calibrated correctness probability","end of soft search, before hard assignment and final refit; local responsibilities additionally aggregated by final pooling",0.00316891199327074,0.00028028100496158004,0.0036388789885677397,3.92290320346125,0.921875,10d790eaa1c33b1f8e3d0d98cdb2d1e6152bfedcf1ee066f4e47ba4666d8808f,7f61d56a622c342b8a4480f80464b383b884440d9c3410746c249e4ed50fff2d,0.23863328598963562,5,0.19401041666666666,,,623.1152426816809,,,,,,
