phase,kind,case,seed,gap,sigma,method,status,shared_case_seconds,dependence,selected_family,replaced_r,surface_mae_mm,balanced_source_mae_mm,matched_rms_mm,coverage_1mm,model_k,distance_to_fitted_surface_mm,source_gap_mm,source_gap_error_mm,fitted_gap_mm,fitted_gap_error_mm
confirmation,statistical,s9181101_g0_n1_l0,9181101,0.0,1.0,identity,OK,2.4623351219997858,0.0,,False,0.782914620276182,0.782914620276182,0.9908674409269485,0.7096354166666666,,,,,,
confirmation,statistical,s9181101_g0_n1_l0,9181101,0.0,1.0,old_spatial36,OK,2.46234139099397,0.0,,False,0.08287866017151518,0.08287866017151518,0.10049437818750677,1.0,1,5.2735629182278516e-18,,,,
confirmation,statistical,s9181101_g0_n1_l0,9181101,0.0,1.0,retained_half,OK,2.4623449169957894,0.0,S,False,0.08287866017151518,0.08287866017151518,0.10049437818750677,1.0,1,0.0,,,,
confirmation,statistical,s9181101_g0_n1_l0,9181101,0.0,1.0,retained_map,OK,2.4623440119976294,0.0,S,False,0.08287866017151518,0.08287866017151518,0.10049437818750677,1.0,1,0.0,,,,
confirmation,statistical,s9181101_g0_n1_l0,9181101,0.0,1.0,retained_mean,OK,2.462345687999914,0.0,S,False,0.08287866017151518,0.08287866017151518,0.10049437818750677,1.0,1,0.0,,,,
confirmation,statistical,s9181101_g0_n1_l0,9181101,0.0,1.0,v17_map,OK,2.4623430840001674,0.0,,False,0.08287866017151518,0.08287866017151518,0.10049437818750677,1.0,1,5.2735629182278516e-18,,,,
confirmation,statistical,s9181101_g0_n2_l0,9181101,0.0,2.0,identity,OK,2.310793172000558,0.0,,False,1.565829240552364,1.565829240552364,1.981734881853897,0.4388020833333333,,,,,,
confirmation,statistical,s9181101_g0_n2_l0,9181101,0.0,2.0,old_spatial36,OK,2.3107982090004953,0.0,,False,0.16575732034303037,0.16575732034303037,0.20098875637501354,1.0,1,1.0547058206413715e-17,,,,
confirmation,statistical,s9181101_g0_n2_l0,9181101,0.0,2.0,retained_half,OK,2.310800934996223,0.0,S,False,0.16575732034303037,0.16575732034303037,0.20098875637501354,1.0,1,0.0,,,,
confirmation,statistical,s9181101_g0_n2_l0,9181101,0.0,2.0,retained_map,OK,2.3108002909939387,0.0,S,False,0.16575732034303037,0.16575732034303037,0.20098875637501354,1.0,1,0.0,,,,
confirmation,statistical,s9181101_g0_n2_l0,9181101,0.0,2.0,retained_mean,OK,2.3108014699973864,0.0,S,False,0.16575732034303037,0.16575732034303037,0.20098875637501354,1.0,1,0.0,,,,
confirmation,statistical,s9181101_g0_n2_l0,9181101,0.0,2.0,v17_map,OK,2.3107995919999667,0.0,,False,0.16575732034303037,0.16575732034303037,0.20098875637501354,1.0,1,1.0547058206413715e-17,,,,
confirmation,statistical,s9181101_g2_n1_l0,9181101,2.0,1.0,identity,OK,1.9352547590024187,0.0,,False,0.6285283320656816,0.7829146202761821,0.9908674409269485,0.69921875,,,2.007892166556865,0.007892166556865199,,
confirmation,statistical,s9181101_g2_n1_l0,9181101,2.0,1.0,old_spatial36,OK,1.935260588004894,0.0,,False,0.11473650495571304,0.3878010099846535,0.7682153850412722,0.86328125,2,0.0,1.4183552630402774,0.5816447369597226,2.006565983835632,0.0065659838356317834
confirmation,statistical,s9181101_g2_n1_l0,9181101,2.0,1.0,retained_half,OK,1.9352636680050637,0.0,C,False,0.18957910207441464,0.40774409701578673,0.7021455612974404,0.8580729166666666,2,0.1546467706544767,1.2492099916044557,0.7507900083955443,1.9997906177475249,0.0002093822524751321
confirmation,statistical,s9181101_g2_n1_l0,9181101,2.0,1.0,retained_map,OK,1.9352628000051482,0.0,C,False,0.10029595981114632,0.3914816807467659,0.7901775273345503,0.859375,2,0.0,1.3842231087247001,0.6157768912752999,1.9997906177475249,0.0002093822524751321
confirmation,statistical,s9181101_g2_n1_l0,9181101,2.0,1.0,retained_mean,OK,1.9352642740050214,0.0,C,False,0.33111673254198287,0.464361691751915,0.6699077103203154,0.8567708333333334,2,0.3092935413089534,1.1141968744842115,0.8858031255157885,1.9997906177475249,0.0002093822524751321
confirmation,statistical,s9181101_g2_n1_l0,9181101,2.0,1.0,v17_map,OK,1.9352620440040482,0.0,,False,0.10029595981114632,0.3914816807467659,0.7901775273345503,0.859375,2,0.0,1.3842231087247001,0.6157768912752999,1.9997906177475249,0.0002093822524751321
confirmation,statistical,s9181101_g2_n1_l0.5,9181101,2.0,1.0,identity,OK,2.2554903299969737,0.5,,False,0.6362143308594382,0.7829146202761821,0.9908674409269486,0.6966145833333334,,,2.0057891059002686,0.0057891059002685985,,
confirmation,statistical,s9181101_g2_n1_l0.5,9181101,2.0,1.0,old_spatial36,OK,2.2554958690016065,0.5,,False,0.06688112358555592,0.31569224996095213,0.7168330739774901,0.875,2,0.0,1.4635170009627536,0.5364829990372464,1.898533999794102,0.10146600020589802
confirmation,statistical,s9181101_g2_n1_l0.5,9181101,2.0,1.0,retained_half,OK,2.2554992889999994,0.5,C,False,0.4011077087469985,0.5252167201651239,0.7067036039138815,0.828125,2,0.16766855136042008,1.2320375100292698,0.7679624899707302,1.7305210142332361,0.2694789857667639
confirmation,statistical,s9181101_g2_n1_l0.5,9181101,2.0,1.0,retained_map,OK,2.2554983220034046,0.5,C,False,0.36855512842284804,0.5850967605387634,0.8006851719720839,0.7916666666666666,2,0.0,1.3518983833216027,0.6481016166783973,1.7305210142332361,0.2694789857667639
confirmation,statistical,s9181101_g2_n1_l0.5,9181101,2.0,1.0,retained_mean,OK,2.255499906001205,0.5,C,False,0.4536390031203152,0.5278417028411393,0.6674117056559152,0.86328125,2,0.33533710272084016,1.112176636736936,0.8878233632630641,1.7305210142332361,0.2694789857667639
confirmation,statistical,s9181101_g2_n1_l0.5,9181101,2.0,1.0,v17_map,OK,2.2554972279976937,0.5,,False,0.36855512842284804,0.5850967605387634,0.8006851719720839,0.7916666666666666,2,0.0,1.3518983833216027,0.6481016166783973,1.7305210142332361,0.2694789857667639
confirmation,statistical,s9181101_g2_n1_l1,9181101,2.0,1.0,identity,OK,2.5191285479959333,1.0,,True,0.630904003828905,0.782914620276182,0.9908674409269485,0.7083333333333334,,,2.0189588277029897,0.018958827702989733,,
confirmation,statistical,s9181101_g2_n1_l1,9181101,2.0,1.0,old_spatial36,OK,2.5191322909959126,1.0,,True,0.07914887805170431,0.1097592045613407,0.27009323583334377,0.984375,2,0.0,1.9736798962918614,0.026320103708138642,1.9979133758958,0.002086624104199908
