phase,kind,case,seed,gap,sigma,method,status,shared_case_seconds,dependence,selected_family,replaced_r,surface_mae_mm,balanced_source_mae_mm,matched_rms_mm,coverage_1mm,model_k,distance_to_fitted_surface_mm,source_gap_mm,source_gap_error_mm,fitted_gap_mm,fitted_gap_error_mm,bias,retain
development,statistical,s9171101_g0_n1_l0,9171101,0.0,1.0,identity,OK,0.0947512960046879,0.0,,False,0.7787794448770028,0.7787794448770028,0.9790637110154027,0.7109375,,,,,,,,
development,statistical,s9171101_g0_n1_l0,9171101,0.0,1.0,old_spatial36,OK,0.09475547400506912,0.0,,False,0.06216831139865406,0.06216831139865406,0.07765297682110434,1.0,1,3.9345630370585254e-18,,,,,,
development,statistical,s9171101_g0_n1_l0,9171101,0.0,1.0,retained_half,OK,0.09475831400050083,0.0,S,False,0.06216831139865406,0.06216831139865406,0.07765297682110432,1.0,1,0.0,,,,,,
development,statistical,s9171101_g0_n1_l0,9171101,0.0,1.0,retained_map,OK,0.09475764800299658,0.0,S,False,0.06216831139865406,0.06216831139865406,0.07765297682110432,1.0,1,0.0,,,,,,
development,statistical,s9171101_g0_n1_l0,9171101,0.0,1.0,retained_mean,OK,0.09475888500310248,0.0,S,False,0.06216831139865406,0.06216831139865406,0.07765297682110432,1.0,1,0.0,,,,,,
development,statistical,s9171101_g0_n1_l0,9171101,0.0,1.0,v17_map,OK,0.09475678400485776,0.0,,False,0.06216831139865406,0.06216831139865406,0.07765297682110434,1.0,1,3.9345630370585254e-18,,,,,,
development,statistical,s9171101_g0_n2_l0,9171101,0.0,2.0,identity,OK,0.09385638399544405,0.0,,False,1.5575588897540056,1.5575588897540056,1.9581274220308054,0.4309895833333333,,,,,,,,
development,statistical,s9171101_g0_n2_l0,9171101,0.0,2.0,old_spatial36,OK,0.09386167000047863,0.0,,False,0.12433662279730812,0.12433662279730812,0.15530595364220867,1.0,1,7.86906078286389e-18,,,,,,
development,statistical,s9171101_g0_n2_l0,9171101,0.0,2.0,retained_half,OK,0.09386440199887147,0.0,S,False,0.12433662279730812,0.12433662279730812,0.15530595364220864,1.0,1,0.0,,,,,,
development,statistical,s9171101_g0_n2_l0,9171101,0.0,2.0,retained_map,OK,0.09386387999984436,0.0,S,False,0.12433662279730812,0.12433662279730812,0.15530595364220864,1.0,1,0.0,,,,,,
development,statistical,s9171101_g0_n2_l0,9171101,0.0,2.0,retained_mean,OK,0.09386492599878693,0.0,S,False,0.12433662279730812,0.12433662279730812,0.15530595364220864,1.0,1,0.0,,,,,,
development,statistical,s9171101_g0_n2_l0,9171101,0.0,2.0,v17_map,OK,0.09386309100227663,0.0,,False,0.12433662279730812,0.12433662279730812,0.15530595364220867,1.0,1,7.86906078286389e-18,,,,,,
development,statistical,s9171101_g2_n1_l0,9171101,2.0,1.0,identity,OK,0.07274081699870294,0.0,,False,0.6435158305526691,0.7787794448770029,0.9790637110154027,0.7018229166666666,,,2.0425092518865178,0.042509251886517774,,,,
development,statistical,s9171101_g2_n1_l0,9171101,2.0,1.0,old_spatial36,OK,0.07274513300217222,0.0,,False,0.13313783416731137,0.4202298001222603,0.789247627326596,0.8606770833333334,2,0.0,1.3893933725472833,0.6106066274527167,2.0355243668278478,0.035524366827847764,,
development,statistical,s9171101_g2_n1_l0,9171101,2.0,1.0,retained_half,OK,0.07274777299608104,0.0,C,False,0.17733276615606067,0.3835802366053568,0.682557330625315,0.8671875,2,0.15664989959263198,1.2748867225415463,0.7251132774584537,2.0103364145620657,0.010336414562065688,,
development,statistical,s9171101_g2_n1_l0,9171101,2.0,1.0,retained_map,OK,0.07274728499760386,0.0,C,False,0.07467566983578541,0.3591851595807839,0.772620522378914,0.8671875,2,0.0,1.4120131950066703,0.5879868049933297,2.0103364145620657,0.010336414562065688,,
development,statistical,s9171101_g2_n1_l0,9171101,2.0,1.0,retained_mean,OK,0.07274830399546772,0.0,C,False,0.3248366832676605,0.4449325244846474,0.6523338171380735,0.8671875,2,0.31329979918526396,1.137760250076422,0.8622397499235781,2.0103364145620657,0.010336414562065688,,
