case,budget,gap_mm,comparator,surface_accuracy_mean_mm,matched_point_rms_mm,fitted_gap_at_same_xy_error_mm,within_source_layer_rms_mm
dual_g2_s912101_b0,1,2.0,v7_hard,-0.23954449601972494,-0.3297053997593535,0.9808179993179238,-0.3619829515024204
dual_g2_s912101_b0,1,2.0,v7_soft,-0.02750608318895026,-0.15294153115989179,0.5272428739849537,-0.1730874290938425
dual_g2_s912101_b0,1,2.0,original_independent,0.07424992022855889,0.10739050746662376,0.684468531310922,0.10168842034620712
dual_g2_s912101_b0,1,2.0,local_multistart,0.07424992022855889,0.10739050746662376,0.684468531310922,0.10168842034620712
dual_g2_s912101_b0,3,2.0,v7_hard,-0.3247726469841407,-0.3804120510134852,1.1992336310237197,-0.4198535846230092
dual_g2_s912101_b0,3,2.0,v7_soft,-0.10375142975828022,-0.1379025880659892,0.534456237410524,-0.16316340895478115
dual_g2_s912101_b0,3,2.0,original_independent,0.09194213369768447,0.09817001412857906,0.7736934677991048,0.08640521753552927
dual_g2_s912101_b0,3,2.0,local_multistart,0.04247760031918582,-0.04870698347535496,1.3444066989780672,-0.08379695058544168
dual_g2_s912101_b0,6,2.0,v7_hard,-0.31302130319327,-0.37466794629196115,1.2480011599521075,-0.41525813448025256
dual_g2_s912101_b0,6,2.0,v7_soft,-0.12960700751302084,-0.12097706356391363,0.5227617530257889,-0.1466922746985227
dual_g2_s912101_b0,6,2.0,original_independent,0.09832611083150414,0.0940387113878482,0.786901698289816,0.0810889457631046
dual_g2_s912101_b0,6,2.0,local_multistart,0.05053397316543204,-0.04962741892724132,1.348648223072766,-0.08571404517534714
dual_g2_s912101_b4,1,2.0,v7_hard,-0.23964182156131897,-0.32822272757955434,0.9811954581541213,-0.36196034938739396
dual_g2_s912101_b4,1,2.0,v7_soft,-0.027458151780674955,-0.15194495549349768,0.5273706160049418,-0.17294861268158046
dual_g2_s912101_b4,1,2.0,original_independent,0.07423802587609671,0.10619606909494889,0.6835283132484296,0.10165092728864122
dual_g2_s912101_b4,1,2.0,local_multistart,0.07423802587609671,0.10619606909494889,0.6835283132484296,0.10165092728864122
dual_g2_s912101_b4,3,2.0,v7_hard,-0.32483427028407347,-0.3787170639390323,1.1994071638905737,-0.4197843677487692
dual_g2_s912101_b4,3,2.0,v7_soft,-0.10379942652368024,-0.13704191652843584,0.5349378015394493,-0.1631347485577616
dual_g2_s912101_b4,3,2.0,original_independent,0.09193631148981365,0.09707232263462756,0.772689405945242,0.08639156331174364
dual_g2_s912101_b4,3,2.0,local_multistart,0.042701397216452,-0.04832642197909531,1.3434904773257197,-0.08376908390430232
dual_g2_s912101_b4,6,2.0,v7_hard,-0.31488090685502307,-0.3738025390164202,1.2457969988985813,-0.41585928992375465
dual_g2_s912101_b4,6,2.0,v7_soft,-0.13051212338752394,-0.12153259643400888,0.5270562052843022,-0.14787186276330233
dual_g2_s912101_b4,6,2.0,original_independent,0.09841659556050433,0.09246221777469915,0.7914659208549992,0.08070004569683153
dual_g2_s912101_b4,6,2.0,local_multistart,0.05083314484245835,-0.04973523038124478,1.3533692416693919,-0.08604762798492238
dual_g2_s912113_b0,1,2.0,v7_hard,-0.18470283501774876,-0.3650245117247961,0.7237914891039039,-0.38654671613739905
dual_g2_s912113_b0,1,2.0,v7_soft,-0.0709017602635354,-0.1600980309085579,0.4102514830530135,-0.1786558573285339
dual_g2_s912113_b0,1,2.0,original_independent,0.08338109182834544,0.07163101109385106,0.4480831129262626,0.07314272935257937
dual_g2_s912113_b0,1,2.0,local_multistart,0.08338109182834544,0.07163101109385106,0.4480831129262626,0.07314272935257937
dual_g2_s912113_b0,3,2.0,v7_hard,-0.18345330752154043,-0.3605069708377759,0.7266660198139336,-0.38757778413563576
dual_g2_s912113_b0,3,2.0,v7_soft,-0.08469203528092217,-0.11276636341418939,0.37651628499182266,-0.13149931339100623
dual_g2_s912113_b0,3,2.0,original_independent,0.08998055199333357,0.07002341757789171,0.5067134385675862,0.06539508928639881
dual_g2_s912113_b0,3,2.0,local_multistart,0.08998055199333357,0.07002341757789171,0.5067134385675862,0.06539508928639881
dual_g2_s912113_b0,6,2.0,v7_hard,-0.15236237375786965,-0.34342250663997465,0.8084247513176508,-0.3715695879644468
dual_g2_s912113_b0,6,2.0,v7_soft,-0.08281057260662927,-0.08430698556139782,0.369652802152203,-0.10435655849415326
dual_g2_s912113_b0,6,2.0,original_independent,0.08280197415019538,0.06369062763619948,0.5414298136083262,0.0583919661897081
dual_g2_s912113_b0,6,2.0,local_multistart,0.08280197415019538,0.06369062763619948,0.5414298136083262,0.0583919661897081
dual_g2_s912113_b4,1,2.0,v7_hard,-0.17404576796918875,-0.3625717445811285,0.7446682488967431,-0.3878402060396085
dual_g2_s912113_b4,1,2.0,v7_soft,-0.06322405717558277,-0.15345794106134003,0.43786044994928486,-0.17520795951866835
dual_g2_s912113_b4,1,2.0,original_independent,0.08183998543708076,0.0736108129087783,0.4368301768828242,0.0737064674958286
dual_g2_s912113_b4,1,2.0,local_multistart,0.08183998543708076,0.0736108129087783,0.4368301768828242,0.0737064674958286
dual_g2_s912113_b4,3,2.0,v7_hard,-0.15575562057387904,-0.3457492150544661,0.8000218645849373,-0.3756495796360684
dual_g2_s912113_b4,3,2.0,v7_soft,-0.07811975844081748,-0.10513332653507967,0.42389907606534183,-0.1257008228270945
dual_g2_s912113_b4,3,2.0,original_independent,0.09140494269492377,0.0775584157517914,0.5153793922905985,0.07286289493205111
dual_g2_s912113_b4,3,2.0,local_multistart,0.09140494269492377,0.0775584157517914,0.5153793922905985,0.07286289493205111
dual_g2_s912113_b4,6,2.0,v7_hard,-0.1760918690426228,-0.3233460193933934,0.9597151670469417,-0.35573038782042726
dual_g2_s912113_b4,6,2.0,v7_soft,-0.08165705871119378,-0.07995843327792435,0.40064855479733885,-0.10123182037872974
dual_g2_s912113_b4,6,2.0,original_independent,0.08539199353920118,0.0715158805654541,0.5414103245642383,0.0664929800247222
dual_g2_s912113_b4,6,2.0,local_multistart,0.08539199353920118,0.0715158805654541,0.5414103245642383,0.0664929800247222
dual_g2_s912127_b0,1,2.0,v7_hard,-0.25439660531513636,-0.3807777637024651,1.0870318198260134,-0.41049420875243764
dual_g2_s912127_b0,1,2.0,v7_soft,-0.10970661894635092,-0.24533651693822567,0.6436464681874545,-0.2704323371767808
dual_g2_s912127_b0,1,2.0,original_independent,0.09901855983547564,0.07593385887232978,0.4535644073183702,0.06626581375525503
dual_g2_s912127_b0,1,2.0,local_multistart,0.09901855983547564,0.07593385887232978,0.4535644073183702,0.06626581375525503
dual_g2_s912127_b0,3,2.0,v7_hard,-0.3133255015229733,-0.397351790164581,1.2280662004078613,-0.439902524507579
dual_g2_s912127_b0,3,2.0,v7_soft,-0.13509458691429999,-0.20095335961251792,0.6965412278400784,-0.23649850011488754
dual_g2_s912127_b0,3,2.0,original_independent,0.08004737223170039,0.04338971512141271,0.5093877051632119,0.021213487751441662
dual_g2_s912127_b0,3,2.0,local_multistart,0.07436249384818464,0.02121537693687109,0.9462191393659811,-0.015264172044622881
dual_g2_s912127_b0,6,2.0,v7_hard,-0.37305860175821337,-0.42918433540738177,1.3109025784186084,-0.47362015835639093
dual_g2_s912127_b0,6,2.0,v7_soft,-0.14376086241326863,-0.1698296256697469,0.6326516009171723,-0.20668793470208113
dual_g2_s912127_b0,6,2.0,original_independent,0.07539763839374147,0.03307010095622237,0.5679690841797329,0.009178410541396342
dual_g2_s912127_b0,6,2.0,local_multistart,0.09116639003955593,0.00421002006521598,0.9538500402479821,-0.032978678801885764
dual_g2_s912127_b4,1,2.0,v7_hard,-0.1794639813861621,-0.347803234802497,0.9258434977297365,-0.3801616866231953
dual_g2_s912127_b4,1,2.0,v7_soft,-0.06219411600591496,-0.20574701061573508,0.5569347974412606,-0.2341028368694386
dual_g2_s912127_b4,1,2.0,original_independent,0.13605706715183458,0.1363038366280081,0.6131853689256739,0.12109256293604304
dual_g2_s912127_b4,1,2.0,local_multistart,0.14235760394750932,0.0961023470862356,0.9808705598161327,0.06635136500482092
dual_g2_s912127_b4,3,2.0,v7_hard,-0.27867646927462314,-0.3890289652461717,1.1434418808447493,-0.4455739395139437
dual_g2_s912127_b4,3,2.0,v7_soft,-0.05988864294993046,-0.1423728324534016,0.3770238865648947,-0.18217162070614096
dual_g2_s912127_b4,3,2.0,original_independent,0.12769204935539696,0.1147757238014308,0.6565620165988277,0.07922562046087217
dual_g2_s912127_b4,3,2.0,local_multistart,0.13066558160289551,0.07192018217500895,1.0153352037771972,0.021962723076989987
dual_g2_s912127_b4,6,2.0,v7_hard,-0.21783764680289586,-0.33253990253750415,1.122094022956724,-0.3925453540929891
dual_g2_s912127_b4,6,2.0,v7_soft,-0.035932150456927214,-0.09780477186789688,0.34032854108661525,-0.13889982753401042
dual_g2_s912127_b4,6,2.0,original_independent,0.12503032572335682,0.11430516031394933,0.5727754027662286,0.07629246282705093
dual_g2_s912127_b4,6,2.0,local_multistart,0.12936925057682047,0.07919870503193849,0.9668480803022947,0.026280262043377134
dual_g4_s912101_b0,1,4.0,v7_hard,-0.14966705559618748,-0.16588628343978884,1.0375378082909794,-0.1973014114471977
dual_g4_s912101_b0,1,4.0,v7_soft,-0.06167346690008585,-0.11978076582209118,0.6845301516022917,-0.14742483990974864
dual_g4_s912101_b0,1,4.0,original_independent,0.21821643339272728,0.20601125784651464,0.45433571204028445,0.1829897294171534
dual_g4_s912101_b0,1,4.0,local_multistart,0.21118466592270285,0.2542726829572884,0.8575966922307643,0.2260242951566509
dual_g4_s912101_b0,3,4.0,v7_hard,-0.28697424903213975,-0.22933203825711934,1.1589039970346366,-0.26017177700901695
dual_g4_s912101_b0,3,4.0,v7_soft,-0.18390367865763535,-0.14955359736631568,0.8752124556986933,-0.1769751323161597
dual_g4_s912101_b0,3,4.0,original_independent,0.1748872533358955,0.1558198558379602,0.6511707915303195,0.13342569959187778
dual_g4_s912101_b0,3,4.0,local_multistart,0.18001016762528005,0.2097002803995907,1.0235596844343102,0.18240098886770761
dual_g4_s912101_b0,6,4.0,v7_hard,-0.2892627011073991,-0.23410410342547805,0.9785815364717112,-0.271502874232166
dual_g4_s912101_b0,6,4.0,v7_soft,-0.2009032608493277,-0.13801051983320467,1.015970359764407,-0.17208968257246704
dual_g4_s912101_b0,6,4.0,original_independent,0.17520135863595493,0.12514726713459934,0.6214460821109649,0.0963969309125291
dual_g4_s912101_b0,6,4.0,local_multistart,0.187032913620164,0.17810471823122448,1.075120776246271,0.14373286857756362
dual_g4_s912101_b4,1,4.0,v7_hard,-0.14929970468801457,-0.10363803465092158,0.5390413848115263,-0.12433633269130606
dual_g4_s912101_b4,1,4.0,v7_soft,-0.06126588798084476,-0.07354042249382098,0.6862567635832009,-0.0911752610199057
dual_g4_s912101_b4,1,4.0,original_independent,0.21863645318604247,0.10839535166063397,0.4559121358562064,0.08952678377755707
dual_g4_s912101_b4,1,4.0,local_multistart,0.21159400291822172,0.12978021075858015,0.7192844696747387,0.11038705954660766
dual_g4_s912101_b4,3,4.0,v7_hard,-0.2869713981720595,-0.1413171301321796,0.6582827958556745,-0.15590598828327162
dual_g4_s912101_b4,3,4.0,v7_soft,-0.1839178504277006,-0.08934265103540873,0.8755732175443125,-0.10240206644926886
dual_g4_s912101_b4,3,4.0,original_independent,0.17488064564606715,0.07957459227935026,0.6510999242637583,0.06628181363126773
dual_g4_s912101_b4,3,4.0,local_multistart,0.18001611846337656,0.10334171327198005,0.9452980623657679,0.08931959478356521
dual_g4_s912101_b4,6,4.0,v7_hard,-0.2893607470594398,-0.14091836588073559,0.47747863179646455,-0.1550746197638091
dual_g4_s912101_b4,6,4.0,v7_soft,-0.20097594937447105,-0.07984700945161372,0.8933526786465755,-0.09346089411786118
dual_g4_s912101_b4,6,4.0,original_independent,0.1751632198470217,0.06272466735437865,0.6213829885098052,0.04942912768595065
dual_g4_s912101_b4,6,4.0,local_multistart,0.18712869568650387,0.08618859079482966,0.840219132360132,0.07233812760381553
dual_g4_s912113_b0,1,4.0,v7_hard,-0.09909023574047549,-0.16064707908750087,0.7215591972895434,-0.171159136856051
dual_g4_s912113_b0,1,4.0,v7_soft,-0.06956839966215178,-0.14062315881970922,0.47215089576991787,-0.1541442989398487
dual_g4_s912113_b0,1,4.0,original_independent,0.26757482758869244,0.3121348058854394,0.9524189140006118,0.3000646663690064
dual_g4_s912113_b0,1,4.0,local_multistart,0.2624836789328858,0.3166365314194434,0.9639224318981587,0.30389290361462373
dual_g4_s912113_b0,3,4.0,v7_hard,-0.16743027795695425,-0.19347320895845077,1.196857746664913,-0.21631318079892214
