case,method,output,output_sha256,gap_mm,seed,bias_rms_mm,chosen_k,true_k,seconds,supported_fraction,identifiable,geometry_scored,surface_accuracy_mean_mm,surface_accuracy_rms_mm,surface_accuracy_p95_mm,reference_sample_coverage_1mm,reference_sample_coverage_2mm,reference_sample_distance_mean_mm,output_point_count_ratio,matched_point_rms_mm,matched_normal_mae_mm,within_source_layer_rms_mm,source_group_gap_mm,source_group_gap_error_mm,source_group_gap_retention,reported_model_k,model_k_note,global_translation_only_aligned_rms_mm,output_edit_from_reference_centroid_mm,source_surface_tilt_mean_deg,source_surface_tilt_max_deg,fitted_gap_at_same_xy_mm,fitted_gap_at_same_xy_error_mm,fitted_gap_note
dual_g2_s9131011_b0,global_free_i12,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spatial-v11-confirmation-xjro7mgm/outputs/dual_g2_s9131011_b0__global_free_i12.npz,0ff32c3e449828fb1222575647c021a3bbe7d551ec22ff79ffecb11e0950180d,2,9131011,0,2,2,0.03492866699525621,1.0,True,True,0.3950232869917185,0.48495313666475814,0.9346755856039078,0.9075520833333334,1.0,0.42362994990444774,1.0,0.5528126973371379,0.4299916137993513,0.5212111527177231,1.6937927593885826,0.30620724061141735,0.8468963796942913,,self-report; not geometry-derived layer count or success,0.5424832461018915,0.10636637643502085,0.9857330629053557,1.0130952043274315,0.6140553849902743,1.3859446150097257,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s9131011_b0,global_free_i36,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spatial-v11-confirmation-xjro7mgm/outputs/dual_g2_s9131011_b0__global_free_i36.npz,0b3330abe3aee5e57f480079f2cf5c273176a5842d519e2e32ebc4b98d9372c3,2,9131011,0,2,2,0.08019784500356764,1.0,True,True,0.39456150275264257,0.48489678300377176,0.9344195792323092,0.91015625,1.0,0.4234937051016347,1.0,0.553319399233239,0.4298309322930125,0.5171405025659,1.6792844198342622,0.32071558016573776,0.8396422099171311,,self-report; not geometry-derived layer count or success,0.5405921483508002,0.11799358757703356,0.9839061197846265,1.0137259957911429,0.5989878466640891,1.4010121533359108,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s9131011_b0,spatial_free_i12,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spatial-v11-confirmation-xjro7mgm/outputs/dual_g2_s9131011_b0__spatial_free_i12.npz,d929c4abf2da0f3fd4d496b24b229cedc189adc1fe40e6d619d24d206f0870a9,2,9131011,0,2,2,0.036366874002851546,1.0,True,True,0.06433434258486724,0.13289355415868556,0.12499595729938225,0.9908854166666666,0.9973958333333334,0.07688426275156005,1.0,0.19956738929156692,0.0741733750711302,0.19699031231315212,2.030220169547864,0.030220169547864106,1.015110084773932,,self-report; not geometry-derived layer count or success,0.19827625206848598,0.022664305291052494,0.25318806408124384,0.32643388029268544,1.7399215145763867,0.26007848542361334,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s9131011_b0,spatial_free_i36,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spatial-v11-confirmation-xjro7mgm/outputs/dual_g2_s9131011_b0__spatial_free_i36.npz,79dc49f9b339a027ab5fe865317db267d3d16e394764ec323defe840f37f349b,2,9131011,0,2,2,0.10107347699522506,1.0,True,True,0.05557868711115819,0.09698546085230947,0.12207053108868415,0.9947916666666666,0.9986979166666666,0.06569905017602094,1.0,0.15776884687658257,0.06229742512367977,0.1507680495148749,2.0342243764134675,0.03422437641346754,1.0171121882067338,,self-report; not geometry-derived layer count or success,0.1526556853260914,0.039840316042771606,0.16722818131689307,0.19832213689634323,1.8570424551050468,0.14295754489495316,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s9131011_b0,spatial_fixed_i12,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spatial-v11-confirmation-xjro7mgm/outputs/dual_g2_s9131011_b0__spatial_fixed_i12.npz,924565c8a561312f2057b087c6ea34d5e18daeb8d50e213f9711229e48b510ad,2,9131011,0,2,2,0.03370945600909181,1.0,True,True,0.14184501870459496,0.18887524184399526,0.3147523501883627,0.9921875,1.0,0.14907873234321098,1.0,0.21810471338289178,0.14724344876655085,0.2134916486731923,1.927460866283728,0.07253913371627196,0.963730433141864,,self-report; not geometry-derived layer count or success,0.21710504906432063,0.020858179944863654,0.5388044472924903,0.5960032155230904,1.325534111852073,0.6744658881479271,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s9131011_b0,spatial_fixed_i36,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spatial-v11-confirmation-xjro7mgm/outputs/dual_g2_s9131011_b0__spatial_fixed_i36.npz,bbcdce0b01b270a35c2f8214d32c0bc77a635ec5d4a1bf7299514103e811fedd,2,9131011,0,2,2,0.09537295000336599,1.0,True,True,0.1339104959879183,0.1807968796748421,0.3294119044457949,0.9934895833333334,1.0,0.14140539429043475,1.0,0.2111408967176748,0.13933057647252964,0.19928527033580473,1.8884303115129917,0.11156968848700832,0.9442151557564958,,self-report; not geometry-derived layer count or success,0.2073428169515276,0.03986771281813322,0.5076582154916981,0.5575015559850768,1.3237047031995195,0.6762952968004805,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s9131011_b0,spatial_seed_i12,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spatial-v11-confirmation-xjro7mgm/outputs/dual_g2_s9131011_b0__spatial_seed_i12.npz,61a90b96db3d019d20e7644c6a4d989803f3d1365d162468bd2e5d092bafe1a6,2,9131011,0,2,2,0.038897509992239065,1.0,True,True,0.06726689452339613,0.13432466344352864,0.1301404934966138,0.9908854166666666,0.9986979166666666,0.07969543234864072,1.0,0.20005381469130562,0.07706906882252747,0.19765724229678963,2.0333398497562816,0.03333984975628157,1.0166699248781408,,self-report; not geometry-derived layer count or success,0.19905831078743458,0.01993282917692225,0.26754412167295955,0.3404396761205033,1.72695362892252,0.27304637107748,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s9131011_b0,spatial_seed_i36,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spatial-v11-confirmation-xjro7mgm/outputs/dual_g2_s9131011_b0__spatial_seed_i36.npz,c87437bf99434eed2a3afa41d39e4f20283881c3e2b5fa20ba6b5333251fca10,2,9131011,0,2,2,0.10354543299763463,1.0,True,True,0.055578803667122166,0.09698554640703931,0.12207083589162364,0.9947916666666666,0.9986979166666666,0.06569916166791857,1.0,0.1577689050839844,0.06229754173869149,0.15076808355326898,2.034224429287681,0.03422442928768099,1.0171122146438405,,self-report; not geometry-derived layer count or success,0.15265572177871184,0.03984040687066085,0.167228429908063,0.19832236066832745,1.8570423556719768,0.14295764432802316,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s9131011_b0,old_original,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spatial-v11-confirmation-xjro7mgm/outputs/dual_g2_s9131011_b0__old_original.npz,593aacacc90dab3182f8bee6558bd71d8da24aa8436a8be30ab0dd1b990bd1e3,2,9131011,0,,2,,1.0,True,True,0.20008517841722565,0.33025043961599365,0.8657823262305405,0.9713541666666666,1.0,0.20288070867821525,1.0,0.3328494940895339,0.20071711476258222,0.3201354433891458,1.8349534136028844,0.16504658639711556,0.9174767068014422,,self-report; not geometry-derived layer count or success,0.3306474284333789,0.03822386409106529,0.7158711456128718,1.0496279739499839,0.9269714921969721,1.073028507803028,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s9131011_b0,old_multistart,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spatial-v11-confirmation-xjro7mgm/outputs/dual_g2_s9131011_b0__old_multistart.npz,593aacacc90dab3182f8bee6558bd71d8da24aa8436a8be30ab0dd1b990bd1e3,2,9131011,0,,2,,1.0,True,True,0.20008517841722565,0.33025043961599365,0.8657823262305405,0.9713541666666666,1.0,0.20288070867821525,1.0,0.3328494940895339,0.20071711476258222,0.3201354433891458,1.8349534136028844,0.16504658639711556,0.9174767068014422,,self-report; not geometry-derived layer count or success,0.3306474284333789,0.03822386409106529,0.7158711456128718,1.0496279739499839,0.9269714921969721,1.073028507803028,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
