case,method,output,output_sha256,gap_mm,seed,bias_rms_mm,chosen_k,true_k,seconds,supported_fraction,identifiable,geometry_scored,surface_accuracy_mean_mm,surface_accuracy_rms_mm,surface_accuracy_p95_mm,reference_sample_coverage_1mm,reference_sample_coverage_2mm,reference_sample_distance_mean_mm,output_point_count_ratio,matched_point_rms_mm,matched_normal_mae_mm,within_source_layer_rms_mm,source_group_gap_mm,source_group_gap_error_mm,source_group_gap_retention,reported_model_k,model_k_note,global_translation_only_aligned_rms_mm,output_edit_from_reference_centroid_mm,source_surface_tilt_mean_deg,source_surface_tilt_max_deg,fitted_gap_at_same_xy_mm,fitted_gap_at_same_xy_error_mm,fitted_gap_note
dual_g2_s912101_b0,global_free_i12,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spatial-v11-development-zh54hd3y/outputs/dual_g2_s912101_b0__global_free_i12.npz,054b79c448768c11e3c6e420245db7530606a08f0aafbfbf9598850da0ea82b1,2.0,912101,0.0,2,2,0.029243550001410767,1.0,True,True,0.4295184370612624,0.5455893710360633,1.074035906598274,0.8671875,1.0,0.45739893637970663,1.0,0.6145545393806768,0.46946213959121846,0.5807852600171077,1.5896190175544775,0.41038098244552246,0.7948095087772388,,self-report; not geometry-derived layer count or success,0.6141003307845807,0.023623412193509892,0.7312362628830962,0.8545874439431432,0.9378871915036884,1.0621128084963116,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b0,global_free_i36,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spatial-v11-development-zh54hd3y/outputs/dual_g2_s912101_b0__global_free_i36.npz,19e86536f7431357325e1c709cd16ddbf03dfbf45a05108f6b029062ad4ed81a,2.0,912101,0.0,2,2,0.07998624400352128,1.0,True,True,0.43135251955094,0.5498963797647657,1.0878334653913697,0.8684895833333334,1.0,0.4585689821041081,1.0,0.617876712295605,0.47098296341076495,0.5825145748132581,1.5815343014451444,0.4184656985548556,0.7907671507225722,,self-report; not geometry-derived layer count or success,0.617018943969264,0.03254618841400635,0.7635745194228479,0.8747534861620001,0.8894657981681253,1.1105342018318747,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b0,spatial_free_i12,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spatial-v11-development-zh54hd3y/outputs/dual_g2_s912101_b0__spatial_free_i12.npz,6388c1a7bbd13fa76f0de8bc0df2a5be392b1f1a0b4313666c23d9cb28d1359d,2.0,912101,0.0,2,2,0.038406128995120525,1.0,True,True,0.09388127100175321,0.18248554491618016,0.10798756223283511,0.984375,0.9986979166666666,0.11056515300460786,1.0,0.2858582827347636,0.11799721339843224,0.2787093007497801,1.9317139350737784,0.06828606492622158,0.9658569675368892,,self-report; not geometry-derived layer count or success,0.2809978402346437,0.052489728438368695,0.0757697826417469,0.09274288874408827,1.8683632599204556,0.1316367400795444,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b0,spatial_free_i36,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spatial-v11-development-zh54hd3y/outputs/dual_g2_s912101_b0__spatial_free_i36.npz,a98039b3a6c692811c27d1cbafd9d757f8452a1ac19c309c8dd51c09d328d9a3,2.0,912101,0.0,2,2,0.10345983099250589,1.0,True,True,0.06633695638481303,0.12702467452741964,0.1147534566530981,0.9895833333333334,0.9986979166666666,0.08195743431169163,1.0,0.2363802689317982,0.08611317300749267,0.2292164544572323,1.9281943037480687,0.07180569625193134,0.9640971518740343,,self-report; not geometry-derived layer count or success,0.2322566203449373,0.04396013928796058,0.036807982585157065,0.05245537803405618,1.9111549790028506,0.08884502099714942,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b0,spatial_fixed_i12,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spatial-v11-development-zh54hd3y/outputs/dual_g2_s912101_b0__spatial_fixed_i12.npz,10b2d8dd8a7838452b646e27b57a2ed853f76e0b677d5a6d3be18f19fdbc160d,2.0,912101,0.0,2,2,0.03397455900267232,1.0,True,True,0.09318185812309597,0.17404208877014887,0.15389847019083194,0.984375,1.0,0.10978949575122611,1.0,0.2713382581493289,0.1147569460265524,0.25905693431279886,1.8759870550152096,0.12401294498479043,0.9379935275076048,,self-report; not geometry-derived layer count or success,0.2663047380667667,0.052021503426012736,0.21015620479013483,0.2247939394920415,1.6749339940262284,0.32506600597377155,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b0,spatial_fixed_i36,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spatial-v11-development-zh54hd3y/outputs/dual_g2_s912101_b0__spatial_fixed_i36.npz,77af6bbd7f80ae55c95ff1261a59ed9fc67e31d2c596cd9def0e1bafca61f411,2.0,912101,0.0,2,2,0.09019417200761382,1.0,True,True,0.07168641033599227,0.1290452548811887,0.1481647953836863,0.9895833333333334,1.0,0.08626886815776502,1.0,0.2274883975771035,0.08914090573550731,0.21215242952535684,1.8595876699302227,0.14041233006977727,0.9297938349651114,,self-report; not geometry-derived layer count or success,0.2232575665259139,0.04366955485375891,0.1809195917840034,0.19915682338142804,1.690164427546532,0.30983557245346804,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b0,spatial_seed_i12,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spatial-v11-development-zh54hd3y/outputs/dual_g2_s912101_b0__spatial_seed_i12.npz,14fbc97b4fb1beec53ef466df6c303644c725e689305ad8eaeac6fd8deee3925,2.0,912101,0.0,2,2,0.03928794799139723,1.0,True,True,0.09573223609304511,0.18249455064257203,0.10634029868719759,0.984375,0.9986979166666666,0.11234674374386412,1.0,0.28545451640855957,0.11973117123475485,0.2780436647279716,1.933927019741119,0.06607298025888109,0.9669635098705595,,self-report; not geometry-derived layer count or success,0.28021271164398986,0.05445288946572781,0.08429170207508875,0.10111569353655901,1.8617964863064487,0.13820351369355133,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b0,spatial_seed_i36,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spatial-v11-development-zh54hd3y/outputs/dual_g2_s912101_b0__spatial_seed_i36.npz,3f00371871d45c913a53f3d8239e25b1dde1cd7031ce207f84b31f3bfc8a6b84,2.0,912101,0.0,2,2,0.10480706099770032,1.0,True,True,0.06634437078610277,0.12702956424187453,0.11476533336449053,0.9895833333333334,0.9986979166666666,0.08196455911189876,1.0,0.23638244314640056,0.08612048023631924,0.22921720581598548,1.9281937520490389,0.07180624795096113,0.9640968760245194,,self-report; not geometry-derived layer count or success,0.23225740200910908,0.04396769996077098,0.03680464042276623,0.052446857724042936,1.9111627115302108,0.08883728846978922,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b0,old_original,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/reassociation-v7-development-vbwoojgf/outputs/dual_g2_s912101_b0__original_b0_independent.npz,dd97cc5954b4e4de7cb79a91fefebc7944c0f2b412bcdce465cdaf00f61278d2,2.0,912101,0.0,,2,,,True,True,0.19755080336582778,0.31664473278869576,0.6979708865589909,0.9596354166666666,1.0,0.20236838780407104,1.0,0.3274865616230388,0.20072933727402945,0.2977052971364532,1.7354994242610586,0.26450057573894137,0.8677497121305293,,self-report; not geometry-derived layer count or success,0.32454886828809437,0.04376619856233277,0.4209864516900144,0.45872525589095275,1.3372488364816326,0.6627511635183674,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b0,old_multistart,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/reassociation-v7-development-vbwoojgf/outputs/dual_g2_s912101_b0__local_multistart_b6_independent.npz,9c1fe3990cce816155f5dd3feb32e9949b68dc91838303da351cc683c766cf15,2.0,912101,0.0,,2,,,True,True,0.24534294103189988,0.38983536168725136,0.9567765825289505,0.9296875,0.9986979166666666,0.27655845074105506,1.0,0.4711526919381283,0.2797559487770096,0.46450828807490496,1.8671671043468874,0.13283289565311263,0.9335835521734437,,self-report; not geometry-derived layer count or success,0.46914492162726956,0.043449990010215996,0.24294958679895803,0.25290076628066616,1.8989953612645827,0.10100463873541732,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
