case,condition,method,measured_reference_rms_mm,input_edit_rms_mm,response_to_injection_rms_mm,injected_rms_mm,seconds
cy_junction,zero,identity,0.0,0.0,0.0,0.0,0.0010913849982898682
cy_junction,zero,old_original,0.7181518049842567,0.7181518049842567,0.0,0.0,0.006286053991061635
cy_junction,zero,old_multistart,0.7100803426671025,0.7100803426671025,0.0,0.0,0.1408807770058047
cy_junction,zero,spatial_free,31.399339993295598,31.399339993295598,0.0,0.0,0.17274908399849664
cy_junction,zero,spatial_fixed,36.455251421778186,36.455251421778186,0.0,0.0,0.6081727849959861
cy_junction,shift3mm,identity,2.999999999999926,0.0,2.999999999999926,2.999999999999926,0.0010399129969300702
cy_junction,shift3mm,old_original,2.6117746868757283,1.721151772814546,2.511100356417419,2.999999999999926,0.006090262992074713
cy_junction,shift3mm,old_multistart,2.609566840118338,1.7283085989159535,2.511100356417419,2.999999999999926,0.1388676979986485
cy_junction,shift3mm,spatial_free,31.49959010867782,31.27656025559311,2.511100356417419,2.999999999999926,0.17500473899417557
cy_junction,shift3mm,spatial_fixed,36.541633460054086,36.35038435572726,2.5111003564174217,2.999999999999926,0.1585540480009513
cy_thin,zero,identity,0.0,0.0,0.0,0.0,0.0003077220026170835
cy_thin,zero,old_original,0.6737776304259349,0.6737776304259349,0.0,0.0,0.0007322989986278117
cy_thin,zero,old_multistart,0.6737776304259349,0.6737776304259349,0.0,0.0,0.003721068991580978
cy_thin,zero,spatial_free,0.7037895552070381,0.7037895552070381,0.0,0.0,0.07503551700210664
cy_thin,zero,spatial_fixed,0.7037895552070381,0.7037895552070381,0.0,0.0,0.18188710800313856
cy_thin,shift3mm,identity,3.000000000000001,0.0,3.000000000000001,3.000000000000001,0.00031577900517731905
cy_thin,shift3mm,old_original,0.7890748962335737,2.7007732935770035,0.41068451769462255,3.000000000000001,0.0007355529960477725
cy_thin,shift3mm,old_multistart,0.7890748962335737,2.7007732935770035,0.41068451769462255,3.000000000000001,0.0036362849932629615
cy_thin,shift3mm,spatial_free,0.8148507563627356,2.7104042537585538,0.4106845176958199,3.000000000000001,0.07490032700297888
cy_thin,shift3mm,spatial_fixed,0.8148507563627356,2.7104042537585538,0.4106845176958199,3.000000000000001,0.001534836002974771
cy_wall,zero,identity,0.0,0.0,0.0,0.0,0.0011180440051248297
cy_wall,zero,old_original,0.9128213081791101,0.9128213081791101,0.0,0.0,0.003391245991224423
cy_wall,zero,old_multistart,0.9152409912228575,0.9152409912228575,0.0,0.0,0.05080602200177964
cy_wall,zero,spatial_free,13.967992240541971,13.967992240541971,0.0,0.0,0.17590925199328922
cy_wall,zero,spatial_fixed,19.501556152323268,19.501556152323268,0.0,0.0,0.1542023270012578
cy_wall,shift3mm,identity,3.000000000000074,0.0,3.000000000000074,3.000000000000074,0.0011179950088262558
cy_wall,shift3mm,old_original,2.793348849061558,1.417075258575586,2.639957506840267,3.000000000000074,0.0034166339901275933
cy_wall,shift3mm,old_multistart,2.794145943342284,1.4122204282414748,2.639957489340808,3.000000000000074,0.051282476997585036
cy_wall,shift3mm,spatial_free,14.215521679810392,13.814241334220979,2.6399574976589424,3.000000000000074,0.17583811600343324
cy_wall,shift3mm,spatial_fixed,19.679780100734106,19.323099008307246,2.6399575243506272,3.000000000000074,0.15173164100269787
da_junction,zero,identity,0.0,0.0,0.0,0.0,0.0011547790054464713
da_junction,zero,old_original,0.34687727686015346,0.34687727686015346,0.0,0.0,0.002331608993699774
da_junction,zero,old_multistart,0.34687727686015346,0.34687727686015346,0.0,0.0,0.08342965198971797
da_junction,zero,spatial_free,0.4614950316007698,0.4614950316007698,0.0,0.0,0.1686808729864424
da_junction,zero,spatial_fixed,852.7292315641364,852.7292315641364,0.0,0.0,0.462791522993939
da_junction,shift3mm,identity,3.000000000000006,0.0,3.000000000000006,3.000000000000006,0.0011533979995874688
da_junction,shift3mm,old_original,0.3468618687292022,2.8995975384014447,9.78496151357383e-05,3.000000000000006,0.0023142160061979666
da_junction,shift3mm,old_multistart,0.3468618687292022,2.8995975384014447,9.78496151357383e-05,3.000000000000006,0.081403827003669
da_junction,shift3mm,spatial_free,0.46149097914814957,2.866820407338897,5.788187276927009e-05,3.000000000000006,0.16921660500520375
da_junction,shift3mm,spatial_fixed,852.7292315623877,852.361145858352,5.168544095795011e-05,3.000000000000006,0.003999649998149835
da_thin,zero,identity,0.0,0.0,0.0,0.0,0.0010171690082643181
da_thin,zero,old_original,0.5326659749336363,0.5326659749336363,0.0,0.0,0.0021151480032131076
da_thin,zero,old_multistart,0.5326659749336363,0.5326659749336363,0.0,0.0,0.06461483200837392
da_thin,zero,spatial_free,0.867630665838963,0.867630665838963,0.0,0.0,0.16474524699151516
da_thin,zero,spatial_fixed,2016.7085137227461,2016.7085137227461,0.0,0.0,0.5732798420067411
da_thin,shift3mm,identity,2.9999999999999325,0.0,2.9999999999999325,2.9999999999999325,0.0010158439981751144
da_thin,shift3mm,old_original,0.5335135044845176,3.0877588676773837,0.028610059527977138,2.9999999999999325,0.0021515419939532876
da_thin,shift3mm,old_multistart,0.5335135044845176,3.0877588676773837,0.028610059527977138,2.9999999999999325,0.06504362299165223
da_thin,shift3mm,spatial_free,0.8676302294094825,3.135167995741606,2.5620939995017244e-05,2.9999999999999325,0.1634697180124931
da_thin,shift3mm,spatial_fixed,2016.708513722953,2017.5779010972396,9.011478807022341e-06,2.9999999999999325,0.1419636289938353
da_wall,zero,identity,0.0,0.0,0.0,0.0,0.0011041399993700907
da_wall,zero,old_original,0.515000853961025,0.515000853961025,0.0,0.0,0.002897821002989076
da_wall,zero,old_multistart,0.5148990835819727,0.5148990835819727,0.0,0.0,0.06984858299256302
da_wall,zero,spatial_free,1.4842847343222059,1.4842847343222059,0.0,0.0,0.16875537700252607
da_wall,zero,spatial_fixed,1412.045671390265,1412.045671390265,0.0,0.0,0.14831276499899104
da_wall,shift3mm,identity,2.9999999999998956,0.0,2.9999999999998956,2.9999999999998956,0.0011025700077880174
da_wall,shift3mm,old_original,1.7955428861680987,2.3364744331699376,1.7201017411828845,2.9999999999998956,0.002862292996724136
da_wall,shift3mm,old_multistart,1.7955136996042698,2.336814922980658,1.7201017411828883,2.9999999999998956,0.07212343899300322
da_wall,shift3mm,spatial_free,2.27197039838417,2.845034281816089,1.720101741183041,2.9999999999998956,0.1680057229968952
da_wall,shift3mm,spatial_fixed,1412.0467189727394,1411.898474806775,1.7201017411830044,2.9999999999998956,0.14578589799930342
