stage,case,iterations,output,identifiable,geometry_scored,surface_accuracy_mean_mm,surface_accuracy_rms_mm,surface_accuracy_p95_mm,reference_sample_coverage_1mm,reference_sample_coverage_2mm,reference_sample_distance_mean_mm,output_point_count_ratio,matched_point_rms_mm,matched_normal_mae_mm,within_source_layer_rms_mm,source_group_gap_mm,source_group_gap_error_mm,source_group_gap_retention,reported_model_k,model_k_note,global_translation_only_aligned_rms_mm,output_edit_from_reference_centroid_mm,source_surface_tilt_mean_deg,source_surface_tilt_max_deg,fitted_gap_at_same_xy_mm,fitted_gap_at_same_xy_error_mm,fitted_gap_note
development,dual_g2_s912101_b0,12,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spatial-v11-seed-aligned-omrev058/outputs/development_dual_g2_s912101_b0_i12.npz,True,True,0.0957322360930461,0.18249455064257245,0.10634029868719844,0.984375,0.9986979166666666,0.1123467437438651,1.0,0.2854545164085597,0.11973117123475581,0.2780436647279716,1.9339270197411194,0.06607298025888064,0.9669635098705597,,self-report; not geometry-derived layer count or success,0.28021271164398986,0.054452889465728835,0.08429170207508706,0.101115693536556,1.8617964863064485,0.13820351369355155,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
development,dual_g2_s912101_b0,36,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spatial-v11-seed-aligned-omrev058/outputs/development_dual_g2_s912101_b0_i36.npz,True,True,0.0663443707861005,0.12702956424187306,0.11476533336448644,0.9895833333333334,0.9986979166666666,0.08196455911189658,1.0,0.2363824431464,0.08612048023631702,0.2292172058159854,1.9281937520490402,0.0718062479509598,0.9640968760245201,,self-report; not geometry-derived layer count or success,0.2322574020091089,0.04396769996076869,0.03680464042276436,0.05244685772404068,1.9111627115302108,0.08883728846978922,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
development,dual_g2_s912101_b4,12,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spatial-v11-seed-aligned-omrev058/outputs/development_dual_g2_s912101_b4_i12.npz,True,True,0.09575486694202599,0.18252514810270576,0.10655530093324761,0.984375,0.9986979166666666,0.12797768978752064,1.0,0.2907802031498047,0.11975387002501103,0.2780600647846868,1.9339293822441102,0.06607061775588985,0.9669646911220551,,self-report; not geometry-derived layer count or success,0.28563219581131266,0.05447361985263714,0.08419705376815974,0.10091861410223986,1.8617998109262026,0.13820018907379739,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
development,dual_g2_s912101_b4,36,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spatial-v11-seed-aligned-omrev058/outputs/development_dual_g2_s912101_b4_i36.npz,True,True,0.06640928178777346,0.12706996927169256,0.11482411976081511,0.9895833333333334,0.9986979166666666,0.10333659011578582,1.0,0.24277133805296,0.0861839072296549,0.22922309066617735,1.9282220529007943,0.07177794709920571,0.9641110264503971,,self-report; not geometry-derived layer count or success,0.23874506339083681,0.04403086742876973,0.03683522525256385,0.052417952888876365,1.911065186839756,0.0889348131602441,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
development,dual_g2_s912113_b0,12,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spatial-v11-seed-aligned-omrev058/outputs/development_dual_g2_s912113_b0_i12.npz,True,True,0.16508010446762486,0.2721680222709011,0.37217615155194034,0.96484375,1.0,0.18401441947743416,1.0,0.3567801912784086,0.19160514678572468,0.35480976773293393,1.9355358035389367,0.06446419646106327,0.9677679017694684,,self-report; not geometry-derived layer count or success,0.3564093558223639,0.016262717206710922,0.4429517828311121,0.4795357669554811,1.484432695086503,0.515567304913497,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
development,dual_g2_s912113_b0,36,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spatial-v11-seed-aligned-omrev058/outputs/development_dual_g2_s912113_b0_i36.npz,True,True,0.11412262192195122,0.20067430806800476,0.2500153435474178,0.9791666666666666,0.9986979166666666,0.13475151441675126,1.0,0.30925864998291974,0.14169780595814224,0.3075007317541088,1.9376422100737825,0.062357789926217544,0.9688211050368912,,self-report; not geometry-derived layer count or success,0.3092559798442265,0.0012851147207356415,0.35395590180940745,0.3679583089076787,1.622116756418891,0.37788324358110903,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
development,dual_g2_s912113_b4,12,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spatial-v11-seed-aligned-omrev058/outputs/development_dual_g2_s912113_b4_i12.npz,True,True,0.16509788484267707,0.2722145880400928,0.3717549213589867,0.96484375,1.0,0.19740243634749943,1.0,0.36079242905486036,0.1916137455907628,0.3548054614382323,1.9351466559171095,0.06485334408289045,0.9675733279585548,,self-report; not geometry-derived layer count or success,0.3604281075446462,0.01620975493619149,0.44284503280009596,0.47934635853038965,1.484418855418542,0.515581144581458,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
development,dual_g2_s912113_b4,36,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spatial-v11-seed-aligned-omrev058/outputs/development_dual_g2_s912113_b4_i36.npz,True,True,0.11424833361091875,0.20071940740711658,0.2503919528908227,0.98046875,0.9986979166666666,0.15027818076721633,1.0,0.31383468407654674,0.14180506272869087,0.307454884168859,1.937401110282737,0.0625988897172629,0.9687005551413685,,self-report; not geometry-derived layer count or success,0.31383162460420294,0.0013857588940817532,0.35441335862946016,0.36844583951041404,1.6214698950982942,0.3785301049017058,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
development,dual_g2_s912127_b0,12,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spatial-v11-seed-aligned-omrev058/outputs/development_dual_g2_s912127_b0_i12.npz,True,True,0.11069130328442944,0.18843914049568042,0.21487550807517702,0.9921875,0.9947916666666666,0.11910667702237314,1.0,0.24609264650177626,0.12110796995109611,0.24476080853565865,2.0231233454617397,0.023123345461739664,1.0115616727308698,,self-report; not geometry-derived layer count or success,0.24546699405834835,0.017536974944584564,0.2591023029901533,0.25954921964841565,2.289083968816391,0.28908396881639087,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
development,dual_g2_s912127_b0,36,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spatial-v11-seed-aligned-omrev058/outputs/development_dual_g2_s912127_b0_i36.npz,True,True,0.10516599874331156,0.14583020559645604,0.21447959172608116,0.9934895833333334,0.9947916666666666,0.11681077642550519,1.0,0.21498825586604423,0.11558266540997823,0.21264105335428235,2.029609202363688,0.029609202363687803,1.014804601181844,,self-report; not geometry-derived layer count or success,0.21364964867174144,0.023953659068400246,0.2806510782242027,0.3084777067099414,2.3298534612241975,0.32985346122419745,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
development,dual_g2_s912127_b4,12,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/spatial-v11-seed-aligned-omrev058/outputs/development_dual_g2_s912127_b4_i12.npz,True,True,0.10792146471368996,0.16827450884120732,0.21477940284240146,0.9921875,0.9947916666666666,0.13779076464372764,1.0,0.23882776564909866,0.11833324213619519,0.22913576913542344,2.031273664512422,0.031273664512422084,1.015636832256211,,self-report; not geometry-derived layer count or success,0.23795257235508008,0.020427309038176418,0.26489339803370604,0.27189911077252205,2.307456068442725,0.307456068442725,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
