case,method,repeat,position,measured_fit_seconds,measured_freeze_seconds,composed_freeze_plus_fit_seconds,search_seconds,final_fit_seconds,search_work_proxy,residual_pair_evaluations,weighted_fit_row_visits,weighted_design_elements,least_squares_calls,final_fit_row_visits,final_fit_design_elements,fit_rank,fit_parameter_count,compute_target,compute_target_met,bitwise_equal,fingerprint_equal,output_array_sha256,VmHWM_kib,VmRSS_kib,ru_maxrss_kib
ghost_s912101_b0,original_b0_independent,0,0,0.0004488589911488816,0.15777994898962788,0.15822880798077676,0.00011296100274194032,0.00018572399858385324,0,0,0,0,0,768,2304,3,3,,,True,True,7aad42fe17a5872a058707d09a0483568de8c534d2980cea586e1eff53fef708,87416,78848,653620
ghost_s912101_b0,local_multistart_b6_independent,0,1,0.01388719399983529,0.15777994898962788,0.17166714298946317,0.013506028990377672,0.00021214099251665175,10668,6956,3712,11136,44,768,2304,3,3,9984,True,True,True,7aad42fe17a5872a058707d09a0483568de8c534d2980cea586e1eff53fef708,87416,78848,653620
ghost_s912101_b0,reassociate_b6_independent,0,2,0.0018487000052118674,0.15777994898962788,0.15962864899483975,0.0015243050002027303,0.00016623700503259897,9984,5376,4608,13824,6,768,2304,3,3,,,True,True,7aad42fe17a5872a058707d09a0483568de8c534d2980cea586e1eff53fef708,87416,78848,653620
ghost_s912101_b0,local_multistart_b6_independent,1,0,0.013332686998182908,0.15777994898962788,0.1711126359878108,0.012972096999874339,0.0001949279976543039,10668,6956,3712,11136,44,768,2304,3,3,9984,True,True,True,7aad42fe17a5872a058707d09a0483568de8c534d2980cea586e1eff53fef708,87416,78852,653620
ghost_s912101_b0,reassociate_b6_independent,1,1,0.0018192969873780385,0.15777994898962788,0.15959924597700592,0.0014864889963064343,0.00017318400205112994,9984,5376,4608,13824,6,768,2304,3,3,,,True,True,7aad42fe17a5872a058707d09a0483568de8c534d2980cea586e1eff53fef708,87416,78852,653620
ghost_s912101_b0,original_b0_independent,1,2,0.0004521669907262549,0.15777994898962788,0.15823211598035414,0.00011740598711185157,0.00018333700427319854,0,0,0,0,0,768,2304,3,3,,,True,True,7aad42fe17a5872a058707d09a0483568de8c534d2980cea586e1eff53fef708,87416,78852,653620
ghost_s912101_b0,reassociate_b6_independent,2,0,0.0018428570037940517,0.15777994898962788,0.15962280599342193,0.0015181229973677546,0.00017279598978348076,9984,5376,4608,13824,6,768,2304,3,3,,,True,True,7aad42fe17a5872a058707d09a0483568de8c534d2980cea586e1eff53fef708,87416,78852,653620
ghost_s912101_b0,original_b0_independent,2,1,0.00045557199337054044,0.15777994898962788,0.15823552098299842,0.00011446900316514075,0.0001876110036391765,0,0,0,0,0,768,2304,3,3,,,True,True,7aad42fe17a5872a058707d09a0483568de8c534d2980cea586e1eff53fef708,87416,78852,653620
ghost_s912101_b0,local_multistart_b6_independent,2,2,0.013498268992407247,0.15777994898962788,0.17127821798203513,0.013121199008310214,0.00020977399253752083,10668,6956,3712,11136,44,768,2304,3,3,9984,True,True,True,7aad42fe17a5872a058707d09a0483568de8c534d2980cea586e1eff53fef708,87416,78856,653620
ghost_s912101_b4,original_b0_independent,0,0,0.00044785698992200196,0.1989022269990528,0.1993500839889748,0.00011505300062708557,0.00018369400640949607,0,0,0,0,0,768,2304,3,3,,,True,True,a4efa908867c72cd8795b789a4af52eb2cba9e54ca1a6bf10ce1ed29bbaf89b2,87856,79208,653620
ghost_s912101_b4,local_multistart_b6_independent,0,1,0.02358567700139247,0.1989022269990528,0.22248790400044527,0.02302386700466741,0.0003044420009246096,10668,6956,3712,11136,44,768,2304,3,3,9984,True,True,True,a4efa908867c72cd8795b789a4af52eb2cba9e54ca1a6bf10ce1ed29bbaf89b2,87856,79208,653620
ghost_s912101_b4,reassociate_b6_independent,0,2,0.0031672420009272173,0.1989022269990528,0.20206946899998002,0.002646032997290604,0.0002788679994409904,9984,5376,4608,13824,6,768,2304,3,3,,,True,True,a4efa908867c72cd8795b789a4af52eb2cba9e54ca1a6bf10ce1ed29bbaf89b2,87856,79208,653620
ghost_s912101_b4,local_multistart_b6_independent,1,0,0.01597042501089163,0.1989022269990528,0.21487265200994443,0.01559962600003928,0.00020447200222406536,10668,6956,3712,11136,44,768,2304,3,3,9984,True,True,True,a4efa908867c72cd8795b789a4af52eb2cba9e54ca1a6bf10ce1ed29bbaf89b2,87856,79220,653620
ghost_s912101_b4,reassociate_b6_independent,1,1,0.001826747989980504,0.1989022269990528,0.2007289749890333,0.0014876009954605252,0.00018047199409920722,9984,5376,4608,13824,6,768,2304,3,3,,,True,True,a4efa908867c72cd8795b789a4af52eb2cba9e54ca1a6bf10ce1ed29bbaf89b2,87856,79220,653620
ghost_s912101_b4,original_b0_independent,1,2,0.000450870007625781,0.1989022269990528,0.19935309700667858,0.00011203200847376138,0.00018897600239142776,0,0,0,0,0,768,2304,3,3,,,True,True,a4efa908867c72cd8795b789a4af52eb2cba9e54ca1a6bf10ce1ed29bbaf89b2,87856,79220,653620
ghost_s912101_b4,reassociate_b6_independent,2,0,0.0017828440031735227,0.1989022269990528,0.20068507100222632,0.001438207007595338,0.00017533499340061098,9984,5376,4608,13824,6,768,2304,3,3,,,True,True,a4efa908867c72cd8795b789a4af52eb2cba9e54ca1a6bf10ce1ed29bbaf89b2,87856,79220,653620
ghost_s912101_b4,original_b0_independent,2,1,0.00043247200665064156,0.1989022269990528,0.19933469900570344,0.00011240200547035784,0.00017180299619212747,0,0,0,0,0,768,2304,3,3,,,True,True,a4efa908867c72cd8795b789a4af52eb2cba9e54ca1a6bf10ce1ed29bbaf89b2,87856,79220,653620
ghost_s912101_b4,local_multistart_b6_independent,2,2,0.013475735002430156,0.1989022269990528,0.21237796200148296,0.013093585992464796,0.00021396498777903616,10668,6956,3712,11136,44,768,2304,3,3,9984,True,True,True,a4efa908867c72cd8795b789a4af52eb2cba9e54ca1a6bf10ce1ed29bbaf89b2,87856,79224,653620
dual_g2_s912101_b0,original_b0_independent,0,0,0.0005860020028194413,0.1525193729903549,0.15310537499317434,0.00016571000742260367,0.00021698100317735225,0,0,0,0,0,768,6912,9,9,,,True,True,a08208cdef94b79c22db753cbd666b6210f6b7adceee2a44094b493e4b87de55,88028,79332,653620
dual_g2_s912101_b0,local_multistart_b6_independent,0,1,0.020685584997409023,0.1525193729903549,0.17320495798776392,0.020174723002128303,0.0002666200016392395,24028,14318,9710,29130,116,768,9216,12,12,23348,True,True,True,265c2d652d2648f0cd72f13c078cee26fb9efdafc4f2a08ad45a845cf169a8c6,88028,79340,653620
dual_g2_s912101_b0,reassociate_b6_independent,0,2,0.00450288099818863,0.1525193729903549,0.15702225398854353,0.003999792999820784,0.00025423399347346276,23348,12572,10776,32328,18,768,6912,9,9,,,True,True,3a3ebdb6556405a596c37c56ffc49a9304848fd263d6ed6bce637a7fe77b7f3b,88028,79340,653620
dual_g2_s912101_b0,local_multistart_b6_independent,1,0,0.01987435000773985,0.1525193729903549,0.17239372299809474,0.01937580099911429,0.00026344400248490274,24028,14318,9710,29130,116,768,9216,12,12,23348,True,True,True,265c2d652d2648f0cd72f13c078cee26fb9efdafc4f2a08ad45a845cf169a8c6,88028,79344,653620
dual_g2_s912101_b0,reassociate_b6_independent,1,1,0.00419995300762821,0.1525193729903549,0.1567193259979831,0.0037594019959215075,0.00022002600599080324,23348,12572,10776,32328,18,768,6912,9,9,,,True,True,3a3ebdb6556405a596c37c56ffc49a9304848fd263d6ed6bce637a7fe77b7f3b,88028,79344,653620
dual_g2_s912101_b0,original_b0_independent,1,2,0.0005848540022270754,0.1525193729903549,0.15310422699258197,0.00017103699792642146,0.00021361200197134167,0,0,0,0,0,768,6912,9,9,,,True,True,a08208cdef94b79c22db753cbd666b6210f6b7adceee2a44094b493e4b87de55,88028,79344,653620
dual_g2_s912101_b0,reassociate_b6_independent,2,0,0.00418940900999587,0.1525193729903549,0.15670878200035077,0.003732961995410733,0.0002341840008739382,23348,12572,10776,32328,18,768,6912,9,9,,,True,True,3a3ebdb6556405a596c37c56ffc49a9304848fd263d6ed6bce637a7fe77b7f3b,88028,79344,653620
dual_g2_s912101_b0,original_b0_independent,2,1,0.0006079730083001778,0.1525193729903549,0.15312734599865507,0.0001835149887483567,0.00021404099243227392,0,0,0,0,0,768,6912,9,9,,,True,True,a08208cdef94b79c22db753cbd666b6210f6b7adceee2a44094b493e4b87de55,88028,79344,653620
dual_g2_s912101_b0,local_multistart_b6_independent,2,2,0.020148737996350974,0.1525193729903549,0.17266811098670587,0.01962921500671655,0.00026956500369124115,24028,14318,9710,29130,116,768,9216,12,12,23348,True,True,True,265c2d652d2648f0cd72f13c078cee26fb9efdafc4f2a08ad45a845cf169a8c6,88028,79348,653620
dual_g2_s912101_b4,original_b0_independent,0,0,0.000599002989474684,0.19459852599538863,0.1951975289848633,0.00017140299314633012,0.00022205499408300966,0,0,0,0,0,768,6912,9,9,,,True,True,6ad119631fcb017b6ae2be920b9affef6cfb043e4b44cb603179f466cf8495c4,88128,79452,653620
dual_g2_s912101_b4,local_multistart_b6_independent,0,1,0.02005117900262121,0.19459852599538863,0.21464970499800984,0.01950896400376223,0.0002717669995035976,24028,14318,9710,29130,116,768,9216,12,12,23348,True,True,True,94e437faceb8f434202617f01728171579765253bb0ea3a5d9b84a1a544378f5,88128,79460,653620
dual_g2_s912101_b4,reassociate_b6_independent,0,2,0.004460277006728575,0.19459852599538863,0.1990588030021172,0.003980834997491911,0.00023496999347116798,23348,12572,10776,32328,18,768,6912,9,9,,,True,True,9fbf837aa63155cc6ef3b3d47d70db78c436d0d540f67d301793e87b9d1f1d3b,88128,79460,653620
dual_g2_s912101_b4,local_multistart_b6_independent,1,0,0.020800026002689265,0.19459852599538863,0.2153985519980779,0.02025179800693877,0.00030581699684262276,24028,14318,9710,29130,116,768,9216,12,12,23348,True,True,True,94e437faceb8f434202617f01728171579765253bb0ea3a5d9b84a1a544378f5,88128,79460,653620
dual_g2_s912101_b4,reassociate_b6_independent,1,1,0.004339132996392436,0.19459852599538863,0.19893765899178106,0.003877250012010336,0.00023366700042970479,23348,12572,10776,32328,18,768,6912,9,9,,,True,True,9fbf837aa63155cc6ef3b3d47d70db78c436d0d540f67d301793e87b9d1f1d3b,88128,79460,653620
dual_g2_s912101_b4,original_b0_independent,1,2,0.000593992997892201,0.19459852599538863,0.19519251899328083,0.00017847699928097427,0.0002155519905500114,0,0,0,0,0,768,6912,9,9,,,True,True,6ad119631fcb017b6ae2be920b9affef6cfb043e4b44cb603179f466cf8495c4,88128,79460,653620
dual_g2_s912101_b4,reassociate_b6_independent,2,0,0.004868388001341373,0.19459852599538863,0.19946691399673,0.004396050004288554,0.0002416909992462024,23348,12572,10776,32328,18,768,6912,9,9,,,True,True,9fbf837aa63155cc6ef3b3d47d70db78c436d0d540f67d301793e87b9d1f1d3b,88128,79460,653620
dual_g2_s912101_b4,original_b0_independent,2,1,0.0006112840055720881,0.19459852599538863,0.19520981000096072,0.0001800519967218861,0.00022082099167164415,0,0,0,0,0,768,6912,9,9,,,True,True,6ad119631fcb017b6ae2be920b9affef6cfb043e4b44cb603179f466cf8495c4,88128,79464,653620
dual_g2_s912101_b4,local_multistart_b6_independent,2,2,0.019511570004397072,0.19459852599538863,0.2141100959997857,0.018986661001690663,0.0002770529972622171,24028,14318,9710,29130,116,768,9216,12,12,23348,True,True,True,94e437faceb8f434202617f01728171579765253bb0ea3a5d9b84a1a544378f5,88128,79468,653620
dual_g4_s912101_b0,original_b0_independent,0,0,0.0007330660009756684,0.21290465899801347,0.21363772499898914,0.00023043098917696625,0.00026747000811155885,0,0,0,0,0,768,11520,15,15,,,True,True,3e4174847139b1b2e3c57281e386298ec7bd6c3cf3e6552bd79dacfda2d98890,88364,79544,653620
dual_g4_s912101_b0,local_multistart_b6_independent,0,1,0.028533645992865786,0.21290465899801347,0.24143830499087926,0.02792623201094102,0.0003401019930606708,44141,24474,19667,59001,235,768,13824,18,18,43511,True,True,True,4bef29fd664a44304ac5db9947d5253055c35c09ba8cfa051973d47a823c82f6,88364,79548,653620
dual_g4_s912101_b0,reassociate_b6_independent,0,2,0.005653672997141257,0.21290465899801347,0.21855833199515473,0.005118752000271343,0.0002750009880401194,43511,23429,20082,60246,30,768,11520,15,15,,,True,True,9136bb6ace637f5a6de57bbdec8ef923a85b644bff6afa9f352a4589cb2ba56e,88364,79556,653620
dual_g4_s912101_b0,local_multistart_b6_independent,1,0,0.028047483996488154,0.21290465899801347,0.24095214299450163,0.027430972986621782,0.00034728999889921397,44141,24474,19667,59001,235,768,13824,18,18,43511,True,True,True,4bef29fd664a44304ac5db9947d5253055c35c09ba8cfa051973d47a823c82f6,88364,79560,653620
dual_g4_s912101_b0,reassociate_b6_independent,1,1,0.005710469005862251,0.21290465899801347,0.21861512800387572,0.005161378998309374,0.00028098400798626244,43511,23429,20082,60246,30,768,11520,15,15,,,True,True,9136bb6ace637f5a6de57bbdec8ef923a85b644bff6afa9f352a4589cb2ba56e,88364,79560,653620
dual_g4_s912101_b0,original_b0_independent,1,2,0.0007147509895730764,0.21290465899801347,0.21361940998758655,0.00020835999748669565,0.00027419700927566737,0,0,0,0,0,768,11520,15,15,,,True,True,3e4174847139b1b2e3c57281e386298ec7bd6c3cf3e6552bd79dacfda2d98890,88364,79560,653620
dual_g4_s912101_b0,reassociate_b6_independent,2,0,0.005528548994334415,0.21290465899801347,0.2184332079923479,0.004984485000022687,0.00028369198844302446,43511,23429,20082,60246,30,768,11520,15,15,,,True,True,9136bb6ace637f5a6de57bbdec8ef923a85b644bff6afa9f352a4589cb2ba56e,88364,79560,653620
dual_g4_s912101_b0,original_b0_independent,2,1,0.0007161679968703538,0.21290465899801347,0.21362082699488383,0.0002171950036427006,0.0002663570048753172,0,0,0,0,0,768,11520,15,15,,,True,True,3e4174847139b1b2e3c57281e386298ec7bd6c3cf3e6552bd79dacfda2d98890,88364,79560,653620
dual_g4_s912101_b0,local_multistart_b6_independent,2,2,0.028261523999390192,0.21290465899801347,0.24116618299740367,0.027655331999994814,0.0003400529967620969,44141,24474,19667,59001,235,768,13824,18,18,43511,True,True,True,4bef29fd664a44304ac5db9947d5253055c35c09ba8cfa051973d47a823c82f6,88364,79568,653620
dual_g4_s912101_b4,original_b0_independent,0,0,0.000712481007212773,0.22592400200664997,0.22663648301386274,0.00020841600780840963,0.00027043200680054724,0,0,0,0,0,768,11520,15,15,,,True,True,a666b71d4277ec36cc03ba98aa2afa25c3b2823688c4f56e36eac3644c0ee939,88408,79644,653620
dual_g4_s912101_b4,local_multistart_b6_independent,0,1,0.028429068988771178,0.22592400200664997,0.25435307099542115,0.027835183995193802,0.0003298149968031794,44141,24474,19667,59001,235,768,13824,18,18,43511,True,True,True,6497fa3d01207ecacb187aeacbdcfd4750728ea7f19d4440d7f7d64c5af2d919,88408,79644,653620
dual_g4_s912101_b4,reassociate_b6_independent,0,2,0.005518838996067643,0.22592400200664997,0.23144284100271761,0.004956710996339098,0.00028308300534263253,43511,23429,20082,60246,30,768,11520,15,15,,,True,True,f3d86cc88ffe3e91b67196d3e1cdd0077b94975eb172fa128b3fb3630ae4186b,88408,79644,653620
dual_g4_s912101_b4,local_multistart_b6_independent,1,0,0.028272069001104683,0.22592400200664997,0.25419607100775465,0.02765153200016357,0.00033686100505292416,44141,24474,19667,59001,235,768,13824,18,18,43511,True,True,True,6497fa3d01207ecacb187aeacbdcfd4750728ea7f19d4440d7f7d64c5af2d919,88408,79648,653620
dual_g4_s912101_b4,reassociate_b6_independent,1,1,0.005561363999731839,0.22592400200664997,0.2314853660063818,0.005024023994337767,0.00027194799622520804,43511,23429,20082,60246,30,768,11520,15,15,,,True,True,f3d86cc88ffe3e91b67196d3e1cdd0077b94975eb172fa128b3fb3630ae4186b,88408,79648,653620
dual_g4_s912101_b4,original_b0_independent,1,2,0.0007288890046766028,0.22592400200664997,0.22665289101132657,0.000213712002732791,0.00026846500986721367,0,0,0,0,0,768,11520,15,15,,,True,True,a666b71d4277ec36cc03ba98aa2afa25c3b2823688c4f56e36eac3644c0ee939,88408,79648,653620
dual_g4_s912101_b4,reassociate_b6_independent,2,0,0.005671500999596901,0.22592400200664997,0.23159550300624687,0.0051467099983710796,0.0002668530069058761,43511,23429,20082,60246,30,768,11520,15,15,,,True,True,f3d86cc88ffe3e91b67196d3e1cdd0077b94975eb172fa128b3fb3630ae4186b,88408,79648,653620
