case,phase,method,status,n_input,n_reference,accuracy_mm,p95_mm,completeness_mm,precision,recall,fscore,displacement_rms_mm
s37_confirm00,confirmation,identity,OK,757,514,1.1715269998098448,2.282319737292715,0.7501686433430872,0.4663143989431968,0.8035019455252919,0.5901397133679969,0.0
s37_confirm00,confirmation,v18,OK,757,514,1.1587240882967316,2.311451096123563,0.9700106516253308,0.4821664464993395,0.5369649805447471,0.5080924593107414,1.126604719691806
s37_confirm00,confirmation,apss2,OK,757,514,1.1688398163723097,2.2631492560412467,0.7665568093854337,0.4663143989431968,0.7840466926070039,0.5848106833733118,0.11484059697223042
s37_confirm00,confirmation,rimls2,OK,757,514,1.1723352293942366,2.278556580155576,0.7690181426240209,0.4623513870541612,0.7840466926070039,0.5816842656571218,0.07452993397633031
s37_confirm00,confirmation,local_plane64,OK,757,514,1.1597486577944611,2.187408434935802,0.7451598587669345,0.4663143989431968,0.8132295719844358,0.5927434581053612,0.4476416222061164
s37_confirm00,confirmation,quadratic64,OK,757,514,1.1599609422226038,2.2060063911752903,0.7383561148177277,0.4795244385733157,0.811284046692607,0.6027703279834187,0.43198585043014615
s37_confirm00,confirmation,multiscale_full,OK,757,514,1.1564466837059637,2.203124620397814,0.7628001785373,0.4795244385733157,0.7840466926070039,0.5950904398020554,0.35003845224586777
s37_confirm00,confirmation,multiscale_consensus,OK,757,514,1.166150611871173,2.2061780966801208,0.7617237765233298,0.47424042272126815,0.7782101167315175,0.5893385536581262,0.20653695300354774
s37_confirm00,confirmation,multiscale_matched,OK,757,514,1.1632746812575567,2.187208313139721,0.7671561961407647,0.47556142668428003,0.7840466926070039,0.5920291525797217,0.20653695300354857
s37_confirm01,confirmation,identity,OK,740,3467,0.5504490542287782,2.5585700706884547,0.3597123912714245,0.8121621621621622,0.963657340640323,0.8814477238511705,0.0
s37_confirm01,confirmation,v18,OK,740,3467,0.5677367469928324,2.241948856672876,0.4890516775751845,0.8148648648648649,0.9457744447649264,0.8754528663659844,0.4171212306047075
s37_confirm01,confirmation,apss2,OK,740,3467,0.5506856124312584,2.5181768679756398,0.36220808791648784,0.8121621621621622,0.9625036054225555,0.8809647693072354,0.06167824142828491
s37_confirm01,confirmation,rimls2,OK,740,3467,0.5508656997951478,2.5523351942292996,0.36106554272019276,0.8121621621621622,0.9633689068358812,0.8813270440569126,0.04793319000760052
s37_confirm01,confirmation,local_plane64,OK,740,3467,0.5546889084946796,2.5430376442487055,0.3951171681030056,0.8135135135135135,0.9564464955292761,0.8792087336329166,0.34440280029798254
s37_confirm01,confirmation,quadratic64,OK,740,3467,0.5508043433667671,2.5172931323942946,0.37159732690911845,0.8135135135135135,0.9587539659648111,0.8801823838426847,0.1855543816734308
s37_confirm01,confirmation,multiscale_full,OK,740,3467,0.5479367754987637,2.508197043340637,0.36642032606512387,0.8135135135135135,0.9625036054225555,0.881759169400116,0.15063205475315009
s37_confirm01,confirmation,multiscale_consensus,OK,740,3467,0.5501557306945412,2.512958113559776,0.364860997248363,0.8121621621621622,0.9616383040092299,0.8806021411053419,0.05666654422789139
s37_confirm01,confirmation,multiscale_matched,OK,740,3467,0.548156606477902,2.5182532808686218,0.3616785485865361,0.8121621621621622,0.9625036054225555,0.8809647693072354,0.056666544227891746
s37_confirm02,confirmation,identity,OK,646,1187,0.3025888651564526,0.5246121102742023,0.4434158437848838,1.0,0.974726200505476,0.9872013651877133,0.0
s37_confirm02,confirmation,v18,OK,646,1187,0.28543312566317436,0.49346923964237066,0.4205802140054022,1.0,0.9797809604043808,0.9897872340425532,0.16008183365068981
