case,method,n_scored_input,n_local_reference,mae_mm,recall_pct,delta_mae_mm,delta_recall_pp
s37_confirm00,multiscale_consensus,757,514,1.166150611871173,77.82101167315176,-0.005376387938671678,-2.529182879377434
s37_confirm00,multiscale_matched,757,514,1.1632746812575567,78.40466926070039,-0.00825231855228803,-1.945525291828798
s37_confirm01,multiscale_consensus,740,3467,0.5501557306945412,96.16383040092299,-0.0002933235342370555,-0.20190366310931518
s37_confirm01,multiscale_matched,740,3467,0.548156606477902,96.25036054225555,-0.0022924477508762253,-0.11537352177675153
s37_confirm02,multiscale_consensus,646,1187,0.2940666306883459,97.30412805391744,-0.008522234468106737,-0.16849199663016012
s37_confirm02,multiscale_matched,646,1187,0.29413154583533413,97.21988205560235,-0.008457319321118484,-0.2527379949452402
s37_confirm03,multiscale_consensus,738,5767,0.5040813777377123,85.39968787931333,-0.0016989290493454323,-0.017340038148083714
s37_confirm03,multiscale_matched,738,5767,0.5042828483174384,85.41702791746143,-0.0014974584696193505,0.0
s37_confirm04,multiscale_consensus,921,2804,1.1020207517159852,46.754636233951494,-0.013648012214775518,-2.2824536376604865
s37_confirm04,multiscale_matched,921,2804,1.0999013240360416,46.754636233951494,-0.015767439894719182,-2.2824536376604865
s37_confirm05,multiscale_consensus,666,3799,0.38733491022356853,95.8673335088181,-0.0005574527013809671,-0.07896814951302566
s37_confirm05,multiscale_matched,666,3799,0.3874207965085012,95.9199789418268,-0.0004715664164482991,-0.026322716504334487
s37_confirm06,multiscale_consensus,664,3064,0.20159180552643222,99.41253263707573,-0.001130333955071311,-0.032637075718011666
s37_confirm06,multiscale_matched,664,3064,0.20141756097288757,99.41253263707573,-0.0013045785086159556,-0.032637075718011666
s37_confirm07,multiscale_consensus,712,5904,0.2582170309923897,93.30962059620596,-0.005406541910986995,-0.016937669376693165
s37_confirm07,multiscale_matched,712,5904,0.25801276472363777,93.30962059620596,-0.005610808179738913,-0.016937669376693165
s37_confirm08,multiscale_consensus,817,2595,0.6292039342351092,90.28901734104046,0.003844695312199553,-1.6570327552986486
s37_confirm08,multiscale_matched,817,2595,0.6308078173471643,90.21194605009633,0.005448578424254613,-1.7341040462427793
s37_confirm09,multiscale_consensus,937,3341,0.8203919119665459,71.62526189763544,-0.0032888087243868602,-0.47889853337323984
s37_confirm09,multiscale_matched,937,3341,0.8219471222616928,71.38581263094882,-0.0017335984292400353,-0.7183478000598598
s37_confirm10,multiscale_consensus,670,3414,0.22329704375981513,99.58992384299941,-0.0013431027425184483,-0.05858230814294041
s37_confirm10,multiscale_matched,670,3414,0.22311534728817872,99.58992384299941,-0.0015247992141548539,-0.05858230814294041
s37_confirm11,multiscale_consensus,724,4019,0.45290013208349095,99.9253545658124,-0.000938974678020843,0.024881811395871534
s37_confirm11,multiscale_matched,724,4019,0.45298703098674387,99.9253545658124,-0.0008520757747679242,0.024881811395871534
s37_confirm12,multiscale_consensus,591,1323,0.34270229568890576,95.23809523809523,-0.0044156202916875165,0.0
s37_confirm12,multiscale_matched,591,1323,0.34220480460851915,95.23809523809523,-0.004913111372074119,0.0
s37_confirm13,multiscale_consensus,663,1727,0.2538955117436002,99.88419224088014,-0.005314365172170432,0.0
s37_confirm13,multiscale_matched,663,1727,0.25345010623203557,99.88419224088014,-0.005759770683735066,0.0
s37_confirm14,multiscale_consensus,644,713,0.4382953547843052,96.7741935483871,-0.003869478037536178,-0.5610098176718092
s37_confirm14,multiscale_matched,644,713,0.4362639490487543,96.7741935483871,-0.005900883773087062,-0.5610098176718092
s37_confirm15,multiscale_consensus,670,1170,0.30731428588605686,98.88888888888889,-0.001658070073664919,-0.08547008547008517
s37_confirm15,multiscale_matched,670,1170,0.3073260422179639,98.88888888888889,-0.0016463137417578877,-0.08547008547008517
s37_confirm16,multiscale_consensus,656,4603,0.1576645533350869,99.54377579839235,-0.0013537563586577261,-0.06517488594395271
s37_confirm16,multiscale_matched,656,4603,0.15772191018911783,99.54377579839235,-0.0012963995046267884,-0.06517488594395271
s37_confirm17,multiscale_consensus,658,2187,0.33565320497834994,99.13122999542753,0.000411971266249922,0.0
s37_confirm17,multiscale_matched,658,2187,0.33561020362032695,99.13122999542753,0.00036896990822693487,0.0
s37_confirm18,multiscale_consensus,831,1082,0.49297554769551505,77.63401109057301,-0.004660919613184877,0.27726432532346745
s37_confirm18,multiscale_matched,831,1082,0.49279297334435995,77.54158964879852,-0.004843493964339973,0.1848428835489857
s37_confirm19,multiscale_consensus,687,3439,0.307457355530307,100.0,0.0002712702979951742,0.0
s37_confirm19,multiscale_matched,687,3439,0.3073373137648362,100.0,0.0001512285325243612,0.0
s37_confirm20,multiscale_consensus,655,3056,0.37550063615699253,100.0,0.0002945819469516442,0.0
s37_confirm20,multiscale_matched,655,3056,0.3754643316535408,100.0,0.0002582774434999324,0.0
s37_confirm21,multiscale_consensus,669,3594,0.28651521389325885,94.49081803005008,-0.0011647340876813073,0.16694490818029983
s37_confirm21,multiscale_matched,669,3594,0.286546753229527,94.4629938786867,-0.001133194751413158,0.13912075681691283
s37_confirm22,multiscale_consensus,737,2936,0.2992959026953949,99.65940054495913,-0.0016245169667234993,-0.03405994550408353
s37_confirm22,multiscale_matched,737,2936,0.2997484620870422,99.65940054495913,-0.0011719575750762101,-0.03405994550408353
s37_confirm23,multiscale_consensus,671,4915,0.24445702025560384,93.89623601220752,-0.0013169300307728227,-0.18311291963377663
s37_confirm23,multiscale_matched,671,4915,0.2443413372340684,93.95727365208545,-0.001432613052308268,-0.12207527975585108
