key,fbig,calibration,arm,subset,n,weighted_delta
confirmation_seed701_fbig0.01_exch,0.01,exch,identity,base,17223,0.0
confirmation_seed701_fbig0.01_exch,0.01,exch,identity,big,237,0.0
confirmation_seed701_fbig0.01_exch,0.01,exch,identity,misfit,540,0.0
confirmation_seed701_fbig0.01_exch,0.01,exch,identity,twosheet_back,1000,0.0
confirmation_seed701_fbig0.01_exch,0.01,exch,identity,twosheet_front,1000,0.0
confirmation_seed701_fbig0.01_exch,0.01,exch,test_projection,base,17223,0.03671294385572614
confirmation_seed701_fbig0.01_exch,0.01,exch,test_projection,big,237,-0.03147543494347959
confirmation_seed701_fbig0.01_exch,0.01,exch,test_projection,misfit,540,0.0
confirmation_seed701_fbig0.01_exch,0.01,exch,test_projection,twosheet_back,1000,0.17887366278192227
confirmation_seed701_fbig0.01_exch,0.01,exch,test_projection,twosheet_front,1000,-0.00017971464412696122
confirmation_seed701_fbig0.01_exch,0.01,exch,test_veto_projection,base,17223,-0.003981345533142719
confirmation_seed701_fbig0.01_exch,0.01,exch,test_veto_projection,big,237,-0.01460608801159937
confirmation_seed701_fbig0.01_exch,0.01,exch,test_veto_projection,misfit,540,0.0
confirmation_seed701_fbig0.01_exch,0.01,exch,test_veto_projection,twosheet_back,1000,0.018891040630697443
confirmation_seed701_fbig0.01_exch,0.01,exch,test_veto_projection,twosheet_front,1000,-0.00028046987200618
confirmation_seed701_fbig0.01_exch,0.01,exch,anchor1_projection,base,17223,0.00250016498530833
confirmation_seed701_fbig0.01_exch,0.01,exch,anchor1_projection,big,237,-0.027242424255409084
confirmation_seed701_fbig0.01_exch,0.01,exch,anchor1_projection,misfit,540,0.0
confirmation_seed701_fbig0.01_exch,0.01,exch,anchor1_projection,twosheet_back,1000,0.04753494872965772
confirmation_seed701_fbig0.01_exch,0.01,exch,anchor1_projection,twosheet_front,1000,-0.00017971464412696122
confirmation_seed701_fbig0.01_exch,0.01,exch,anchor1_argmin,base,17223,0.009858017121756175
confirmation_seed701_fbig0.01_exch,0.01,exch,anchor1_argmin,big,237,-0.028685978208090854
confirmation_seed701_fbig0.01_exch,0.01,exch,anchor1_argmin,misfit,540,0.0
confirmation_seed701_fbig0.01_exch,0.01,exch,anchor1_argmin,twosheet_back,1000,0.05156363424439193
confirmation_seed701_fbig0.01_exch,0.01,exch,anchor1_argmin,twosheet_front,1000,0.00034286495979500537
confirmation_seed701_fbig0.01_exch,0.01,exch,anchor2_projection,base,17223,-0.0019091880951897593
confirmation_seed701_fbig0.01_exch,0.01,exch,anchor2_projection,big,237,-0.023332885794549604
confirmation_seed701_fbig0.01_exch,0.01,exch,anchor2_projection,misfit,540,0.0
confirmation_seed701_fbig0.01_exch,0.01,exch,anchor2_projection,twosheet_back,1000,0.031118524294262092
confirmation_seed701_fbig0.01_exch,0.01,exch,anchor2_projection,twosheet_front,1000,-0.00017971464412696122
confirmation_seed701_fbig0.01_sfm,0.01,sfm,identity,base,17223,0.0
confirmation_seed701_fbig0.01_sfm,0.01,sfm,identity,big,237,0.0
confirmation_seed701_fbig0.01_sfm,0.01,sfm,identity,misfit,540,0.0
confirmation_seed701_fbig0.01_sfm,0.01,sfm,identity,twosheet_back,1000,0.0
confirmation_seed701_fbig0.01_sfm,0.01,sfm,identity,twosheet_front,1000,0.0
confirmation_seed701_fbig0.01_sfm,0.01,sfm,test_projection,base,17223,0.3563102255302392
confirmation_seed701_fbig0.01_sfm,0.01,sfm,test_projection,big,237,-0.03656302201357641
confirmation_seed701_fbig0.01_sfm,0.01,sfm,test_projection,misfit,540,0.0
