family,target_id,target_mask,regime,m,rep,method,pred_mask,budget,planner,actual_error,predicted_error,oracle_error,excess_error,high_bit_error,program_error,action_mask
affine,affine_00,3855,uniform,8,0,exact,3855,2,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,0,exact,3855,2,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,0,exact,3855,3,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,0,exact,3855,3,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,0,exact,3855,4,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,0,exact,3855,4,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,0,affine,3855,2,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,0,affine,3855,2,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,0,affine,3855,3,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,0,affine,3855,3,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,0,affine,3855,4,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,0,affine,3855,4,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,0,prefix32,3855,2,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,0,prefix32,3855,2,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,0,prefix32,3855,3,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,0,prefix32,3855,3,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,0,prefix32,3855,4,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,0,prefix32,3855,4,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,0,exact,3855,2,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,0,exact,3855,2,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,0,exact,3855,3,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,0,exact,3855,3,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,0,exact,3855,4,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,0,exact,3855,4,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,0,affine,3855,2,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,0,affine,3855,2,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,0,affine,3855,3,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,0,affine,3855,3,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,0,affine,3855,4,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,0,affine,3855,4,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,0,prefix32,3855,2,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,0,prefix32,3855,2,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,0,prefix32,3855,3,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,0,prefix32,3855,3,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,0,prefix32,3855,4,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,0,prefix32,3855,4,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,1,exact,3855,2,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,1,exact,3855,2,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,1,exact,3855,3,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,1,exact,3855,3,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,1,exact,3855,4,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,1,exact,3855,4,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,1,affine,3855,2,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,1,affine,3855,2,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,1,affine,3855,3,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,1,affine,3855,3,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,1,affine,3855,4,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,1,affine,3855,4,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,1,prefix32,3855,2,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,1,prefix32,3855,2,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,1,prefix32,3855,3,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,1,prefix32,3855,3,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,1,prefix32,3855,4,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,1,prefix32,3855,4,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,1,exact,3855,2,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,1,exact,3855,2,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,1,exact,3855,3,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,1,exact,3855,3,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,1,exact,3855,4,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,1,exact,3855,4,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,1,affine,3855,2,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,1,affine,3855,2,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,1,affine,3855,3,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,1,affine,3855,3,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,1,affine,3855,4,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,1,affine,3855,4,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,1,prefix32,3855,2,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,1,prefix32,3855,2,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,1,prefix32,3855,3,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,1,prefix32,3855,3,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,1,prefix32,3855,4,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,1,prefix32,3855,4,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,2,exact,3855,2,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,2,exact,3855,2,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,2,exact,3855,3,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,2,exact,3855,3,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,2,exact,3855,4,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,2,exact,3855,4,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,2,affine,3855,2,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,2,affine,3855,2,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,2,affine,3855,3,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,2,affine,3855,3,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,2,affine,3855,4,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,2,affine,3855,4,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,2,prefix32,3855,2,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,2,prefix32,3855,2,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,2,prefix32,3855,3,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,2,prefix32,3855,3,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,2,prefix32,3855,4,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,2,prefix32,3855,4,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,2,exact,3855,2,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,2,exact,3855,2,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,2,exact,3855,3,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,2,exact,3855,3,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,2,exact,3855,4,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,2,exact,3855,4,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,2,affine,3855,2,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,2,affine,3855,2,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,2,affine,3855,3,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,2,affine,3855,3,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,2,affine,3855,4,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,2,affine,3855,4,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,2,prefix32,3855,2,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,2,prefix32,3855,2,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,2,prefix32,3855,3,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,2,prefix32,3855,3,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,2,prefix32,3855,4,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,2,prefix32,3855,4,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,3,exact,3855,2,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,3,exact,3855,2,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,3,exact,3855,3,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,3,exact,3855,3,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,3,exact,3855,4,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,3,exact,3855,4,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,3,affine,3855,2,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,3,affine,3855,2,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,3,affine,3855,3,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,3,affine,3855,3,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,3,affine,3855,4,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,3,affine,3855,4,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,3,prefix32,3855,2,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,3,prefix32,3855,2,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,3,prefix32,3855,3,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,3,prefix32,3855,3,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,3,prefix32,3855,4,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,8,3,prefix32,3855,4,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,3,exact,3855,2,adaptive,0.0,0.0,0.0,0.0,0.0,0.0,3855
affine,affine_00,3855,uniform,32,3,exact,3855,2,batch,0.0,0.0,0.0,0.0,0.0,0.0,3855
