family,target_id,target_mask,regime,m,rep,method,pred_mask,train_error,test_error,full_domain_error,unseen_error,seen_error,consistent,candidate_set_support_failure,representation_support_failure,search_budget_failure,support_status,candidate_checks,seen_unique,unseen_count,duplicate_training_draws,expression,gates,fit_seconds
affine,affine_00,3855,uniform,4,0,exact,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,3000,3,13,1,!x2,0,0.0002551279994804645
affine,affine_00,3855,uniform,4,0,affine,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,3,13,1,!x2,0,4.312800047046039e-05
affine,affine_00,3855,uniform,4,0,prefix32,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,3,13,1,!x2,0,4.658599937101826e-05
affine,affine_00,3855,uniform,8,0,exact,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,3000,5,11,3,!x2,0,0.00019274999976914842
affine,affine_00,3855,uniform,8,0,affine,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,5,11,3,!x2,0,3.768299939110875e-05
affine,affine_00,3855,uniform,8,0,prefix32,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,5,11,3,!x2,0,3.741699947568122e-05
affine,affine_00,3855,uniform,16,0,exact,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,3000,9,7,7,!x2,0,0.0001776549997885013
affine,affine_00,3855,uniform,16,0,affine,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,9,7,7,!x2,0,3.799700061790645e-05
affine,affine_00,3855,uniform,16,0,prefix32,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,9,7,7,!x2,0,3.8039001083234325e-05
affine,affine_00,3855,uniform,32,0,exact,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,3000,14,2,18,!x2,0,0.00019160800002282485
affine,affine_00,3855,uniform,32,0,affine,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,14,2,18,!x2,0,3.879300129483454e-05
affine,affine_00,3855,uniform,32,0,prefix32,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,14,2,18,!x2,0,3.874600042763632e-05
affine,affine_00,3855,uniform,4,1,exact,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,3000,3,13,1,!x2,0,0.0002046390000032261
affine,affine_00,3855,uniform,4,1,affine,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,3,13,1,!x2,0,3.630699939094484e-05
affine,affine_00,3855,uniform,4,1,prefix32,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,3,13,1,!x2,0,3.5414999729255214e-05
affine,affine_00,3855,uniform,8,1,exact,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,3000,7,9,1,!x2,0,0.00016930799938563723
affine,affine_00,3855,uniform,8,1,affine,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,7,9,1,!x2,0,3.6101000659982674e-05
affine,affine_00,3855,uniform,8,1,prefix32,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,7,9,1,!x2,0,3.537299926392734e-05
affine,affine_00,3855,uniform,16,1,exact,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,3000,11,5,5,!x2,0,0.00017419600044377148
affine,affine_00,3855,uniform,16,1,affine,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,11,5,5,!x2,0,4.417200034367852e-05
affine,affine_00,3855,uniform,16,1,prefix32,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,11,5,5,!x2,0,4.39670002378989e-05
affine,affine_00,3855,uniform,32,1,exact,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,3000,15,1,17,!x2,0,0.00017226800082426053
affine,affine_00,3855,uniform,32,1,affine,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,15,1,17,!x2,0,4.4927000999450684e-05
affine,affine_00,3855,uniform,32,1,prefix32,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,15,1,17,!x2,0,4.678100049204659e-05
affine,affine_00,3855,uniform,4,2,exact,21845,0.0,0.5,0.5,0.6153846153846154,0.0,1,0,0,0,consistent,3000,3,13,1,!x0,0,0.0002093900002364535
affine,affine_00,3855,uniform,4,2,affine,21845,0.0,0.5,0.5,0.6153846153846154,0.0,1,0,0,0,consistent,32,3,13,1,!x0,0,4.3709998863050714e-05
affine,affine_00,3855,uniform,4,2,prefix32,21845,0.0,0.5,0.5,0.6153846153846154,0.0,1,0,0,0,consistent,32,3,13,1,!x0,0,4.372100011096336e-05
affine,affine_00,3855,uniform,8,2,exact,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,3000,6,10,2,!x2,0,0.00018006699974648654
affine,affine_00,3855,uniform,8,2,affine,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,6,10,2,!x2,0,4.339500083005987e-05
affine,affine_00,3855,uniform,8,2,prefix32,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,6,10,2,!x2,0,4.313200042815879e-05
affine,affine_00,3855,uniform,16,2,exact,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,3000,8,8,8,!x2,0,0.0001754099994286662
affine,affine_00,3855,uniform,16,2,affine,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,8,8,8,!x2,0,4.3682000978151336e-05
affine,affine_00,3855,uniform,16,2,prefix32,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,8,8,8,!x2,0,4.366000030131545e-05
affine,affine_00,3855,uniform,32,2,exact,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,3000,14,2,18,!x2,0,0.00017837599989434239
affine,affine_00,3855,uniform,32,2,affine,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,14,2,18,!x2,0,3.824299892585259e-05
affine,affine_00,3855,uniform,32,2,prefix32,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,14,2,18,!x2,0,3.7926000004517846e-05
affine,affine_00,3855,uniform,4,3,exact,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,3000,4,12,0,!x2,0,0.00021113199909450486
affine,affine_00,3855,uniform,4,3,affine,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,4,12,0,!x2,0,3.680600093503017e-05
affine,affine_00,3855,uniform,4,3,prefix32,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,4,12,0,!x2,0,3.657199886220042e-05
affine,affine_00,3855,uniform,8,3,exact,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,3000,6,10,2,!x2,0,0.00019907599926227704
affine,affine_00,3855,uniform,8,3,affine,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,6,10,2,!x2,0,3.651000042736996e-05
affine,affine_00,3855,uniform,8,3,prefix32,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,6,10,2,!x2,0,3.6532999729388393e-05
affine,affine_00,3855,uniform,16,3,exact,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,3000,10,6,6,!x2,0,0.00019687799976964016
affine,affine_00,3855,uniform,16,3,affine,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,10,6,6,!x2,0,3.813199873548001e-05
affine,affine_00,3855,uniform,16,3,prefix32,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,10,6,6,!x2,0,3.5400000342633575e-05
affine,affine_00,3855,uniform,32,3,exact,3855,0.0,0.0,0.0,,0.0,1,0,0,0,consistent,3000,16,0,16,!x2,0,0.00017518200002086814
affine,affine_00,3855,uniform,32,3,affine,3855,0.0,0.0,0.0,,0.0,1,0,0,0,consistent,32,16,0,16,!x2,0,3.669199941214174e-05
affine,affine_00,3855,uniform,32,3,prefix32,3855,0.0,0.0,0.0,,0.0,1,0,0,0,consistent,32,16,0,16,!x2,0,3.6657000237028114e-05
affine,affine_00,3855,uniform,4,4,exact,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,3000,4,12,0,!x2,0,0.00019096899995929562
affine,affine_00,3855,uniform,4,4,affine,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,4,12,0,!x2,0,3.5122000554110855e-05
affine,affine_00,3855,uniform,4,4,prefix32,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,4,12,0,!x2,0,3.471799936960451e-05
affine,affine_00,3855,uniform,8,4,exact,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,3000,6,10,2,!x2,0,0.00018622499919729307
affine,affine_00,3855,uniform,8,4,affine,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,6,10,2,!x2,0,3.724300040630624e-05
affine,affine_00,3855,uniform,8,4,prefix32,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,6,10,2,!x2,0,3.696000021591317e-05
affine,affine_00,3855,uniform,16,4,exact,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,3000,10,6,6,!x2,0,0.0001820779998524813
affine,affine_00,3855,uniform,16,4,affine,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,10,6,6,!x2,0,3.648699930636212e-05
affine,affine_00,3855,uniform,16,4,prefix32,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,10,6,6,!x2,0,3.6679000913864e-05
affine,affine_00,3855,uniform,32,4,exact,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,3000,15,1,17,!x2,0,0.00016946999858191703
affine,affine_00,3855,uniform,32,4,affine,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,15,1,17,!x2,0,3.744300011021551e-05
affine,affine_00,3855,uniform,32,4,prefix32,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,15,1,17,!x2,0,3.7169000279391184e-05
affine,affine_00,3855,uniform,4,5,exact,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,3000,4,12,0,!x2,0,0.00020070900063728914
affine,affine_00,3855,uniform,4,5,affine,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,4,12,0,!x2,0,3.6589999581337906e-05
affine,affine_00,3855,uniform,4,5,prefix32,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,4,12,0,!x2,0,3.630600076576229e-05
affine,affine_00,3855,uniform,8,5,exact,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,3000,6,10,2,!x2,0,0.00017675600065558683
affine,affine_00,3855,uniform,8,5,affine,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,6,10,2,!x2,0,3.65229989256477e-05
affine,affine_00,3855,uniform,8,5,prefix32,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,6,10,2,!x2,0,3.639399983512703e-05
affine,affine_00,3855,uniform,16,5,exact,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,3000,9,7,7,!x2,0,0.00017704800120554864
affine,affine_00,3855,uniform,16,5,affine,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,9,7,7,!x2,0,3.6240000554244034e-05
affine,affine_00,3855,uniform,16,5,prefix32,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,9,7,7,!x2,0,3.596699934860226e-05
affine,affine_00,3855,uniform,32,5,exact,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,3000,15,1,17,!x2,0,0.00017743699936545454
affine,affine_00,3855,uniform,32,5,affine,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,15,1,17,!x2,0,3.716500032169279e-05
affine,affine_00,3855,uniform,32,5,prefix32,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,15,1,17,!x2,0,3.720299901033286e-05
affine,affine_00,3855,uniform,4,6,exact,13107,0.0,0.5,0.5,0.6153846153846154,0.0,1,0,0,0,consistent,3000,3,13,1,!x1,0,0.00022448799973062705
affine,affine_00,3855,uniform,4,6,affine,13107,0.0,0.5,0.5,0.6153846153846154,0.0,1,0,0,0,consistent,32,3,13,1,!x1,0,3.57449989678571e-05
affine,affine_00,3855,uniform,4,6,prefix32,13107,0.0,0.5,0.5,0.6153846153846154,0.0,1,0,0,0,consistent,32,3,13,1,!x1,0,3.5880000723409466e-05
affine,affine_00,3855,uniform,8,6,exact,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,3000,6,10,2,!x2,0,0.00018964999981108122
affine,affine_00,3855,uniform,8,6,affine,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,6,10,2,!x2,0,3.668200042739045e-05
affine,affine_00,3855,uniform,8,6,prefix32,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,6,10,2,!x2,0,3.660100082925055e-05
affine,affine_00,3855,uniform,16,6,exact,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,3000,9,7,7,!x2,0,0.0001727110011415789
affine,affine_00,3855,uniform,16,6,affine,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,9,7,7,!x2,0,3.6961999285267666e-05
affine,affine_00,3855,uniform,16,6,prefix32,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,9,7,7,!x2,0,3.6839999665971845e-05
affine,affine_00,3855,uniform,32,6,exact,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,3000,11,5,21,!x2,0,0.00017166500038001686
affine,affine_00,3855,uniform,32,6,affine,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,11,5,21,!x2,0,3.786100023717154e-05
affine,affine_00,3855,uniform,32,6,prefix32,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,11,5,21,!x2,0,3.766900044865906e-05
affine,affine_00,3855,uniform,4,7,exact,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,3000,4,12,0,!x2,0,0.00018499299949326087
affine,affine_00,3855,uniform,4,7,affine,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,4,12,0,!x2,0,3.6530000215861946e-05
affine,affine_00,3855,uniform,4,7,prefix32,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,4,12,0,!x2,0,3.606999962357804e-05
affine,affine_00,3855,uniform,8,7,exact,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,3000,7,9,1,!x2,0,0.0001767939993442269
affine,affine_00,3855,uniform,8,7,affine,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,7,9,1,!x2,0,3.729100171767641e-05
affine,affine_00,3855,uniform,8,7,prefix32,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,7,9,1,!x2,0,3.723299960256554e-05
affine,affine_00,3855,uniform,16,7,exact,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,3000,11,5,5,!x2,0,0.00016781699923740234
affine,affine_00,3855,uniform,16,7,affine,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,11,5,5,!x2,0,3.787400055443868e-05
affine,affine_00,3855,uniform,16,7,prefix32,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,11,5,5,!x2,0,3.717299841810018e-05
affine,affine_00,3855,uniform,32,7,exact,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,3000,12,4,20,!x2,0,0.0001680450004641898
affine,affine_00,3855,uniform,32,7,affine,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,12,4,20,!x2,0,3.807400025834795e-05
affine,affine_00,3855,uniform,32,7,prefix32,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,12,4,20,!x2,0,3.812400063907262e-05
affine,affine_00,3855,shift_x3,4,0,exact,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,3000,4,12,0,!x2,0,0.00020957099877705332
affine,affine_00,3855,shift_x3,4,0,affine,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,4,12,0,!x2,0,4.468000042834319e-05
affine,affine_00,3855,shift_x3,4,0,prefix32,3855,0.0,0.0,0.0,0.0,0.0,1,0,0,0,consistent,32,4,12,0,!x2,0,4.7915000322973356e-05
