case,goal_id,family,goal_mask,method,budget,allowed_bits,costs,removed_bit,error,error_count,mean_query_cost,max_query_cost,mean_query_count,runtime_seconds,counts
primary,mux_00,multiplexer,58596,adaptive,0,0|1|2|3,1|1|1|1,,0.5,8,0.0,0,0.0,2.460300129314419e-05,"{""cache_hits"": 0, ""query_candidates"": 0, ""states"": 1, ""terminal_evaluations"": 1}"
primary,mux_00,multiplexer,58596,open_loop,0,0|1|2|3,1|1|1|1,,0.5,8,0.0,0,0.0,2.0120000044698827e-05,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 1, ""tree_nodes"": 1}"
primary,mux_00,multiplexer,58596,fixed_prefix,0,0|1|2|3,1|1|1|1,,0.5,8,0.0,0,0.0,7.35100002202671e-06,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 1, ""tree_nodes"": 1}"
primary,mux_00,multiplexer,58596,adaptive,1,0|1|2|3,1|1|1|1,,0.25,4,1.0,1,1.0,2.7351999960956164e-05,"{""cache_hits"": 0, ""query_candidates"": 4, ""states"": 9, ""terminal_evaluations"": 9}"
primary,mux_00,multiplexer,58596,open_loop,1,0|1|2|3,1|1|1|1,,0.25,4,1.0,1,1.0,2.0737999875564128e-05,"{""subsets_evaluated"": 5, ""terminal_evaluations"": 9, ""tree_nodes"": 13}"
primary,mux_00,multiplexer,58596,fixed_prefix,1,0|1|2|3,1|1|1|1,,0.5,8,1.0,1,1.0,7.385999197140336e-06,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 2, ""tree_nodes"": 3}"
primary,mux_00,multiplexer,58596,adaptive,2,0|1|2|3,1|1|1|1,,0.0,0,2.0,2,2.0,4.69169990537921e-05,"{""cache_hits"": 24, ""query_candidates"": 28, ""states"": 33, ""terminal_evaluations"": 33}"
primary,mux_00,multiplexer,58596,open_loop,2,0|1|2|3,1|1|1|1,,0.25,4,1.0,1,1.0,2.7415000658947974e-05,"{""subsets_evaluated"": 11, ""terminal_evaluations"": 33, ""tree_nodes"": 55}"
primary,mux_00,multiplexer,58596,fixed_prefix,2,0|1|2|3,1|1|1|1,,0.25,4,2.0,2,2.0,7.767001079628244e-06,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 4, ""tree_nodes"": 7}"
primary,mux_00,multiplexer,58596,adaptive,3,0|1|2|3,1|1|1|1,,0.0,0,2.5,3,2.5,8.829699982015882e-05,"{""cache_hits"": 88, ""query_candidates"": 76, ""states"": 65, ""terminal_evaluations"": 65}"
primary,mux_00,multiplexer,58596,open_loop,3,0|1|2|3,1|1|1|1,,0.0,0,3.0,3,3.0,4.294800055504311e-05,"{""subsets_evaluated"": 15, ""terminal_evaluations"": 65, ""tree_nodes"": 115}"
primary,mux_00,multiplexer,58596,fixed_prefix,3,0|1|2|3,1|1|1|1,,0.0,0,3.0,3,3.0,9.213999874191359e-06,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 8, ""tree_nodes"": 15}"
primary,mux_00,multiplexer,58596,adaptive,4,0|1|2|3,1|1|1|1,,0.0,0,2.5,3,2.5,0.00011248800001339987,"{""cache_hits"": 136, ""query_candidates"": 108, ""states"": 81, ""terminal_evaluations"": 81}"
primary,mux_00,multiplexer,58596,open_loop,4,0|1|2|3,1|1|1|1,,0.0,0,3.0,3,3.0,5.072599924460519e-05,"{""subsets_evaluated"": 16, ""terminal_evaluations"": 81, ""tree_nodes"": 146}"
primary,mux_00,multiplexer,58596,fixed_prefix,4,0|1|2|3,1|1|1|1,,0.0,0,4.0,4,4.0,1.2649999916902743e-05,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 16, ""tree_nodes"": 31}"
nonunit_costs,mux_00,multiplexer,58596,adaptive,0,0|1|2|3,1|2|3|4,,0.5,8,0.0,0,0.0,8.94699951459188e-06,"{""cache_hits"": 0, ""query_candidates"": 0, ""states"": 1, ""terminal_evaluations"": 1}"
nonunit_costs,mux_00,multiplexer,58596,open_loop,0,0|1|2|3,1|2|3|4,,0.5,8,0.0,0,0.0,1.06229999801144e-05,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 1, ""tree_nodes"": 1}"
nonunit_costs,mux_00,multiplexer,58596,fixed_prefix,0,0|1|2|3,1|2|3|4,,0.5,8,0.0,0,0.0,5.230000169831328e-06,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 1, ""tree_nodes"": 1}"
nonunit_costs,mux_00,multiplexer,58596,adaptive,1,0|1|2|3,1|2|3|4,,0.5,8,0.0,0,0.0,1.0809000741573982e-05,"{""cache_hits"": 0, ""query_candidates"": 1, ""states"": 3, ""terminal_evaluations"": 3}"
nonunit_costs,mux_00,multiplexer,58596,open_loop,1,0|1|2|3,1|2|3|4,,0.5,8,0.0,0,0.0,1.10119999590097e-05,"{""subsets_evaluated"": 2, ""terminal_evaluations"": 3, ""tree_nodes"": 4}"
nonunit_costs,mux_00,multiplexer,58596,fixed_prefix,1,0|1|2|3,1|2|3|4,,0.5,8,1.0,1,1.0,5.576001058216207e-06,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 2, ""tree_nodes"": 3}"
nonunit_costs,mux_00,multiplexer,58596,adaptive,2,0|1|2|3,1|2|3|4,,0.25,4,2.0,2,1.0,1.2489999789977446e-05,"{""cache_hits"": 0, ""query_candidates"": 2, ""states"": 5, ""terminal_evaluations"": 5}"
nonunit_costs,mux_00,multiplexer,58596,open_loop,2,0|1|2|3,1|2|3|4,,0.25,4,2.0,2,1.0,1.1848000212921761e-05,"{""subsets_evaluated"": 3, ""terminal_evaluations"": 5, ""tree_nodes"": 7}"
nonunit_costs,mux_00,multiplexer,58596,fixed_prefix,2,0|1|2|3,1|2|3|4,,0.5,8,1.0,1,1.0,5.902000339119695e-06,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 2, ""tree_nodes"": 3}"
nonunit_costs,mux_00,multiplexer,58596,adaptive,3,0|1|2|3,1|2|3|4,,0.25,4,2.0,3,1.5,2.0475999917834997e-05,"{""cache_hits"": 4, ""query_candidates"": 7, ""states"": 11, ""terminal_evaluations"": 11}"
nonunit_costs,mux_00,multiplexer,58596,open_loop,3,0|1|2|3,1|2|3|4,,0.25,4,2.0,2,1.0,1.5016999896033667e-05,"{""subsets_evaluated"": 5, ""terminal_evaluations"": 11, ""tree_nodes"": 17}"
nonunit_costs,mux_00,multiplexer,58596,fixed_prefix,3,0|1|2|3,1|2|3|4,,0.25,4,3.0,3,2.0,7.220000043162145e-06,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 4, ""tree_nodes"": 7}"
nonunit_costs,mux_00,multiplexer,58596,adaptive,4,0|1|2|3,1|2|3|4,,0.0,0,3.5,4,2.0,2.6663999960874207e-05,"{""cache_hits"": 8, ""query_candidates"": 12, ""states"": 17, ""terminal_evaluations"": 17}"
nonunit_costs,mux_00,multiplexer,58596,open_loop,4,0|1|2|3,1|2|3|4,,0.25,4,2.0,2,1.0,1.8773000192595646e-05,"{""subsets_evaluated"": 7, ""terminal_evaluations"": 17, ""tree_nodes"": 27}"
