family,target_id,target_mask,regime,m,rep,method,pred_mask,budget,canonical_adaptive_error,canonical_batch_error,model_error,model_objective_tied,min_true_error,max_true_error,better_or_equal_batch_optimum_exists
nonlinear_in_grammar,nonlinear_in_grammar_02,63984,uniform,8,0,exact,42480,2,0.375,0.125,0.25,1,0.125,0.5,1
nonlinear_in_grammar,nonlinear_in_grammar_02,63984,uniform,8,2,exact,47940,2,0.5,0.375,0.25,1,0.25,0.625,1
nonlinear_in_grammar,nonlinear_in_grammar_02,63984,uniform,32,2,exact,64500,3,0.25,0.125,0.125,1,0.125,0.25,1
nonlinear_in_grammar,nonlinear_in_grammar_06,11655,uniform,8,3,exact,27045,3,0.375,0.25,0.25,1,0.25,0.5,1
nonlinear_in_grammar,nonlinear_in_grammar_09,31620,uniform,8,7,exact,24480,2,0.375,0.25,0.25,1,0.25,0.5,1
nonlinear_in_grammar,nonlinear_in_grammar_11,35535,uniform,8,1,exact,50886,2,0.5625,0.3125,0.25,1,0.1875,0.5625,1
nonlinear_in_grammar,nonlinear_in_grammar_12,33535,uniform,32,2,exact,32895,3,0.25,0.125,0.125,1,0.125,0.25,1
nonlinear_in_grammar,nonlinear_in_grammar_12,33535,uniform,32,5,exact,33405,2,0.375,0.125,0.25,1,0.125,0.375,1
nonlinear_in_grammar,nonlinear_in_grammar_12,33535,uniform,32,5,exact,33405,3,0.375,0.125,0.25,1,0.125,0.375,1
nonlinear_in_grammar,nonlinear_in_grammar_20,63240,uniform,32,3,exact,30464,2,0.25,0.125,0.125,1,0.125,0.25,1
nonlinear_in_grammar,nonlinear_in_grammar_20,63240,uniform,8,6,exact,30464,2,0.25,0.125,0.125,1,0.125,0.25,1
nonlinear_in_grammar,nonlinear_in_grammar_21,61940,shift_x3,8,1,exact,46260,2,0.375,0.125,0.25,1,0.125,0.5,1
nonlinear_in_grammar,nonlinear_in_grammar_28,65388,shift_x3,8,0,exact,27756,2,0.5,0.375,0.25,1,0.25,0.5,1
nonlinear_in_grammar,nonlinear_in_grammar_28,65388,shift_x3,32,0,exact,27756,2,0.5,0.375,0.25,1,0.25,0.5,1
nonlinear_in_grammar,nonlinear_in_grammar_28,65388,shift_x3,8,1,exact,27756,2,0.5,0.375,0.25,1,0.25,0.5,1
nonlinear_in_grammar,nonlinear_in_grammar_28,65388,shift_x3,32,1,exact,27756,2,0.5,0.375,0.25,1,0.25,0.5,1
nonlinear_in_grammar,nonlinear_in_grammar_28,65388,shift_x3,8,2,exact,27756,2,0.5,0.375,0.25,1,0.25,0.5,1
nonlinear_in_grammar,nonlinear_in_grammar_28,65388,shift_x3,32,2,exact,27756,2,0.5,0.375,0.25,1,0.25,0.5,1
nonlinear_in_grammar,nonlinear_in_grammar_28,65388,shift_x3,8,3,exact,27756,2,0.5,0.375,0.25,1,0.25,0.5,1
nonlinear_in_grammar,nonlinear_in_grammar_28,65388,shift_x3,32,3,exact,27756,2,0.5,0.375,0.25,1,0.25,0.5,1
nonlinear_in_grammar,nonlinear_in_grammar_28,65388,shift_x3,32,4,exact,27756,2,0.5,0.375,0.25,1,0.25,0.5,1
nonlinear_in_grammar,nonlinear_in_grammar_28,65388,shift_x3,32,5,exact,27756,2,0.5,0.375,0.25,1,0.25,0.5,1
nonlinear_in_grammar,nonlinear_in_grammar_28,65388,shift_x3,32,6,exact,27756,2,0.5,0.375,0.25,1,0.25,0.5,1
nonlinear_in_grammar,nonlinear_in_grammar_28,65388,shift_x3,32,7,exact,27756,2,0.5,0.375,0.25,1,0.25,0.5,1
nonlinear_in_grammar,nonlinear_in_grammar_32,4351,uniform,32,1,exact,4335,3,0.1875,0.0625,0.125,1,0.0625,0.1875,1
nonlinear_in_grammar,nonlinear_in_grammar_32,4351,uniform,32,2,exact,20735,2,0.1875,0.0625,0.125,1,0.0625,0.1875,1
nonlinear_in_grammar,nonlinear_in_grammar_33,52991,uniform,8,6,exact,2575,2,0.5625,0.4375,0.125,1,0.3125,0.5625,1
nonlinear_in_grammar,nonlinear_in_grammar_34,47685,uniform,32,2,exact,43621,3,0.25,0.125,0.125,1,0.125,0.25,1
nonlinear_in_grammar,nonlinear_in_grammar_38,27804,shift_x3,8,0,exact,40092,2,0.375,0.25,0.25,1,0.25,0.5,1
nonlinear_in_grammar,nonlinear_in_grammar_38,27804,shift_x3,32,0,exact,40092,2,0.375,0.25,0.25,1,0.25,0.5,1
nonlinear_in_grammar,nonlinear_in_grammar_38,27804,shift_x3,32,1,exact,40092,2,0.375,0.25,0.25,1,0.25,0.5,1
nonlinear_in_grammar,nonlinear_in_grammar_38,27804,shift_x3,32,2,exact,40092,2,0.375,0.25,0.25,1,0.25,0.5,1
nonlinear_in_grammar,nonlinear_in_grammar_38,27804,shift_x3,32,3,exact,40092,2,0.375,0.25,0.25,1,0.25,0.5,1
nonlinear_in_grammar,nonlinear_in_grammar_38,27804,shift_x3,8,4,exact,40092,2,0.375,0.25,0.25,1,0.25,0.5,1
nonlinear_in_grammar,nonlinear_in_grammar_38,27804,shift_x3,32,4,exact,40092,2,0.375,0.25,0.25,1,0.25,0.5,1
nonlinear_in_grammar,nonlinear_in_grammar_38,27804,shift_x3,8,5,exact,40092,2,0.375,0.25,0.25,1,0.25,0.5,1
nonlinear_in_grammar,nonlinear_in_grammar_38,27804,shift_x3,32,5,exact,40092,2,0.375,0.25,0.25,1,0.25,0.5,1
nonlinear_in_grammar,nonlinear_in_grammar_38,27804,shift_x3,32,6,exact,40092,2,0.375,0.25,0.25,1,0.25,0.5,1
nonlinear_in_grammar,nonlinear_in_grammar_38,27804,shift_x3,8,7,exact,40092,2,0.375,0.25,0.25,1,0.25,0.5,1
nonlinear_in_grammar,nonlinear_in_grammar_38,27804,shift_x3,32,7,exact,40092,2,0.375,0.25,0.25,1,0.25,0.5,1
nonlinear_in_grammar,nonlinear_in_grammar_39,61632,uniform,8,2,exact,61520,2,0.25,0.125,0.125,1,0.125,0.25,1
nonlinear_in_grammar,nonlinear_in_grammar_39,61632,uniform,8,4,exact,61132,2,0.5,0.375,0.125,1,0.375,0.5,1
nonlinear_in_grammar,nonlinear_in_grammar_41,65526,shift_x3,8,3,exact,46260,2,0.625,0.375,0.25,1,0.25,0.625,1
nonlinear_in_grammar,nonlinear_in_grammar_41,65526,shift_x3,8,7,exact,53970,2,0.625,0.375,0.25,1,0.25,0.625,1
nonlinear_in_grammar,nonlinear_in_grammar_42,12563,uniform,8,4,exact,42390,3,0.625,0.5,0.25,1,0.125,0.625,1
out_of_grammar,out_of_grammar_00,19389,uniform,8,2,exact,2805,2,0.5,0.375,0.25,1,0.25,0.5,1
out_of_grammar,out_of_grammar_04,50899,uniform,8,0,exact,52377,2,0.5625,0.4375,0.25,1,0.3125,0.5625,1
out_of_grammar,out_of_grammar_04,50899,shift_x3,32,0,exact,54227,2,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_04,50899,shift_x3,32,1,exact,54227,2,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_04,50899,shift_x3,32,2,exact,54227,2,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_04,50899,shift_x3,32,3,exact,54227,2,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_04,50899,shift_x3,32,4,exact,54227,2,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_04,50899,shift_x3,32,6,exact,54227,2,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_04,50899,shift_x3,32,7,exact,54227,2,0.3125,0.1875,0.125,1,0.1875,0.3125,1
out_of_grammar,out_of_grammar_05,21355,uniform,8,6,exact,25443,2,0.4375,0.3125,0.25,1,0.1875,0.4375,1
out_of_grammar,out_of_grammar_05,21355,uniform,32,6,exact,25443,2,0.4375,0.3125,0.25,1,0.1875,0.4375,1
out_of_grammar,out_of_grammar_05,21355,shift_x3,32,3,exact,25443,2,0.4375,0.3125,0.25,1,0.1875,0.4375,1
out_of_grammar,out_of_grammar_05,21355,shift_x3,32,4,exact,25443,2,0.4375,0.3125,0.25,1,0.1875,0.4375,1
out_of_grammar,out_of_grammar_06,44822,uniform,8,2,exact,7710,2,0.4375,0.3125,0.25,1,0.3125,0.5625,1
out_of_grammar,out_of_grammar_06,44822,uniform,32,7,exact,43350,3,0.4375,0.3125,0.25,1,0.1875,0.4375,1
out_of_grammar,out_of_grammar_06,44822,shift_x3,32,6,exact,7710,2,0.4375,0.3125,0.25,1,0.3125,0.5625,1
out_of_grammar,out_of_grammar_07,58161,shift_x3,32,1,exact,12593,2,0.375,0.25,0.125,1,0.25,0.375,1
out_of_grammar,out_of_grammar_07,58161,shift_x3,32,2,exact,12593,2,0.375,0.25,0.125,1,0.25,0.375,1
