pred_mask,target_mask,budget,multiplicity,model_error,min_true_error,max_true_error,states,runtime_seconds
86,36951,3,1,0.125,0.0625,0.3125,130,0.00017103300160670187
270,33167,3,1,0.125,0.1875,0.3125,130,0.0001727500002743909
1530,33150,2,1,0.25,0.25,0.5,66,0.00010504199963179417
1799,6919,2,9,0.125,0.1875,0.3125,66,9.552099982101936e-05
2575,52991,2,1,0.125,0.3125,0.5625,66,0.00010180999925069045
2805,19389,2,1,0.25,0.25,0.5,66,9.153099927061703e-05
3341,24333,2,8,0.125,0.1875,0.3125,66,9.207100083585829e-05
4335,4351,3,1,0.125,0.0625,0.1875,130,0.00017375799870933406
4883,45979,2,1,0.125,0.25,0.375,66,0.00010683100117603317
5180,6268,3,1,0.125,0.1875,0.3125,130,0.0001916979999805335
7710,44822,2,2,0.25,0.3125,0.5625,66,9.458599924982991e-05
12593,58161,2,6,0.125,0.25,0.375,66,0.00010136200035049114
13073,9145,2,1,0.125,0.25,0.375,66,0.00010179799937759526
13209,9145,2,5,0.25,0.25,0.375,66,0.00011385499965399504
13209,45979,2,1,0.25,0.125,0.375,66,9.826300083659589e-05
14649,9145,2,2,0.25,0.25,0.5,66,9.563200001139194e-05
17595,50683,2,1,0.25,0.1875,0.4375,66,9.9804999990738e-05
20735,4351,2,1,0.125,0.0625,0.1875,66,9.085400051844772e-05
22950,32182,3,1,0.25,0.3125,0.4375,130,0.0001695200007816311
23135,6878,2,1,0.125,0.1875,0.3125,66,9.443400085729081e-05
24480,31620,2,1,0.25,0.25,0.5,66,9.674299872131087e-05
25443,21355,2,4,0.25,0.1875,0.4375,66,8.990499918581918e-05
26316,59659,2,1,0.25,0.5,0.625,66,0.00010087500049849041
27045,11655,3,1,0.25,0.25,0.5,130,0.00018106999959854875
27285,27351,3,1,0.25,0.25,0.375,130,0.00018378700042376295
27756,65388,2,12,0.25,0.25,0.5,66,9.120899994741194e-05
30326,16510,2,1,0.125,0.3125,0.4375,66,9.369800136482809e-05
30464,63240,2,2,0.125,0.125,0.25,66,9.224999848811422e-05
30840,61566,2,1,0.25,0.25,0.375,66,8.779100062383804e-05
31868,6268,2,7,0.125,0.1875,0.3125,66,0.00010539899994910229
32895,33535,3,1,0.125,0.125,0.25,130,0.00017728999955579638
33405,33535,2,1,0.25,0.125,0.375,66,9.107000005315058e-05
33405,33535,3,1,0.25,0.125,0.375,130,0.00017822600057115778
34935,33150,2,1,0.25,0.25,0.5,66,0.00011391800035198685
37779,9394,2,1,0.25,0.375,0.625,66,9.531999967293814e-05
37779,45979,2,2,0.25,0.125,0.375,66,9.872900045593269e-05
40092,27804,2,12,0.25,0.25,0.5,66,9.143799979938194e-05
42390,12563,3,1,0.25,0.125,0.625,130,0.00017855899932328612
42480,63984,2,1,0.25,0.125,0.5,66,0.00016466600027342793
43350,44822,3,1,0.25,0.1875,0.4375,130,0.00017784800002118573
43621,47685,3,1,0.125,0.125,0.25,130,0.00017700599892123137
46260,32182,2,6,0.25,0.3125,0.5625,66,9.014100032800343e-05
46260,61940,2,1,0.25,0.125,0.5,66,9.161900015897118e-05
46260,65526,2,1,0.25,0.25,0.625,66,9.008199958771002e-05
47940,63984,2,1,0.25,0.25,0.625,66,0.00010550399929343257
49985,50113,3,1,0.125,0.0625,0.1875,130,0.00017897900033858605
50025,50113,3,1,0.25,0.0625,0.4375,130,0.0001901460000226507
50121,50113,3,3,0.125,0.0625,0.1875,130,0.00019312800031912047
50886,35535,2,1,0.25,0.1875,0.5625,66,9.174200022243895e-05
50886,48854,2,1,0.25,0.3125,0.5625,66,9.142800081463065e-05
52377,50899,2,1,0.25,0.3125,0.5625,66,8.930900003178976e-05
53970,65526,2,1,0.25,0.25,0.625,66,9.004599996842444e-05
54227,50899,2,7,0.125,0.1875,0.3125,66,9.218800005328376e-05
61132,61632,2,1,0.125,0.375,0.5,66,9.408099867869169e-05
61470,53294,3,1,0.125,0.0625,0.3125,130,0.00018565699974715244
61520,61632,2,1,0.125,0.125,0.25,66,9.200899876304902e-05
61530,61566,2,1,0.25,0.125,0.375,66,9.110300015890971e-05
62194,9394,2,1,0.125,0.375,0.5,66,9.309400047641248e-05
64500,63984,3,1,0.125,0.125,0.25,130,0.0001841120010794839
