scene,role,roi,condition,arm,n_rows,n_source,n_output_eval,n_reference,source_MSE_mm2,source_MAE_mm,source_p95_mm,improved_fraction,harmed_fraction,unchanged_band_fraction,benefit_sum_mm2,harm_sum_mm2,accepted_fraction,moved_fraction,move_RMS_mm,lost_source_fraction,E_sym_mm,accuracy_mm,completeness_mm,precision_1mm,recall_1mm,fscore_1mm,p95_mm,status
40,adaptation,scan40_roi0,native,identity,42123,42073,20599,126727,0.2681022944972501,0.38267215497418355,0.6552677234462188,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.497941039451403,0.42013978323851353,28.57574229566429,0.9641730181076751,0.2266525681188697,0.3670265288093197,0.7311488279919898,SCORED
40,adaptation,scan40_roi0,native,A_all,42123,42073,21335,126727,1.2138186276636684,0.864627588445067,1.9866175304067548,0.07011622655860053,0.7008295106125069,0.22905426282889263,2347.3958763194637,42136.51916163018,1.0,0.9993352800132944,2.567301554671192,0.004064364319159556,14.47653269853934,0.86306971532831,28.08999568175037,0.6996953363018514,0.1872529137437168,0.29543998863221205,1.948998322554333,SCORED
40,adaptation,scan40_roi0,native,B_all,42123,42073,21112,126727,0.9348384687581429,0.7854122865398018,1.6872032093532634,0.0843296175694626,0.676300715423193,0.23936966700734438,3150.218801007089,31201.80986068563,1.0,0.9989079600218408,2.4188863168778254,0.0037078411332683667,14.451901138554584,0.7874249627770189,28.116377314332148,0.7278325123152709,0.1909932374316444,0.30258422312041316,1.6843818328663482,SCORED
40,adaptation,scan40_roi0,native,post_A_keep,42123,42073,20664,126727,0.27623809029321095,0.38994270675187837,0.7322634518841707,0.004468423929836237,0.021819218976540773,0.973712357093623,114.8553963231172,457.1527328465769,0.042043539159129215,0.042043539159129215,0.28701770433264145,0.0,14.445609666509021,0.4275167865954212,28.46370254642262,0.9609465737514518,0.2264789665974891,0.36656477325672465,0.8213871882310801,SCORED
40,adaptation,scan40_roi0,native,post_AB_keep,42123,42073,20714,126727,0.2774841170667465,0.3957629846656258,0.8065376167060043,0.016471371188172938,0.04601525919235614,0.937513369619471,1157.525970105676,1552.2473910720962,0.08790921824181563,0.08783799824324004,0.5591501551165091,4.7536424785491884e-05,14.429688827947956,0.4198032469851724,28.43957440891074,0.9557787003958675,0.2257766695337221,0.36526858965485054,0.9169374160343402,SCORED
40,adaptation,scan40_roi0,native,random_A_keep,42123,42073,21330,126727,0.3054645729285233,0.4024448112246548,0.8525969624126286,0.003184940460627956,0.02921113303068476,0.9676039265086873,143.21891774540825,1715.1620581843663,0.042043539159129215,0.042019799159604014,0.5234015765484404,0.00014260927435647564,14.380254261151563,0.4510712670053544,28.309437255297773,0.9433192686357244,0.2268892974662069,0.36579640988280465,1.0943426653660246,SCORED
40,adaptation,scan40_roi0,native,A_fit_reserved,42123,42073,20694,126727,0.30107856401509386,0.3980658707014584,0.7905252423939545,0.012383238656620636,0.03239607349131272,0.9552206878520666,466.42214543031264,1853.8327328545527,,0.08532155829356883,0.624853692267174,0.000808119221353362,14.327084006756373,0.4415639630037078,28.212604050509036,0.9537547115105828,0.22597394398983642,0.3653784499580776,0.9174853547520107,SCORED
40,adaptation,scan40_roi0,minus1,identity,42123,42073,20632,126727,0.3106280587619488,0.4792126583947442,0.9027142125064828,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0006892781593896323,14.539147078080845,0.4864353854673857,28.591858770694305,0.9567177200465297,0.207114505985307,0.3405132003096911,0.9363448557198111,SCORED
40,adaptation,scan40_roi0,minus1,A_all,42123,42073,21146,126727,1.1125999207730177,0.85889378391879,1.9139771535702306,0.2011979179045944,0.6261022508497136,0.17269983124569202,4014.611482858504,37755.97363325021,1.0,0.9995964200080716,2.673520420812592,0.004397119292657999,14.454739981919769,0.851690984269351,28.057788979570187,0.6853305589709637,0.18160297332060255,0.28712251304345654,1.8987913941862944,SCORED
40,adaptation,scan40_roi0,minus1,B_all,42123,42073,20954,126727,0.8688077203781909,0.7693655821593351,1.7320810876248687,0.21885769971240462,0.5822498989850974,0.19889240130249805,4327.752122841356,27812.045026021508,1.0,0.999525200009496,2.3929709856296806,0.004611033204192713,14.416065870221114,0.7665213244890494,28.06561041595318,0.7434857306480863,0.19294230905805393,0.30637667293254484,1.716366308743197,SCORED
40,adaptation,scan40_roi0,minus1,post_A_keep,42123,42073,20685,126727,0.2745766088639478,0.4447593579485253,0.8733862555030815,0.10277375038623345,0.014142086373683836,0.8830841632400828,1841.8938424066318,325.1011908480376,0.13301521733969565,0.13299147734017044,0.48487394321037564,0.0006892781593896323,14.436771462461222,0.4725241055845243,28.401018819337917,0.9545564418660866,0.22363821442944282,0.3623769588333751,0.944114071675804,SCORED
40,adaptation,scan40_roi0,minus1,post_AB_keep,42123,42073,20614,126727,0.29827596458001876,0.4573366837850388,0.9674007577713163,0.11316045920186343,0.04394742471418724,0.8428921160839493,2319.8688750825677,1800.1792165662246,0.18163473636730526,0.18161099636778008,0.6978258885484253,0.0015449338055284862,14.41367331913719,0.4711597784639181,28.356186859810464,0.9464441641602794,0.2228806805179638,0.36079643794508254,1.0307415328263267,SCORED
40,adaptation,scan40_roi0,minus1,random_A_keep,42123,42073,23056,126727,0.42130513415818305,0.5310582754252933,1.2148806646941834,0.025265609773488937,0.08342642549853825,0.8913079647279728,490.0581202026502,5146.574713348414,0.13301521733969565,0.13296773734064526,0.987024096171564,0.0011171059824590592,14.350918077090009,0.5666779677882637,28.135158186391756,0.8998959056210964,0.21910879291705793,0.35241157769797893,1.384175872451627,SCORED
40,adaptation,scan40_roi0,minus1,A_fit_reserved,42123,42073,20847,126727,0.37145431105239834,0.4792587716502266,1.0791133599936396,0.09298124688042213,0.033346801987022556,0.8736719511325554,1640.072057340172,4199.214969956253,,0.13764451724710966,0.7850900594527538,0.002448125876452832,14.372826775948528,0.5091666196500116,28.236486932247047,0.9332757710941623,0.2214524134556961,0.3579650599921842,1.170246153194295,SCORED
40,adaptation,scan40_roi0,plus1,identity,42123,42073,20618,126727,0.5471665019705797,0.601381702745034,0.9559053462717825,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0012121788320300431,14.63316943648174,0.61362597201654,28.65271290094694,0.9482491027257736,0.20222999045191634,0.3333644359596436,1.0246908342715566,SCORED
40,adaptation,scan40_roi0,plus1,A_all,42123,42073,21382,126727,1.545514856064946,0.9575902049214552,2.273101311546502,0.2517053692391795,0.5663489648943503,0.18194566586647018,6671.796841187592,48675.30714299989,1.0,0.9994777200104455,2.593218731528871,0.009293371045563664,14.554997683167684,0.9386425182245389,28.17135284811083,0.6501262744364419,0.1756926306154174,0.27662819218401496,2.167986205985325,SCORED
40,adaptation,scan40_roi0,plus1,B_all,42123,42073,20949,126727,1.0717379236368438,0.8315966923008162,1.8737147868553328,0.2851234758633803,0.5223540037553775,0.19252252038124212,8373.688901791962,30443.98232555671,1.0,0.9994539800109205,2.469082645824231,0.004872483540512918,14.486821014698956,0.8265839567574116,28.1470580726405,0.7097236144923386,0.18435692472795853,0.2926860774505232,1.8547226071662892,SCORED
40,adaptation,scan40_roi0,plus1,post_A_keep,42123,42073,20669,126727,0.51510494370436,0.5701364951323994,0.9634522307037632,0.09526299527012573,0.009340907470349154,0.8953960972595251,1577.0665472773858,228.14060634272474,0.12202359755952805,0.12199985756000285,0.3708142938535679,0.0013072516816010269,14.601845654557758,0.5938564568706547,28.609834852244862,0.9479413614591901,0.21917981172125908,0.35603776865985437,1.0264976747148085,SCORED
40,adaptation,scan40_roi0,plus1,post_AB_keep,42123,42073,20711,126727,0.5000963836299293,0.5620061270148676,0.9640682411442475,0.12611413495590998,0.02600242435766406,0.847883440686426,3137.5939555527875,1157.2128666066012,0.18037651639246968,0.18032903639341927,0.6538953961126269,0.001592470230313978,14.570779054924314,0.5849021054993643,28.556656004349264,0.9479020810197479,0.2210420825869783,0.35848803835189463,1.0245687741740865,SCORED
40,adaptation,scan40_roi0,plus1,random_A_keep,42123,42073,22675,126727,0.6679442392393021,0.6453385025314549,1.4475069566617287,0.029852874765288903,0.07080550471799016,0.899341620516721,830.3133368312218,5911.795076938183,0.12202359755952805,0.12197611756047765,0.9089938482766713,0.0022342119649181183,14.444207595330498,0.6612446144456972,28.2271705762153,0.8910694597574421,0.21172283728013763,0.34214920568509577,1.6374381380000933,SCORED
40,adaptation,scan40_roi0,plus1,A_fit_reserved,42123,42073,20899,126727,0.5758640710420161,0.5878610290989896,1.112838830130271,0.09485893565944906,0.0231264706581418,0.8820145936824092,1729.8394573169423,2937.2322808594868,,0.13227927735441444,0.6889357445073228,0.0022579801773108645,14.455766832095605,0.6145509810813767,28.296982683109835,0.9340638308053016,0.21863533422238354,0.35433244688479,1.2623960127874367,SCORED
40,adaptation,scan40_roi0,minus3,identity,42123,42073,20423,126727,1.5043725976174982,1.1201529312218181,2.310548612098201,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0025431987260238157,14.951998867511831,1.1325615105345572,28.771436224489104,0.6110267835283749,0.11701531638877272,0.19641581827403576,2.3198966281527453,SCORED
40,adaptation,scan40_roi0,minus3,A_all,42123,42073,21143,126727,1.7434651191414825,1.0461979169401359,2.5028262246727118,0.502198559646329,0.39336391509994534,0.10443752525372567,36103.55742133461,46162.89707941323,1.0,0.9995489400090212,2.838857141952226,0.004111900743945048,14.446823221386436,1.0517418075933014,27.84190463517957,0.5927730218039068,0.16215171194773015,0.254645677865828,2.5232867833586625,SCORED
